station_id,station_name,lat,lon,day_of_year,BLASTAM,BlastDT2,BlastGRU-TW,BlastLSTLS,BlastOC,BlastOC2,BlastTF,nian
C1S820,金峰,22.590969,120.933236,01-01,,,,0.125,,,,
C1S820,金峰,22.590969,120.933236,01-02,,,,0.13,,,,
C1S820,金峰,22.590969,120.933236,01-03,,,0.015236618,0.15000000000000002,,,,
C1S820,金峰,22.590969,120.933236,01-04,,,0.005732788,0.125,,,,
C1S820,金峰,22.590969,120.933236,01-05,,,0.0029885094,0.055,,,,
C1S820,金峰,22.590969,120.933236,01-06,,,0.0016343661,0.035,,,,
C1S820,金峰,22.590969,120.933236,01-07,,,0.0029916866,0.045,,,,
C1S820,金峰,22.590969,120.933236,01-08,,,0.0038888664,0.07,,,,
C1S820,金峰,22.590969,120.933236,01-09,,,0.0099806115,0.08,,,,
C1S820,金峰,22.590969,120.933236,01-10,,,0.013193866,0.27499999999999997,,,,
C1S820,金峰,22.590969,120.933236,01-11,,,0.012553614,0.44999999999999996,,,,
C1S820,金峰,22.590969,120.933236,01-12,,,0.014296966,0.43000000000000005,,,,
C1S820,金峰,22.590969,120.933236,01-13,,,0.015671348,0.495,,,,
C1S820,金峰,22.590969,120.933236,01-14,,,0.03016025,0.54,,,,
C1S820,金峰,22.590969,120.933236,01-15,,,0.023916008,0.525,,,,
C1S820,金峰,22.590969,120.933236,01-16,,,0.0147286765,0.515,,,,
C1S820,金峰,22.590969,120.933236,01-17,,,0.011253795,0.51,,,,
C1S820,金峰,22.590969,120.933236,01-18,,,0.010466582,0.49000000000000005,,,,
C1S820,金峰,22.590969,120.933236,01-19,,,0.0068865907,0.485,,,,
C1S820,金峰,22.590969,120.933236,01-20,,,0.008834691,0.47500000000000003,,,,
C1S820,金峰,22.590969,120.933236,01-21,,,0.009957673,0.405,,,,
C1S820,金峰,22.590969,120.933236,01-22,,,0.011214874,0.265,,,,
C1S820,金峰,22.590969,120.933236,01-23,,,0.0066491044,0.09000000000000001,,,,
C1S820,金峰,22.590969,120.933236,01-24,,,0.0044029634,0.02,,,,
C1S820,金峰,22.590969,120.933236,01-25,,,0.0037492642,0.025,,,,
C1S820,金峰,22.590969,120.933236,01-26,,,0.0009395221,0.025,,,,
C1S820,金峰,22.590969,120.933236,01-27,,,0.0007562642,0.02,,,,
C1S820,金峰,22.590969,120.933236,01-28,,,0.00096324587,0.02666666666666667,,,,
C1S820,金峰,22.590969,120.933236,01-29,,,0.00024603598,0.035,,,,
C1S820,金峰,22.590969,120.933236,01-30,,,0.00036717366,0.035,,,,
C1S820,金峰,22.590969,120.933236,01-31,,,0.00042207434,0.03333333333333333,,,,
C1S820,金峰,22.590969,120.933236,02-01,,,0.00068317674,0.03333333333333333,,,,
C1S820,金峰,22.590969,120.933236,02-02,,,0.0010104174,0.03,,,,
C1S820,金峰,22.590969,120.933236,02-03,,,0.0011591149,0.035,,,,
C1S820,金峰,22.590969,120.933236,02-04,,,0.001222893,0.06,,,,
C1S820,金峰,22.590969,120.933236,02-05,,,0.0020982558,0.10750000000000001,,,,
C1S820,金峰,22.590969,120.933236,02-06,,,0.0019041917,0.3066666666666667,,,,
C1S820,金峰,22.590969,120.933236,02-07,,,0.00081057777,0.2625,,,,
C1S820,金峰,22.590969,120.933236,02-08,,,0.0017391408,0.28,,,,
