站號,站名,日期,lat,lon,BLBTSLS
C0R710,龍磐,2026-01-01,21.931672,120.838942,0.98290527
C1F9D1,白毛台,2026-01-01,24.158325,120.886933,2.0269124e-09
C0G940,竹塘,2026-01-01,23.848253,120.386764,1.4822485e-08
467590,恆春,2026-01-01,22.003897,120.746339,0.949813
C1O850,環湖,2026-01-01,23.148617,120.418633,6.829438e-10
C0U710,太平山,2026-01-01,24.505486,121.525656,4.0165318e-08
C0E820,獅潭,2026-01-01,24.539133,120.920042,1.3831236e-08
C2SD70,二層坪,2026-01-01,22.94105,121.16838,6.8185604e-09
C0V880,興達,2026-01-01,22.8778,120.2127,4.980264e-07
C0S890,關山,2026-01-01,23.0395,121.175017,6.5353696e-09
C0SB30,新蘭,2026-01-01,22.869214,121.223228,7.9234095e-09
C2R970,屏科大,2026-01-01,22.648275,120.619247,5.6097976e-10
C1Z130,銅門,2026-01-01,23.965694,121.492842,1.0978429e-08
C0AD40,土城,2026-01-01,24.973208,121.445169,2.4111944e-07
CAN140,六官養殖協會,2026-01-01,23.22881,120.29962,7.771375e-08
C0X180,山上,2026-01-01,23.0757,120.363253,3.6883083e-08
C0F9Z0,雪山東峰,2026-01-01,24.388792,121.268675,3.6135017e-08
C1M480,獨立山,2026-01-01,23.537022,120.607797,1.495113e-09
C0X220,學甲,2026-01-01,23.230367,120.182187,2.5448546e-07
467650,日月潭,2026-01-01,23.881325,120.90805,3.48353e-09
A2K570,古坑(花卉中心),2026-01-01,23.633531,120.552392,8.7196533e-10
C0K600,箔子寮,2026-01-01,23.6197,120.14,6.788001e-05
C0G830,埤頭,2026-01-01,23.866003,120.452806,2.6840294e-09
C0S950,七塊厝,2026-01-01,22.954453,121.229922,6.1977805e-09
467110,金門,2026-01-01,24.407306,118.289281,2.6670992e-07
C0AH80,深坑,2026-01-01,25.002703,121.628328,2.3834303e-07
C0A970,三貂角,2026-01-01,25.007606,122.002058,1.3013276e-07
C2D730,寶山農場,2026-01-01,24.732444,120.976153,1.0278074e-07
C0K430,褒忠,2026-01-01,23.690938,120.303634,2.6757613e-07
467480,嘉義,2026-01-01,23.495925,120.432906,1.687477e-09
C0V400,阿公店,2026-01-01,22.804194,120.355528,1.8190742e-07
C0E960,觀霧分站,2026-01-01,24.505781,121.113921,1.5218568e-08
467550,玉山,2026-01-01,23.48718,120.95943,4.241421e-08
C0R440,大漢山,2026-01-01,22.405264,120.753181,2.004354e-08
C0SD30,東清國小,2026-01-01,22.057128,121.564922,0.98227954
C1F9B1,桐林,2026-01-01,24.066172,120.735194,1.7713944e-09
C2H9U0,鳳鵬,2026-01-01,23.763919,120.788061,1.0244148e-09
C0K390,土庫,2026-01-01,23.679029,120.395574,2.9227814e-09
C1I450,望鄉山,2026-01-01,23.594153,120.944286,2.5392222e-08
C0E910,海埔,2026-01-01,24.648767,120.772435,2.0936355e-07
