站號,站名,日期,lat,lon,BlastGRU-TW,BlastDT2,BlastLSTLS,BLBTSLS,planthopper
72D680,桃改新埔分場,2025-07-01,24.834444,121.066111,0.35924608,1.0,1.0,0.9883037,0.0
72D680,桃改新埔分場,2025-07-02,24.834444,121.066111,0.5321187,1.0,0.98,0.2686527,0.0
72D680,桃改新埔分場,2025-07-03,24.834444,121.066111,0.6805199,1.0,0.97,0.84539527,3.7
72D680,桃改新埔分場,2025-07-04,24.834444,121.066111,0.80531466,1.0,0.95,0.8753423,3.7
72D680,桃改新埔分場,2025-07-05,24.834444,121.066111,0.7555684,1.0,0.93,0.69073445,19.0
72D680,桃改新埔分場,2025-07-06,24.834444,121.066111,0.58681536,1.0,0.96,0.45902136,15.0
72D680,桃改新埔分場,2025-07-07,24.834444,121.066111,0.5035143,0.0,0.94,0.8794558,7.4
72D680,桃改新埔分場,2025-07-08,24.834444,121.066111,0.36390415,0.0,0.92,0.928123,3.7
72D680,桃改新埔分場,2025-07-09,24.834444,121.066111,0.24775055,0.0,0.87,0.92631894,0.0
72D680,桃改新埔分場,2025-07-10,24.834444,121.066111,0.54788035,1.0,0.9,0.5914406,7.4
72D680,桃改新埔分場,2025-07-11,24.834444,121.066111,0.23202644,1.0,0.76,0.22270276,0.0
72D680,桃改新埔分場,2025-07-12,24.834444,121.066111,0.7683036,1.0,0.39,9.042884e-05,3.7
72D680,桃改新埔分場,2025-07-13,24.834444,121.066111,0.96526825,0.0,0.42,0.2063107,3.7
72D680,桃改新埔分場,2025-07-14,24.834444,121.066111,0.7505994,1.0,0.21,0.00073675707,0.0
72D680,桃改新埔分場,2025-07-15,24.834444,121.066111,0.2892987,1.0,0.14,9.1658e-07,0.0
72D680,桃改新埔分場,2025-07-16,24.834444,121.066111,0.16807324,1.0,0.14,0.0001370838,0.0
72D680,桃改新埔分場,2025-07-17,24.834444,121.066111,0.18956563,1.0,0.15,9.422287e-08,0.0
72D680,桃改新埔分場,2025-07-18,24.834444,121.066111,0.4766158,1.0,0.13,2.818311e-09,3.7
72D680,桃改新埔分場,2025-07-19,24.834444,121.066111,0.68962514,1.0,0.1,5.819878e-09,11.0
72D680,桃改新埔分場,2025-07-20,24.834444,121.066111,0.48532185,1.0,0.12,4.303153e-09,11.0
72D680,桃改新埔分場,2025-07-21,24.834444,121.066111,0.47296274,1.0,0.2,4.8433935e-07,0.0
72D680,桃改新埔分場,2025-07-22,24.834444,121.066111,0.30816737,1.0,0.08,5.5249006e-05,0.0
72D680,桃改新埔分場,2025-07-23,24.834444,121.066111,0.13878416,0.0,0.2,4.29334e-05,0.0
72D680,桃改新埔分場,2025-07-24,24.834444,121.066111,0.115253545,1.0,0.31,0.0002869988,7.4
72D680,桃改新埔分場,2025-07-25,24.834444,121.066111,0.098858476,1.0,0.17,0.12186135,7.4
72D680,桃改新埔分場,2025-07-26,24.834444,121.066111,0.2611526,1.0,0.21,0.002990883,7.4
72D680,桃改新埔分場,2025-07-27,24.834444,121.066111,0.6069743,1.0,0.28,0.06308952,26.0
72D680,桃改新埔分場,2025-07-28,24.834444,121.066111,0.9318448,0.0,0.37,0.026892448,22.0
72D680,桃改新埔分場,2025-07-29,24.834444,121.066111,0.7134513,0.0,0.24,0.36891845,11.0
72D680,桃改新埔分場,2025-07-30,24.834444,121.066111,0.98645866,1.0,0.31,0.44059855,3.7
72D680,桃改新埔分場,2025-07-31,24.834444,121.066111,0.99965703,1.0,0.27,0.008592848,0.0
72D680,桃改新埔分場,2025-08-01,24.834444,121.066111,0.99881715,1.0,0.05,0.04357912,3.7
72D680,桃改新埔分場,2025-08-02,24.834444,121.066111,0.9972139,1.0,0.08,2.745903e-07,0.0
72D680,桃改新埔分場,2025-08-03,24.834444,121.066111,0.29314676,0.0,0.12,4.8506595e-06,0.0
72D680,桃改新埔分場,2025-08-04,24.834444,121.066111,0.04362963,,0.19,0.0004074719,0.0
72D680,桃改新埔分場,2025-08-05,24.834444,121.066111,0.016209433,,0.1,0.75433505,0.0
72D680,桃改新埔分場,2025-08-06,24.834444,121.066111,0.008984983,,0.06,0.99232507,0.0
72D680,桃改新埔分場,2025-08-07,24.834444,121.066111,0.005834247,,0.05,0.9977816,7.4
72D680,桃改新埔分場,2025-08-08,24.834444,121.066111,0.0059600375,,0.05,0.99806523,15.0
72D680,桃改新埔分場,2025-08-09,24.834444,121.066111,0.006768132,,0.05,0.9990676,
72D680,桃改新埔分場,2025-08-10,24.834444,121.066111,0.009535379,,0.05,0.964935,
72D680,桃改新埔分場,2025-08-11,24.834444,121.066111,0.023357637,,0.05,0.82029,
72D680,桃改新埔分場,2025-08-12,24.834444,121.066111,0.24773201,,0.05,0.9855272,
72D680,桃改新埔分場,2025-08-13,24.834444,121.066111,0.92461556,,0.04,0.9989854,
72D680,桃改新埔分場,2025-08-14,24.834444,121.066111,0.9891499,,0.05,0.9991564,
72D680,桃改新埔分場,2025-08-15,24.834444,121.066111,0.9982094,,0.05,0.99938333,
72D680,桃改新埔分場,2025-08-16,24.834444,121.066111,0.9994607,,0.06,0.99940675,
72D680,桃改新埔分場,2025-08-17,24.834444,121.066111,0.99970484,,0.08,0.99965847,
72D680,桃改新埔分場,2025-08-18,24.834444,121.066111,,,0.08,0.99921906,
