站號,站名,日期,lat,lon,BlastGRU-TW,BlastDT2,BlastLSTLS,BLBTSLS,planthopper
72G600,臺中農改場,2025-07-03,24.003028,120.534389,0.23389919,1.0,0.11,0.5339886,7.4
72G600,臺中農改場,2025-07-04,24.003028,120.534389,0.3878274,1.0,0.15,0.50435793,7.4
72G600,臺中農改場,2025-07-05,24.003028,120.534389,0.33615887,1.0,0.19,0.304689,19.0
72G600,臺中農改場,2025-07-06,24.003028,120.534389,0.12853809,1.0,0.17,0.24188796,11.0
72G600,臺中農改場,2025-07-07,24.003028,120.534389,0.5052947,1.0,0.18,0.58294934,7.4
72G600,臺中農改場,2025-07-08,24.003028,120.534389,0.2933741,1.0,0.12,0.8257358,3.7
72G600,臺中農改場,2025-07-09,24.003028,120.534389,0.32474265,1.0,0.12,0.46208578,0.0
72G600,臺中農改場,2025-07-10,24.003028,120.534389,0.6618461,1.0,0.13,0.2141352,15.0
72G600,臺中農改場,2025-07-11,24.003028,120.534389,0.0740993,1.0,0.16,0.002566653,0.0
72G600,臺中農改場,2025-07-12,24.003028,120.534389,0.051853828,1.0,0.23,0.00086275116,3.7
72G600,臺中農改場,2025-07-13,24.003028,120.534389,0.04956512,1.0,0.48,0.11123292,3.7
72G600,臺中農改場,2025-07-14,24.003028,120.534389,0.024312895,1.0,0.77,0.81929374,0.0
72G600,臺中農改場,2025-07-15,24.003028,120.534389,0.01747892,1.0,0.92,0.52153474,0.0
72G600,臺中農改場,2025-07-16,24.003028,120.534389,0.0152701745,1.0,0.94,0.00042618936,7.4
72G600,臺中農改場,2025-07-17,24.003028,120.534389,0.01429151,1.0,0.97,3.1789057e-07,0.0
72G600,臺中農改場,2025-07-18,24.003028,120.534389,0.0133469645,1.0,0.98,1.9568853e-08,3.7
72G600,臺中農改場,2025-07-19,24.003028,120.534389,0.015935086,1.0,0.99,1.3650139e-08,11.0
72G600,臺中農改場,2025-07-20,24.003028,120.534389,0.015925908,1.0,0.98,1.3338773e-07,19.0
72G600,臺中農改場,2025-07-21,24.003028,120.534389,0.016781421,1.0,0.96,2.1761066e-07,0.0
72G600,臺中農改場,2025-07-22,24.003028,120.534389,0.017207332,1.0,0.92,0.7846235,0.0
72G600,臺中農改場,2025-07-23,24.003028,120.534389,0.022176368,1.0,0.9,0.54917586,0.0
72G600,臺中農改場,2025-07-24,24.003028,120.534389,0.03777062,1.0,0.79,0.54025865,15.0
72G600,臺中農改場,2025-07-25,24.003028,120.534389,0.056971185,1.0,0.72,0.51062095,11.0
72G600,臺中農改場,2025-07-26,24.003028,120.534389,0.07957618,1.0,0.59,0.3200996,3.7
72G600,臺中農改場,2025-07-27,24.003028,120.534389,0.105467565,1.0,0.55,0.034946512,41.0
72G600,臺中農改場,2025-07-28,24.003028,120.534389,0.32032195,1.0,0.21,0.14146496,30.0
72G600,臺中農改場,2025-07-29,24.003028,120.534389,0.22786278,0.0,0.2,0.1558854,3.7
72G600,臺中農改場,2025-07-30,24.003028,120.534389,0.10658852,0.0,0.28,0.26779196,3.7
72G600,臺中農改場,2025-07-31,24.003028,120.534389,0.20052841,1.0,0.25,0.11935152,0.0
72G600,臺中農改場,2025-08-01,24.003028,120.534389,0.14250818,1.0,0.16,0.096522346,0.0
72G600,臺中農改場,2025-08-02,24.003028,120.534389,0.58729917,1.0,0.28,0.9718704,0.0
72G600,臺中農改場,2025-08-03,24.003028,120.534389,0.90728533,1.0,0.81,0.98066396,0.0
72G600,臺中農改場,2025-08-04,24.003028,120.534389,0.06683989,1.0,0.69,0.95816237,0.0
72G600,臺中農改場,2025-08-05,24.003028,120.534389,0.035227954,,0.87,0.97988576,0.0
72G600,臺中農改場,2025-08-06,24.003028,120.534389,0.024749251,,0.96,0.96303236,3.7
72G600,臺中農改場,2025-08-07,24.003028,120.534389,0.014887981,,0.99,0.979837,19.0
72G600,臺中農改場,2025-08-08,24.003028,120.534389,0.011311594,,0.99,0.9983669,15.0
72G600,臺中農改場,2025-08-09,24.003028,120.534389,0.009032804,,0.99,0.99738264,7.4
72G600,臺中農改場,2025-08-10,24.003028,120.534389,0.009541651,,0.99,0.9997586,3.7
72G600,臺中農改場,2025-08-11,24.003028,120.534389,0.014900469,,0.99,0.9996321,
72G600,臺中農改場,2025-08-12,24.003028,120.534389,0.018069392,,0.99,0.99670017,
72G600,臺中農改場,2025-08-13,24.003028,120.534389,0.038018737,,0.98,0.9948218,
72G600,臺中農改場,2025-08-14,24.003028,120.534389,0.10991588,,0.98,0.95390904,
72G600,臺中農改場,2025-08-15,24.003028,120.534389,0.3381784,,0.98,0.7337735,
72G600,臺中農改場,2025-08-16,24.003028,120.534389,0.66258997,,0.98,0.1959064,
72G600,臺中農改場,2025-08-17,24.003028,120.534389,0.8529716,,0.97,0.01793773,
72G600,臺中農改場,2025-08-18,24.003028,120.534389,0.9833568,,0.96,0.019554999,
72G600,臺中農改場,2025-08-19,24.003028,120.534389,0.9818854,,0.95,0.1172823,
72G600,臺中農改場,2025-08-20,24.003028,120.534389,,,0.93,0.8083093,
