站號,站名,日期,lat,lon,BlastGRU-TW,BlastDT2,BlastLSTLS,BLBTSLS,planthopper
72K220,南改斗南分場,2025-04-17,23.634556,120.477333,0.93421227,1.0,0.74,2.140549e-08,0.0
72K220,南改斗南分場,2025-04-18,23.634556,120.477333,0.8151009,1.0,0.76,3.4382158e-08,0.0
72K220,南改斗南分場,2025-04-19,23.634556,120.477333,0.30113262,1.0,0.59,1.6926494e-07,0.0
72K220,南改斗南分場,2025-04-20,23.634556,120.477333,0.4085747,0.0,0.36,1.1510243e-06,0.0
72K220,南改斗南分場,2025-04-21,23.634556,120.477333,0.87065804,0.0,0.58,1.0001048e-06,7.4
72K220,南改斗南分場,2025-04-22,23.634556,120.477333,0.95818615,0.0,0.9,4.670733e-06,30.0
72K220,南改斗南分場,2025-04-23,23.634556,120.477333,0.9796691,0.0,0.75,1.990913e-05,3.7
72K220,南改斗南分場,2025-04-24,23.634556,120.477333,0.9755861,1.0,0.23,7.30221e-05,3.7
72K220,南改斗南分場,2025-04-25,23.634556,120.477333,0.976876,1.0,0.51,0.003917152,0.0
72K220,南改斗南分場,2025-04-26,23.634556,120.477333,0.9846754,1.0,0.89,0.023238143,3.7
72K220,南改斗南分場,2025-04-27,23.634556,120.477333,0.98723716,1.0,0.95,0.00078851386,7.4
72K220,南改斗南分場,2025-04-28,23.634556,120.477333,0.9873383,1.0,0.98,0.021514133,0.0
72K220,南改斗南分場,2025-04-29,23.634556,120.477333,0.98759985,1.0,0.98,0.022766199,0.0
72K220,南改斗南分場,2025-04-30,23.634556,120.477333,0.98576236,1.0,0.97,0.8386007,0.0
72K220,南改斗南分場,2025-05-01,23.634556,120.477333,0.9981713,1.0,0.98,0.5350837,0.0
72K220,南改斗南分場,2025-05-02,23.634556,120.477333,0.9940997,1.0,0.98,0.006932317,0.0
72K220,南改斗南分場,2025-05-03,23.634556,120.477333,0.98315215,1.0,0.99,3.6302995e-07,0.0
72K220,南改斗南分場,2025-05-04,23.634556,120.477333,0.98511845,1.0,0.98,7.770447e-07,0.0
72K220,南改斗南分場,2025-05-05,23.634556,120.477333,0.9837892,1.0,0.97,8.937397e-08,7.4
72K220,南改斗南分場,2025-05-06,23.634556,120.477333,0.9589511,1.0,0.97,9.346644e-08,0.0
72K220,南改斗南分場,2025-05-07,23.634556,120.477333,0.97487277,1.0,1.0,1.4789126e-07,0.0
72K220,南改斗南分場,2025-05-08,23.634556,120.477333,0.97873604,0.0,1.0,3.8492754e-08,3.7
72K220,南改斗南分場,2025-05-09,23.634556,120.477333,0.9793382,0.0,0.99,4.2232013e-08,7.4
72K220,南改斗南分場,2025-05-10,23.634556,120.477333,0.9796793,0.0,0.87,8.548832e-05,0.0
72K220,南改斗南分場,2025-05-11,23.634556,120.477333,0.60471463,1.0,0.93,0.9974362,0.0
72K220,南改斗南分場,2025-05-12,23.634556,120.477333,0.6232299,1.0,0.92,0.079489574,0.0
72K220,南改斗南分場,2025-05-13,23.634556,120.477333,0.9569162,1.0,0.85,0.5066704,0.0
72K220,南改斗南分場,2025-05-14,23.634556,120.477333,0.99882823,1.0,0.95,0.00931146,0.0
72K220,南改斗南分場,2025-05-15,23.634556,120.477333,0.9975613,1.0,0.89,0.0007087688,0.0
72K220,南改斗南分場,2025-05-16,23.634556,120.477333,0.158197,1.0,0.77,1.0636499e-08,0.0
72K220,南改斗南分場,2025-05-17,23.634556,120.477333,0.011864799,1.0,0.87,9.4345305e-09,0.0
72K220,南改斗南分場,2025-05-18,23.634556,120.477333,0.0061199614,1.0,0.96,3.1021947e-09,3.7
72K220,南改斗南分場,2025-05-19,23.634556,120.477333,0.0077033453,1.0,0.98,1.1780849e-09,15.0
72K220,南改斗南分場,2025-05-20,23.634556,120.477333,0.013017973,1.0,0.98,1.6714733e-09,0.0
72K220,南改斗南分場,2025-05-21,23.634556,120.477333,0.010933697,,0.98,9.870759e-09,0.0
72K220,南改斗南分場,2025-05-22,23.634556,120.477333,0.055558585,,0.98,6.326751e-09,0.0
72K220,南改斗南分場,2025-05-23,23.634556,120.477333,0.3027073,,0.96,0.10579502,0.0
72K220,南改斗南分場,2025-05-24,23.634556,120.477333,0.8389787,,0.92,0.97945505,0.0
72K220,南改斗南分場,2025-05-25,23.634556,120.477333,0.9796884,,0.87,0.40193304,0.0
72K220,南改斗南分場,2025-05-26,23.634556,120.477333,0.99430066,,0.77,0.2812725,
72K220,南改斗南分場,2025-05-27,23.634556,120.477333,0.99605197,,0.65,0.2659857,
72K220,南改斗南分場,2025-05-28,23.634556,120.477333,0.99738896,,0.59,0.31137913,
72K220,南改斗南分場,2025-05-29,23.634556,120.477333,0.999596,,0.49,0.49594226,
72K220,南改斗南分場,2025-05-30,23.634556,120.477333,0.9995918,,0.41,0.47518593,
72K220,南改斗南分場,2025-05-31,23.634556,120.477333,0.99845713,,0.35,0.7995683,
72K220,南改斗南分場,2025-06-01,23.634556,120.477333,0.9804004,,0.15,0.24276038,
72K220,南改斗南分場,2025-06-02,23.634556,120.477333,0.8356116,,0.13,0.100017615,
72K220,南改斗南分場,2025-06-03,23.634556,120.477333,0.20126048,,0.09,0.09220561,
72K220,南改斗南分場,2025-06-04,23.634556,120.477333,,,0.21,0.40264162,
