站號,站名,日期,lat,lon,BlastGRU-TW,BlastDT2,BlastLSTLS,BLBTSLS,planthopper
72N100,臺南農改,2025-03-09,23.0605,120.342194,0.16166697,1.0,0.96,8.360471e-10,0.0
72N100,臺南農改,2025-03-10,23.0605,120.342194,0.014311219,1.0,0.9,4.9914113e-09,0.0
72N100,臺南農改,2025-03-11,23.0605,120.342194,0.03730991,1.0,0.92,3.6365705e-10,0.0
72N100,臺南農改,2025-03-12,23.0605,120.342194,0.17309558,1.0,0.55,4.6026533e-10,0.0
72N100,臺南農改,2025-03-13,23.0605,120.342194,0.5384855,0.0,0.89,5.476681e-10,0.0
72N100,臺南農改,2025-03-14,23.0605,120.342194,0.82727015,1.0,0.92,6.033526e-10,0.0
72N100,臺南農改,2025-03-15,23.0605,120.342194,0.9000214,1.0,0.99,6.650868e-10,0.0
72N100,臺南農改,2025-03-16,23.0605,120.342194,0.86324584,1.0,1.0,7.5540363e-10,0.0
72N100,臺南農改,2025-03-17,23.0605,120.342194,0.8730162,1.0,0.99,5.240219e-10,0.0
72N100,臺南農改,2025-03-18,23.0605,120.342194,0.88742477,1.0,1.0,3.6089216e-07,0.0
72N100,臺南農改,2025-03-19,23.0605,120.342194,0.9134397,1.0,0.96,0.0016709102,0.0
72N100,臺南農改,2025-03-20,23.0605,120.342194,0.7662686,1.0,0.79,0.003156703,0.0
72N100,臺南農改,2025-03-21,23.0605,120.342194,0.5297061,1.0,0.22,2.1848687e-06,0.0
72N100,臺南農改,2025-03-22,23.0605,120.342194,0.75645804,1.0,0.07,1.2554935e-07,0.0
72N100,臺南農改,2025-03-23,23.0605,120.342194,0.894487,0.0,0.04,5.361538e-06,0.0
72N100,臺南農改,2025-03-24,23.0605,120.342194,0.95943284,0.0,0.03,0.11535759,0.0
72N100,臺南農改,2025-03-25,23.0605,120.342194,0.97385335,0.0,0.04,0.032392383,7.4
72N100,臺南農改,2025-03-26,23.0605,120.342194,0.9776123,0.0,0.15,0.0001336928,0.0
72N100,臺南農改,2025-03-27,23.0605,120.342194,0.81018347,1.0,0.54,2.5754025e-06,0.0
72N100,臺南農改,2025-03-28,23.0605,120.342194,0.6755098,0.0,0.33,9.560374e-07,0.0
72N100,臺南農改,2025-03-29,23.0605,120.342194,0.51729125,0.0,0.3,0.7644958,0.0
72N100,臺南農改,2025-03-30,23.0605,120.342194,0.46460366,0.0,0.35,0.9445746,0.0
72N100,臺南農改場,2025-03-31,23.0605,120.342194,0.9785008,0.0,0.74,0.99091595,0.0
72N100,臺南農改場,2025-04-01,23.0605,120.342194,0.98437726,0.0,0.86,2.5309015e-07,0.0
72N100,臺南農改場,2025-04-02,23.0605,120.342194,0.986111,1.0,0.78,3.7231046e-06,0.0
72N100,臺南農改場,2025-04-03,23.0605,120.342194,0.98574847,1.0,0.72,0.00010621758,0.0
72N100,臺南農改場,2025-04-04,23.0605,120.342194,0.973182,1.0,0.68,0.00018408256,0.0
72N100,臺南農改場,2025-04-05,23.0605,120.342194,0.9637424,0.0,0.68,4.8765364e-06,0.0
72N100,臺南農改場,2025-04-06,23.0605,120.342194,0.95419717,1.0,0.45,4.7485855e-07,0.0
72N100,臺南農改場,2025-04-07,23.0605,120.342194,0.75574285,1.0,0.44,7.668937e-06,0.0
72N100,臺南農改場,2025-04-08,23.0605,120.342194,0.821723,1.0,0.12,8.2343774e-07,0.0
72N100,臺南農改場,2025-04-09,23.0605,120.342194,0.7375695,1.0,0.13,3.2393878e-08,0.0
72N100,臺南農改場,2025-04-10,23.0605,120.342194,0.4466582,1.0,0.08,2.0177445e-08,0.0
72N100,臺南農改場,2025-04-11,23.0605,120.342194,0.45730582,1.0,0.09,5.7130976e-08,0.0
72N100,臺南農改場,2025-04-12,23.0605,120.342194,0.3808376,,0.15,0.0003680917,0.0
72N100,臺南農改場,2025-04-13,23.0605,120.342194,0.45856318,,0.14,0.020984769,0.0
72N100,臺南農改場,2025-04-14,23.0605,120.342194,0.57313275,,0.2,0.9680781,0.0
72N100,臺南農改場,2025-04-15,23.0605,120.342194,0.88169247,,0.47,0.99592733,0.0
72N100,臺南農改場,2025-04-16,23.0605,120.342194,0.9458836,,0.86,0.9997188,0.0
72N100,臺南農改場,2025-04-17,23.0605,120.342194,0.92540544,,0.96,0.9982329,
72N100,臺南農改場,2025-04-18,23.0605,120.342194,0.9050232,,0.82,0.97917664,
72N100,臺南農改場,2025-04-19,23.0605,120.342194,0.8929543,,0.59,0.99894065,
72N100,臺南農改場,2025-04-20,23.0605,120.342194,0.8284292,,0.93,0.9976281,
72N100,臺南農改場,2025-04-21,23.0605,120.342194,0.9401575,,0.53,0.9980578,
72N100,臺南農改場,2025-04-22,23.0605,120.342194,0.9836266,,0.71,0.99952143,
72N100,臺南農改場,2025-04-23,23.0605,120.342194,0.98806477,,0.85,0.9979478,
72N100,臺南農改場,2025-04-24,23.0605,120.342194,0.97974247,,0.97,0.9961413,
72N100,臺南農改場,2025-04-25,23.0605,120.342194,0.97536355,,0.96,0.99383867,
72N100,臺南農改場,2025-04-26,23.0605,120.342194,,,0.98,0.99087,
