站號,站名,日期,lat,lon,BlastGRU-TW,BlastDT2,BlastLSTLS,BLBTSLS,planthopper
82A750,茶改北部分場,2025-11-02,24.955778,121.631222,0.068482496,0.0,0.99,0.9991443,0.0
82A750,茶改北部分場,2025-11-03,24.955778,121.631222,0.11739287,1.0,0.99,0.99953496,0.0
82A750,茶改北部分場,2025-11-04,24.955778,121.631222,0.2260073,1.0,0.99,0.99687785,0.0
82A750,茶改北部分場,2025-11-05,24.955778,121.631222,0.6691706,1.0,0.99,0.10590387,0.0
82A750,茶改北部分場,2025-11-06,24.955778,121.631222,0.91304344,0.0,0.98,0.004658713,0.0
82A750,茶改北部分場,2025-11-07,24.955778,121.631222,0.98919415,0.0,0.97,0.0004494238,0.0
82A750,茶改北部分場,2025-11-08,24.955778,121.631222,0.99587387,0.0,0.95,0.00075419154,0.0
82A750,茶改北部分場,2025-11-09,24.955778,121.631222,0.9977431,1.0,0.9,0.00015690828,0.0
82A750,茶改北部分場,2025-11-10,24.955778,121.631222,0.99791074,1.0,0.87,0.000109452216,7.4
82A750,茶改北部分場,2025-11-11,24.955778,121.631222,0.9977824,1.0,0.88,0.0035796596,7.4
82A750,茶改北部分場,2025-11-12,24.955778,121.631222,0.9952025,1.0,0.84,0.0004596449,0.0
82A750,茶改北部分場,2025-11-13,24.955778,121.631222,0.99645853,1.0,0.9,0.00028877408,0.0
82A750,茶改北部分場,2025-11-14,24.955778,121.631222,0.9831254,1.0,0.96,0.045660146,0.0
82A750,茶改北部分場,2025-11-15,24.955778,121.631222,0.9542403,1.0,0.99,0.99929,0.0
82A750,茶改北部分場,2025-11-16,24.955778,121.631222,0.88930714,1.0,0.99,0.9977849,0.0
82A750,茶改北部分場,2025-11-17,24.955778,121.631222,0.8480163,1.0,0.99,0.993753,0.0
82A750,茶改北部分場,2025-11-18,24.955778,121.631222,0.84769523,1.0,0.99,0.7581358,0.0
82A750,茶改北部分場,2025-11-19,24.955778,121.631222,0.8942834,0.0,0.99,0.0777172,0.0
82A750,茶改北部分場,2025-11-20,24.955778,121.631222,0.9185362,1.0,0.99,0.012764588,0.0
82A750,茶改北部分場,2025-11-21,24.955778,121.631222,0.9475102,1.0,0.99,0.23460637,0.0
82A750,茶改北部分場,2025-11-22,24.955778,121.631222,0.9396374,1.0,0.99,0.6845326,0.0
82A750,茶改北部分場,2025-11-23,24.955778,121.631222,0.72021776,0.0,0.99,3.9604956e-06,0.0
82A750,茶改北部分場,2025-11-24,24.955778,121.631222,0.20760052,0.0,0.99,6.510769e-07,0.0
82A750,茶改北部分場,2025-11-25,24.955778,121.631222,0.0376231,0.0,0.99,3.0394048e-08,0.0
82A750,茶改北部分場,2025-11-26,24.955778,121.631222,0.059043463,0.0,0.99,8.560212e-08,0.0
82A750,茶改北部分場,2025-11-27,24.955778,121.631222,0.4218361,0.0,0.99,1.6142117e-07,0.0
82A750,茶改北部分場,2025-11-28,24.955778,121.631222,0.74131745,1.0,0.99,3.1374717e-07,0.0
82A750,茶改北部分場,2025-11-29,24.955778,121.631222,0.91818976,1.0,0.99,5.2986778e-08,0.0
82A750,茶改北部分場,2025-11-30,24.955778,121.631222,0.9394885,0.0,0.99,8.936796e-09,0.0
82A750,茶改北部分場,2025-12-01,24.955778,121.631222,0.9703696,0.0,0.99,2.0772413e-08,0.0
82A750,茶改北部分場,2025-12-02,24.955778,121.631222,0.9834916,0.0,0.98,1.41559395e-08,0.0
82A750,茶改北部分場,2025-12-03,24.955778,121.631222,0.97654116,0.0,0.98,6.363472e-08,0.0
82A750,茶改北部分場,2025-12-04,24.955778,121.631222,0.9148102,1.0,0.96,3.320398e-07,0.0
82A750,茶改北部分場,2025-12-05,24.955778,121.631222,0.740257,,0.81,7.7817134e-08,0.0
82A750,茶改北部分場,2025-12-06,24.955778,121.631222,0.18841167,,0.67,1.6703588e-08,0.0
82A750,茶改北部分場,2025-12-07,24.955778,121.631222,0.075783096,,0.07,5.1125846e-07,0.0
82A750,茶改北部分場,2025-12-08,24.955778,121.631222,0.4616231,,0.06,7.076323e-08,0.0
82A750,茶改北部分場,2025-12-09,24.955778,121.631222,0.66094077,,0.05,7.556571e-07,0.0
82A750,茶改北部分場,2025-12-10,24.955778,121.631222,0.28092948,,0.05,1.2972006e-06,0.0
82A750,茶改北部分場,2025-12-11,24.955778,121.631222,0.04089827,,0.03,4.0413406e-06,
82A750,茶改北部分場,2025-12-12,24.955778,121.631222,0.0058429404,,0.03,8.5505606e-05,
82A750,茶改北部分場,2025-12-13,24.955778,121.631222,0.0034707799,,0.06,0.013916408,
82A750,茶改北部分場,2025-12-14,24.955778,121.631222,0.0041926093,,0.08,0.84175235,
82A750,茶改北部分場,2025-12-15,24.955778,121.631222,0.0018404585,,0.1,0.96606725,
82A750,茶改北部分場,2025-12-16,24.955778,121.631222,0.0015168961,,0.1,0.48812973,
82A750,茶改北部分場,2025-12-17,24.955778,121.631222,0.0005835201,,0.09,0.003689204,
82A750,茶改北部分場,2025-12-18,24.955778,121.631222,0.0003899225,,0.07,5.446547e-05,
82A750,茶改北部分場,2025-12-19,24.955778,121.631222,0.0008973129,,0.08,0.0001334438,
82A750,茶改北部分場,2025-12-20,24.955778,121.631222,,,0.09,0.0042559146,
