站號,站名,日期,lat,lon,BlastGRU-TW,BlastDT2,BlastLSTLS,BLBTSLS,planthopper
82H320,茶改中部分場,2025-07-30,23.875611,120.913583,0.9884725,1.0,0.92,4.4835488e-06,0.0
82H320,茶改中部分場,2025-07-31,23.875611,120.913583,0.98503,1.0,0.62,1.04188375e-05,0.0
82H320,茶改中部分場,2025-08-01,23.875611,120.913583,0.5623753,1.0,0.47,1.4948081e-06,0.0
82H320,茶改中部分場,2025-08-02,23.875611,120.913583,0.7914951,1.0,0.31,1.1820974e-06,0.0
82H320,茶改中部分場,2025-08-03,23.875611,120.913583,0.0824982,1.0,0.39,2.5382235e-06,0.0
82H320,茶改中部分場,2025-08-04,23.875611,120.913583,0.0077380785,1.0,0.39,1.1500135e-05,0.0
82H320,茶改中部分場,2025-08-05,23.875611,120.913583,0.0043444713,1.0,0.54,0.0012334057,0.0
82H320,茶改中部分場,2025-08-06,23.875611,120.913583,0.004804479,1.0,0.51,0.00029081944,0.0
82H320,茶改中部分場,2025-08-07,23.875611,120.913583,0.002864488,1.0,0.46,2.6528538e-05,0.0
82H320,茶改中部分場,2025-08-08,23.875611,120.913583,0.0025021965,1.0,0.42,0.6350194,19.0
82H320,茶改中部分場,2025-08-09,23.875611,120.913583,0.0024387387,1.0,0.57,0.004455853,11.0
82H320,茶改中部分場,2025-08-10,23.875611,120.913583,0.004028864,1.0,0.84,9.513346e-05,0.0
82H320,茶改中部分場,2025-08-11,23.875611,120.913583,0.0067120413,1.0,0.85,2.9940672e-06,11.0
82H320,茶改中部分場,2025-08-12,23.875611,120.913583,0.030113714,1.0,0.86,3.4376125e-08,19.0
82H320,茶改中部分場,2025-08-13,23.875611,120.913583,0.19391446,1.0,0.92,1.0279525e-07,0.0
82H320,茶改中部分場,2025-08-14,23.875611,120.913583,0.80286074,1.0,0.94,4.8619228e-08,0.0
82H320,茶改中部分場,2025-08-15,23.875611,120.913583,0.9615104,1.0,0.95,2.919555e-07,0.0
82H320,茶改中部分場,2025-08-16,23.875611,120.913583,0.98055506,1.0,0.92,0.0002539379,0.0
82H320,茶改中部分場,2025-08-17,23.875611,120.913583,0.98788804,1.0,0.86,0.00013028576,0.0
82H320,茶改中部分場,2025-08-18,23.875611,120.913583,0.98645335,0.0,0.76,0.00024681224,0.0
82H320,茶改中部分場,2025-08-19,23.875611,120.913583,0.99139327,1.0,0.36,8.0719224e-07,0.0
82H320,茶改中部分場,2025-08-20,23.875611,120.913583,0.99326974,0.0,0.32,1.8388624e-07,0.0
82H320,茶改中部分場,2025-08-21,23.875611,120.913583,0.99472314,1.0,0.33,2.654102e-08,0.0
82H320,茶改中部分場,2025-08-22,23.875611,120.913583,0.99568367,1.0,0.33,2.5352442e-08,0.0
82H320,茶改中部分場,2025-08-23,23.875611,120.913583,0.99598646,1.0,0.32,1.6057885e-07,0.0
82H320,茶改中部分場,2025-08-24,23.875611,120.913583,0.9908177,1.0,0.31,1.2150076e-06,0.0
82H320,茶改中部分場,2025-08-25,23.875611,120.913583,0.9616452,1.0,0.36,2.291459e-05,0.0
82H320,茶改中部分場,2025-08-26,23.875611,120.913583,0.8479772,1.0,0.4,4.9227725e-07,0.0
82H320,茶改中部分場,2025-08-27,23.875611,120.913583,0.8787509,1.0,0.76,7.719315e-08,0.0
82H320,茶改中部分場,2025-08-28,23.875611,120.913583,0.9000203,1.0,0.78,8.192073e-07,0.0
82H320,茶改中部分場,2025-08-29,23.875611,120.913583,0.8988422,1.0,0.78,2.5671144e-07,0.0
82H320,茶改中部分場,2025-08-30,23.875611,120.913583,0.926274,1.0,0.71,2.7532505e-07,0.0
82H320,茶改中部分場,2025-08-31,23.875611,120.913583,0.9463628,1.0,0.63,3.1104324e-07,0.0
82H320,茶改中部分場,2025-09-01,23.875611,120.913583,0.94704247,,0.59,6.338065e-07,0.0
82H320,茶改中部分場,2025-09-02,23.875611,120.913583,0.9449265,,0.62,5.5000532e-06,0.0
82H320,茶改中部分場,2025-09-03,23.875611,120.913583,0.9401943,,0.69,5.672716e-05,0.0
82H320,茶改中部分場,2025-09-04,23.875611,120.913583,0.9320622,,0.71,0.0022599516,0.0
82H320,茶改中部分場,2025-09-05,23.875611,120.913583,0.86570084,,0.69,0.02879336,0.0
82H320,茶改中部分場,2025-09-06,23.875611,120.913583,0.8633979,,0.73,0.760201,0.0
82H320,茶改中部分場,2025-09-07,23.875611,120.913583,0.9008603,,0.76,0.9720486,
82H320,茶改中部分場,2025-09-08,23.875611,120.913583,0.919697,,0.73,0.9963724,
82H320,茶改中部分場,2025-09-09,23.875611,120.913583,0.93382037,,0.76,0.9972791,
82H320,茶改中部分場,2025-09-10,23.875611,120.913583,0.9449877,,0.78,0.9967049,
82H320,茶改中部分場,2025-09-11,23.875611,120.913583,0.9644375,,0.79,0.99683344,
82H320,茶改中部分場,2025-09-12,23.875611,120.913583,0.9498985,,0.78,0.99629277,
82H320,茶改中部分場,2025-09-13,23.875611,120.913583,0.91260624,,0.92,0.9969737,
82H320,茶改中部分場,2025-09-14,23.875611,120.913583,0.8271491,,0.94,0.9976979,
82H320,茶改中部分場,2025-09-15,23.875611,120.913583,0.7009958,,0.95,0.99847406,
82H320,茶改中部分場,2025-09-16,23.875611,120.913583,,,0.96,0.99936694,
