站號,站名,日期,lat,lon,BlastGRU-TW,BlastDT2,BlastLSTLS,BLBTSLS,planthopper
A2K630,臺大雲林校區,2025-10-13,23.730628,120.423903,0.06261389,1.0,0.73,0.9858822,0.0
A2K630,臺大雲林校區,2025-10-14,23.730628,120.423903,0.06785818,1.0,0.66,0.99162656,0.0
A2K630,臺大雲林校區,2025-10-15,23.730628,120.423903,0.06883828,1.0,0.74,0.9903607,0.0
A2K630,臺大雲林校區,2025-10-16,23.730628,120.423903,0.05899738,1.0,0.77,0.9944191,0.0
A2K630,臺大雲林校區,2025-10-17,23.730628,120.423903,0.063061595,1.0,0.79,0.9945896,0.0
A2K630,臺大雲林校區,2025-10-18,23.730628,120.423903,0.06709763,1.0,0.72,0.9935696,0.0
A2K630,臺大雲林校區,2025-10-19,23.730628,120.423903,0.08137564,1.0,0.74,0.98455983,0.0
A2K630,臺大雲林校區,2025-10-20,23.730628,120.423903,0.079676025,1.0,0.77,0.9713466,0.0
A2K630,臺大雲林校區,2025-10-21,23.730628,120.423903,0.07049349,1.0,0.8,0.97404504,0.0
A2K630,臺大雲林校區,2025-10-22,23.730628,120.423903,0.060945645,1.0,0.82,0.9824178,0.0
A2K630,臺大雲林校區,2025-10-23,23.730628,120.423903,0.061336692,1.0,0.84,0.9721493,0.0
A2K630,臺大雲林校區,2025-10-24,23.730628,120.423903,0.062314443,1.0,0.85,0.9006604,0.0
A2K630,臺大雲林校區,2025-10-25,23.730628,120.423903,0.08837185,1.0,0.88,0.883161,0.0
A2K630,臺大雲林校區,2025-10-26,23.730628,120.423903,0.1256199,0.0,0.89,0.4883377,0.0
A2K630,臺大雲林校區,2025-10-27,23.730628,120.423903,0.21100987,0.0,0.89,0.5474066,0.0
A2K630,臺大雲林校區,2025-10-28,23.730628,120.423903,0.31594822,0.0,0.88,0.8404807,0.0
A2K630,臺大雲林校區,2025-10-29,23.730628,120.423903,0.42199922,0.0,0.88,0.6097743,0.0
A2K630,臺大雲林校區,2025-10-30,23.730628,120.423903,0.38676846,1.0,0.89,0.6577666,0.0
A2K630,臺大雲林校區,2025-10-31,23.730628,120.423903,0.30803573,1.0,0.88,0.6173488,0.0
A2K630,臺大雲林校區,2025-11-01,23.730628,120.423903,0.22817801,1.0,0.89,0.5328801,0.0
A2K630,臺大雲林校區,2025-11-02,23.730628,120.423903,0.26007643,1.0,0.87,0.2966318,0.0
A2K630,臺大雲林校區,2025-11-03,23.730628,120.423903,0.38477862,1.0,0.86,0.98537326,0.0
A2K630,臺大雲林校區,2025-11-04,23.730628,120.423903,0.32183582,1.0,0.87,0.994101,0.0
A2K630,臺大雲林校區,2025-11-05,23.730628,120.423903,0.3473389,1.0,0.86,0.9988635,0.0
A2K630,臺大雲林校區,2025-11-06,23.730628,120.423903,0.25483987,0.0,0.85,0.99965966,0.0
A2K630,臺大雲林校區,2025-11-07,23.730628,120.423903,0.23971556,0.0,0.79,0.9997306,0.0
A2K630,臺大雲林校區,2025-11-08,23.730628,120.423903,0.2829138,0.0,0.83,0.9998906,0.0
A2K630,臺大雲林校區,2025-11-09,23.730628,120.423903,0.3512623,1.0,0.84,0.999104,0.0
A2K630,臺大雲林校區,2025-11-10,23.730628,120.423903,0.54252607,1.0,0.87,0.998834,3.7
A2K630,臺大雲林校區,2025-11-11,23.730628,120.423903,0.7158032,1.0,0.85,0.99896973,7.4
A2K630,臺大雲林校區,2025-11-12,23.730628,120.423903,0.7708587,1.0,0.8,0.99849397,0.0
A2K630,臺大雲林校區,2025-11-13,23.730628,120.423903,0.7869557,1.0,0.84,0.9992552,0.0
A2K630,臺大雲林校區,2025-11-14,23.730628,120.423903,0.8494565,0.0,0.87,0.9995595,0.0
A2K630,臺大雲林校區,2025-11-15,23.730628,120.423903,0.8621816,,0.92,0.9997855,0.0
A2K630,臺大雲林校區,2025-11-16,23.730628,120.423903,0.8645889,,0.93,0.99969876,0.0
A2K630,臺大雲林校區,2025-11-17,23.730628,120.423903,0.8105297,,0.94,0.0090086935,0.0
A2K630,臺大雲林校區,2025-11-18,23.730628,120.423903,0.7559209,,0.97,0.8095911,0.0
A2K630,臺大雲林校區,2025-11-19,23.730628,120.423903,0.7996024,,0.98,0.9902843,0.0
A2K630,臺大雲林校區,2025-11-20,23.730628,120.423903,0.89527804,,0.99,0.9994216,0.0
A2K630,臺大雲林校區,2025-11-21,23.730628,120.423903,0.93603367,,0.99,0.99978447,
A2K630,臺大雲林校區,2025-11-22,23.730628,120.423903,0.89469844,,1.0,0.9998791,
A2K630,臺大雲林校區,2025-11-23,23.730628,120.423903,0.71861356,,1.0,0.9883823,
A2K630,臺大雲林校區,2025-11-24,23.730628,120.423903,0.49434486,,1.0,0.9778544,
A2K630,臺大雲林校區,2025-11-25,23.730628,120.423903,0.24025118,,1.0,0.9867843,
A2K630,臺大雲林校區,2025-11-26,23.730628,120.423903,0.14553852,,1.0,0.98999554,
A2K630,臺大雲林校區,2025-11-27,23.730628,120.423903,0.11220705,,1.0,0.98350215,
A2K630,臺大雲林校區,2025-11-28,23.730628,120.423903,0.08164509,,0.99,0.9877783,
A2K630,臺大雲林校區,2025-11-29,23.730628,120.423903,0.061214313,,0.99,0.9655637,
A2K630,臺大雲林校區,2025-11-30,23.730628,120.423903,,,1.0,0.9964652,
