站號,站名,日期,lat,lon,BlastGRU-TW,BlastDT2,BlastLSTLS,BLBTSLS,planthopper
A2N290,臺南蘭花園區,2026-03-27,23.340258,120.379661,0.11653943,1.0,0.63,0.14005502,0.0
A2N290,臺南蘭花園區,2026-03-28,23.340258,120.379661,0.10117737,1.0,0.71,0.235475,0.0
A2N290,臺南蘭花園區,2026-03-29,23.340258,120.379661,0.08423544,1.0,0.77,0.22222793,0.0
A2N290,臺南蘭花園區,2026-03-30,23.340258,120.379661,0.09666426,1.0,0.18,0.9876966,0.0
A2N290,臺南蘭花園區,2026-03-31,23.340258,120.379661,0.13390866,1.0,0.41,0.9908019,7.4
A2N290,臺南蘭花園區,2026-04-01,23.340258,120.379661,0.15003291,1.0,0.4,0.9993681,0.0
A2N290,臺南蘭花園區,2026-04-02,23.340258,120.379661,0.4922875,1.0,0.46,0.9987445,11.0
A2N290,臺南蘭花園區,2026-04-03,23.340258,120.379661,0.7398373,1.0,0.44,0.9993427,7.4
A2N290,臺南蘭花園區,2026-04-04,23.340258,120.379661,0.8036232,1.0,0.88,0.99911433,7.4
A2N290,臺南蘭花園區,2026-04-05,23.340258,120.379661,0.81193715,1.0,0.69,0.99899864,0.0
A2N290,臺南蘭花園區,2026-04-06,23.340258,120.379661,0.81346154,1.0,0.35,0.99864674,0.0
A2N290,臺南蘭花園區,2026-04-07,23.340258,120.379661,0.82391787,1.0,0.38,0.00013101968,0.0
A2N290,臺南蘭花園區,2026-04-08,23.340258,120.379661,0.94498837,0.0,0.55,1.201195e-05,0.0
A2N290,臺南蘭花園區,2026-04-09,23.340258,120.379661,0.97067344,1.0,0.91,2.119403e-06,3.7
A2N290,臺南蘭花園區,2026-04-10,23.340258,120.379661,0.9876419,1.0,0.94,8.435641e-07,0.0
A2N290,臺南蘭花園區,2026-04-11,23.340258,120.379661,0.98884577,1.0,0.98,0.00016968623,0.0
A2N290,臺南蘭花園區,2026-04-12,23.340258,120.379661,0.67849904,1.0,0.99,0.0007285675,0.0
A2N290,臺南蘭花園區,2026-04-13,23.340258,120.379661,0.48799714,1.0,1.0,0.028575486,0.0
A2N290,臺南蘭花園區,2026-04-14,23.340258,120.379661,0.76090944,1.0,1.0,0.019260695,0.0
A2N290,臺南蘭花園區,2026-04-15,23.340258,120.379661,0.98020154,1.0,1.0,0.0010893148,0.0
A2N290,臺南蘭花園區,2026-04-16,23.340258,120.379661,0.9950316,1.0,1.0,0.0010534739,0.0
A2N290,臺南蘭花園區,2026-04-17,23.340258,120.379661,0.9874219,1.0,0.99,6.9363574e-05,11.0
A2N290,臺南蘭花園區,2026-04-18,23.340258,120.379661,0.8642293,1.0,0.99,1.4439346e-05,0.0
A2N290,臺南蘭花園區,2026-04-19,23.340258,120.379661,0.83594936,1.0,1.0,1.7386772e-05,0.0
A2N290,臺南蘭花園區,2026-04-20,23.340258,120.379661,0.900421,1.0,1.0,0.12084319,0.0
A2N290,臺南蘭花園區,2026-04-21,23.340258,120.379661,0.9561503,1.0,1.0,6.0940187e-05,3.7
A2N290,臺南蘭花園區,2026-04-22,23.340258,120.379661,0.97801423,1.0,1.0,2.3992854e-05,3.7
A2N290,臺南蘭花園區,2026-04-23,23.340258,120.379661,0.9898754,1.0,0.99,9.928178e-05,3.7
A2N290,臺南蘭花園區,2026-04-24,23.340258,120.379661,0.99582714,1.0,0.98,0.0016083561,0.0
A2N290,臺南蘭花園區,2026-04-25,23.340258,120.379661,0.9944211,1.0,0.98,0.0006648178,0.0
A2N290,臺南蘭花園區,2026-04-26,23.340258,120.379661,0.99157673,1.0,0.98,0.02474404,0.0
A2N290,臺南蘭花園區,2026-04-27,23.340258,120.379661,0.9937448,0.0,0.97,0.04796885,3.7
A2N290,臺南蘭花園區,2026-04-28,23.340258,120.379661,0.9850968,1.0,0.97,0.9775946,0.0
A2N290,臺南蘭花園區,2026-04-29,23.340258,120.379661,0.952392,1.0,0.96,0.83223015,0.0
A2N290,臺南蘭花園區,2026-04-30,23.340258,120.379661,0.8248553,0.0,0.95,0.00023724815,0.0
A2N290,臺南蘭花園區,2026-05-01,23.340258,120.379661,0.7295359,,0.96,0.00010810604,0.0
A2N290,臺南蘭花園區,2026-05-02,23.340258,120.379661,0.8796349,,0.9,0.453418,0.0
A2N290,臺南蘭花園區,2026-05-03,23.340258,120.379661,0.8782916,,0.92,0.7878178,0.0
A2N290,臺南蘭花園區,2026-05-04,23.340258,120.379661,0.8150024,,0.95,0.9906807,0.0
A2N290,臺南蘭花園區,2026-05-05,23.340258,120.379661,0.7082069,,0.91,0.99740994,
A2N290,臺南蘭花園區,2026-05-06,23.340258,120.379661,0.86432827,,0.87,0.9967322,
A2N290,臺南蘭花園區,2026-05-07,23.340258,120.379661,0.88032967,,0.86,0.9993871,
A2N290,臺南蘭花園區,2026-05-08,23.340258,120.379661,0.8754414,,0.85,0.9985144,
A2N290,臺南蘭花園區,2026-05-09,23.340258,120.379661,0.8036211,,0.89,0.99887276,
A2N290,臺南蘭花園區,2026-05-10,23.340258,120.379661,0.77352965,,0.96,0.9941175,
A2N290,臺南蘭花園區,2026-05-11,23.340258,120.379661,0.8191788,,0.93,0.9889269,
A2N290,臺南蘭花園區,2026-05-12,23.340258,120.379661,0.8492601,,0.91,0.9912232,
A2N290,臺南蘭花園區,2026-05-13,23.340258,120.379661,,,0.88,0.9936375,
