站號,站名,日期,lat,lon,BlastGRU-TW,BlastDT2,BlastLSTLS,BLBTSLS,planthopper
B2E890,畜試北區分所,2025-07-20,24.527806,120.770972,0.040835015,1.0,0.97,2.331059e-08,11.0
B2E890,畜試北區分所,2025-07-21,24.527806,120.770972,0.08088935,1.0,0.95,5.5327087e-05,0.0
B2E890,畜試北區分所,2025-07-22,24.527806,120.770972,0.114342526,1.0,0.92,0.0057066455,0.0
B2E890,畜試北區分所,2025-07-23,24.527806,120.770972,0.16690354,1.0,0.87,0.025231047,0.0
B2E890,畜試北區分所,2025-07-24,24.527806,120.770972,0.28025964,1.0,0.76,0.026700279,7.4
B2E890,畜試北區分所,2025-07-25,24.527806,120.770972,0.39350808,1.0,0.49,0.079372436,7.4
B2E890,畜試北區分所,2025-07-26,24.527806,120.770972,0.5368913,1.0,0.36,0.3777556,11.0
B2E890,畜試北區分所,2025-07-27,24.527806,120.770972,0.8509585,1.0,0.69,0.23907998,30.0
B2E890,畜試北區分所,2025-07-28,24.527806,120.770972,0.9583673,1.0,0.3,0.010811088,19.0
B2E890,畜試北區分所,2025-07-29,24.527806,120.770972,0.9566871,1.0,0.53,0.03586155,11.0
B2E890,畜試北區分所,2025-07-30,24.527806,120.770972,0.80558836,1.0,0.52,0.10314521,3.7
B2E890,畜試北區分所,2025-07-31,24.527806,120.770972,0.9997806,1.0,0.24,0.22251616,0.0
B2E890,畜試北區分所,2025-08-01,24.527806,120.770972,0.9955971,1.0,0.19,0.8434066,0.0
B2E890,畜試北區分所,2025-08-02,24.527806,120.770972,0.55408967,1.0,0.21,0.94953376,0.0
B2E890,畜試北區分所,2025-08-03,24.527806,120.770972,0.30409095,1.0,0.22,0.39705473,0.0
B2E890,畜試北區分所,2025-08-04,24.527806,120.770972,0.2205059,1.0,0.49,0.90612,0.0
B2E890,畜試北區分所,2025-08-05,24.527806,120.770972,0.19062585,1.0,0.76,0.9095594,0.0
B2E890,畜試北區分所,2025-08-06,24.527806,120.770972,0.15869801,1.0,0.84,0.018307107,0.0
B2E890,畜試北區分所,2025-08-07,24.527806,120.770972,0.07914415,1.0,0.75,0.5434705,0.0
B2E890,畜試北區分所,2025-08-08,24.527806,120.770972,0.054338433,1.0,0.75,0.9272068,19.0
B2E890,畜試北區分所,2025-08-09,24.527806,120.770972,0.055386096,1.0,0.81,0.31521437,19.0
B2E890,畜試北區分所,2025-08-10,24.527806,120.770972,0.09855508,1.0,0.84,0.12096269,0.0
B2E890,畜試北區分所,2025-08-11,24.527806,120.770972,0.2465042,1.0,0.87,0.0003406993,7.4
B2E890,畜試北區分所,2025-08-12,24.527806,120.770972,0.5624797,1.0,0.88,0.00019083629,7.4
B2E890,畜試北區分所,2025-08-13,24.527806,120.770972,0.8109025,1.0,0.92,2.6877284e-05,0.0
B2E890,畜試北區分所,2025-08-14,24.527806,120.770972,0.9480906,1.0,0.94,1.1564836e-05,0.0
B2E890,畜試北區分所,2025-08-15,24.527806,120.770972,0.9840656,1.0,0.87,0.00028392966,0.0
B2E890,畜試北區分所,2025-08-16,24.527806,120.770972,0.9879465,1.0,0.75,0.005740577,0.0
B2E890,畜試北區分所,2025-08-17,24.527806,120.770972,0.9912798,1.0,0.92,0.010589172,0.0
B2E890,畜試北區分所,2025-08-18,24.527806,120.770972,0.98436177,1.0,0.94,0.0001609078,0.0
B2E890,畜試北區分所,2025-08-19,24.527806,120.770972,0.95794344,1.0,0.98,0.00016457369,0.0
B2E890,畜試北區分所,2025-08-20,24.527806,120.770972,0.7815459,1.0,0.99,0.000673479,3.7
B2E890,畜試北區分所,2025-08-21,24.527806,120.770972,0.7042128,1.0,0.99,0.0024376416,3.7
B2E890,畜試北區分所,2025-08-22,24.527806,120.770972,0.76282114,0.0,0.99,0.8440841,0.0
B2E890,畜試北區分所,2025-08-23,24.527806,120.770972,0.8508801,,0.99,0.9612455,0.0
B2E890,畜試北區分所,2025-08-24,24.527806,120.770972,0.88513654,,0.99,0.95312655,0.0
B2E890,畜試北區分所,2025-08-25,24.527806,120.770972,0.8027855,,0.98,0.956831,0.0
B2E890,畜試北區分所,2025-08-26,24.527806,120.770972,0.5929832,,0.95,0.9712065,0.0
B2E890,畜試北區分所,2025-08-27,24.527806,120.770972,0.3762582,,0.86,0.9357318,0.0
B2E890,畜試北區分所,2025-08-28,24.527806,120.770972,0.27799687,,0.73,0.85839564,
B2E890,畜試北區分所,2025-08-29,24.527806,120.770972,0.29643273,,0.65,0.7651695,
B2E890,畜試北區分所,2025-08-30,24.527806,120.770972,0.33257374,,0.56,0.58176327,
B2E890,畜試北區分所,2025-08-31,24.527806,120.770972,0.32269192,,0.49,0.3886386,
B2E890,畜試北區分所,2025-09-01,24.527806,120.770972,0.23825926,,0.32,0.50810146,
B2E890,畜試北區分所,2025-09-02,24.527806,120.770972,0.13080835,,0.19,0.7262698,
B2E890,畜試北區分所,2025-09-03,24.527806,120.770972,0.09768217,,0.15,0.8572358,
B2E890,畜試北區分所,2025-09-04,24.527806,120.770972,0.1418507,,0.11,0.88656384,
B2E890,畜試北區分所,2025-09-05,24.527806,120.770972,0.22573718,,0.09,0.8966211,
B2E890,畜試北區分所,2025-09-06,24.527806,120.770972,,,0.09,0.7809597,
