站號,站名,日期,lat,lon,BlastGRU-TW,BlastDT2,BlastLSTLS,BLBTSLS,planthopper
C0AD50,鶯歌,2026-04-22,24.951533,121.346294,0.9172439,1.0,0.12,0.06895717,7.4
C0AD50,鶯歌,2026-04-23,24.951533,121.346294,0.9769937,1.0,0.1,0.0005535064,0.0
C0AD50,鶯歌,2026-04-24,24.951533,121.346294,0.99152726,1.0,0.03,0.04759723,0.0
C0AD50,鶯歌,2026-04-25,24.951533,121.346294,0.9946542,0.0,0.04,5.3409562e-06,0.0
C0AD50,鶯歌,2026-04-26,24.951533,121.346294,0.99443185,0.0,0.03,1.8736788e-06,0.0
C0AD50,鶯歌,2026-04-27,24.951533,121.346294,0.9961201,1.0,0.03,1.1765392e-06,0.0
C0AD50,鶯歌,2026-04-28,24.951533,121.346294,0.99409324,1.0,0.04,8.194662e-08,0.0
C0AD50,鶯歌,2026-04-29,24.951533,121.346294,0.98151267,1.0,0.04,6.2875096e-09,0.0
C0AD50,鶯歌,2026-04-30,24.951533,121.346294,0.8896012,1.0,0.04,4.4633726e-08,0.0
C0AD50,鶯歌,2026-05-01,24.951533,121.346294,0.82011193,0.0,0.03,3.8495673e-09,0.0
C0AD50,鶯歌,2026-05-02,24.951533,121.346294,0.8832223,0.0,0.04,1.5503986e-09,7.4
C0AD50,鶯歌,2026-05-03,24.951533,121.346294,0.92249024,0.0,0.04,8.4692087e-10,0.0
C0AD50,鶯歌,2026-05-04,24.951533,121.346294,0.9493945,1.0,0.05,8.741351e-10,0.0
C0AD50,鶯歌,2026-05-05,24.951533,121.346294,0.9627425,1.0,0.07,1.0241828e-08,0.0
C0AD50,鶯歌,2026-05-06,24.951533,121.346294,0.97288275,1.0,0.13,3.4449423e-09,0.0
C0AD50,鶯歌,2026-05-07,24.951533,121.346294,0.9697651,1.0,0.24,8.520409e-10,0.0
C0AD50,鶯歌,2026-05-08,24.951533,121.346294,0.93832076,1.0,0.3,3.8879952e-10,0.0
C0AD50,鶯歌,2026-05-09,24.951533,121.346294,0.96840173,1.0,0.21,1.9775699e-09,0.0
C0AD50,鶯歌,2026-05-10,24.951533,121.346294,0.9803204,1.0,0.45,2.1680957e-08,0.0
C0AD50,鶯歌,2026-05-11,24.951533,121.346294,0.98672205,1.0,0.41,9.2120604e-09,0.0
C0AD50,鶯歌,2026-05-12,24.951533,121.346294,0.99437475,1.0,0.44,1.1505816e-09,0.0
C0AD50,鶯歌,2026-05-13,24.951533,121.346294,0.99425805,1.0,0.55,4.9715156e-09,0.0
C0AD50,鶯歌,2026-05-14,24.951533,121.346294,0.98723555,1.0,0.46,2.6222338e-06,0.0
C0AD50,鶯歌,2026-05-15,24.951533,121.346294,0.9815778,1.0,0.37,3.1234872e-08,0.0
C0AD50,鶯歌,2026-05-16,24.951533,121.346294,0.9848777,1.0,0.27,1.10457465e-08,0.0
C0AD50,鶯歌,2026-05-17,24.951533,121.346294,0.95470804,1.0,0.36,0.004490136,0.0
C0AD50,鶯歌,2026-05-18,24.951533,121.346294,0.7256524,1.0,0.75,0.023229377,0.0
C0AD50,鶯歌,2026-05-19,24.951533,121.346294,0.6595585,1.0,0.82,0.00017015835,0.0
C0AD50,鶯歌,2026-05-20,24.951533,121.346294,0.9303772,1.0,0.27,0.0014125744,0.0
C0AD50,鶯歌,2026-05-21,24.951533,121.346294,0.9509519,0.0,0.06,6.9855537e-06,0.0
C0AD50,鶯歌,2026-05-22,24.951533,121.346294,0.9616788,0.0,0.06,6.518823e-06,3.7
C0AD50,鶯歌,2026-05-23,24.951533,121.346294,0.97733814,0.0,0.09,6.9263365e-08,0.0
C0AD50,鶯歌,2026-05-24,24.951533,121.346294,0.97978014,1.0,0.97,1.0917126e-07,0.0
C0AD50,鶯歌,2026-05-25,24.951533,121.346294,0.9764098,0.0,0.99,2.586417e-07,0.0
C0AD50,鶯歌,2026-05-26,24.951533,121.346294,0.96808356,,0.99,0.5001536,3.7
C0AD50,鶯歌,2026-05-27,24.951533,121.346294,0.9528314,,1.0,0.043886565,7.4
C0AD50,鶯歌,2026-05-28,24.951533,121.346294,0.9000283,,0.87,0.7921851,0.0
C0AD50,鶯歌,2026-05-29,24.951533,121.346294,0.8487629,,0.95,0.9993811,0.0
C0AD50,鶯歌,2026-05-30,24.951533,121.346294,0.8079243,,0.94,0.99939555,0.0
C0AD50,鶯歌,2026-05-31,24.951533,121.346294,0.7365833,,0.95,0.9996316,
C0AD50,鶯歌,2026-06-01,24.951533,121.346294,0.8239016,,0.91,0.99899226,
C0AD50,鶯歌,2026-06-02,24.951533,121.346294,0.92462164,,0.84,0.99628526,
C0AD50,鶯歌,2026-06-03,24.951533,121.346294,0.8942479,,0.81,0.9464877,
C0AD50,鶯歌,2026-06-04,24.951533,121.346294,0.937967,,0.76,0.072674856,
C0AD50,鶯歌,2026-06-05,24.951533,121.346294,0.643118,,0.81,0.101319745,
C0AD50,鶯歌,2026-06-06,24.951533,121.346294,0.3692287,,0.89,0.09059819,
C0AD50,鶯歌,2026-06-07,24.951533,121.346294,0.3773972,,0.93,0.04070889,
C0AD50,鶯歌,2026-06-08,24.951533,121.346294,0.67806983,,0.74,0.017403236,
C0AD50,鶯歌,2026-06-09,24.951533,121.346294,,,0.53,0.35300827,
