站號,站名,日期,lat,lon,BlastGRU-TW,BlastDT2,BlastLSTLS,BLBTSLS,planthopper
C0AJ60,六塊厝,2025-03-10,25.24,121.4481,0.0075663556,1.0,0.94,9.0309754e-08,0.0
C0AJ60,六塊厝,2025-03-11,25.24,121.4481,0.0062973546,1.0,0.8,3.5432055e-07,3.7
C0AJ60,六塊厝,2025-03-12,25.24,121.4481,0.015193964,0.0,0.76,5.429792e-07,0.0
C0AJ60,六塊厝,2025-03-13,25.24,121.4481,0.029715607,0.0,0.75,3.3414238e-07,0.0
C0AJ60,六塊厝,2025-03-14,25.24,121.4481,0.06900499,0.0,0.84,7.9688556e-07,0.0
C0AJ60,六塊厝,2025-03-15,25.24,121.4481,0.047812153,0.0,0.93,2.8901516e-07,0.0
C0AJ60,六塊厝,2025-03-16,25.24,121.4481,0.022324793,0.0,0.98,7.1916526e-07,0.0
C0AJ60,六塊厝,2025-03-17,25.24,121.4481,0.29677683,0.0,0.99,1.3314721e-08,0.0
C0AJ60,六塊厝,2025-03-18,25.24,121.4481,0.09296766,1.0,0.97,1.3702518e-08,0.0
C0AJ60,六塊厝,2025-03-19,25.24,121.4481,0.04804649,1.0,0.94,1.3464188e-07,0.0
C0AJ60,六塊厝,2025-03-20,25.24,121.4481,0.21275178,1.0,0.9,1.2652983e-07,0.0
C0AJ60,六塊厝,2025-03-21,25.24,121.4481,0.4179223,0.0,0.93,1.700301e-08,0.0
C0AJ60,六塊厝,2025-03-22,25.24,121.4481,0.56597704,0.0,0.95,4.0239698e-08,0.0
C0AJ60,六塊厝,2025-03-23,25.24,121.4481,0.31350192,0.0,0.96,7.475133e-07,3.7
C0AJ60,六塊厝,2025-03-24,25.24,121.4481,0.72368884,0.0,0.95,9.550741e-07,0.0
C0AJ60,六塊厝,2025-03-25,25.24,121.4481,0.9389631,0.0,0.92,0.0020411992,19.0
C0AJ60,六塊厝,2025-03-26,25.24,121.4481,0.9482835,0.0,0.79,0.4139253,3.7
C0AJ60,六塊厝,2025-03-27,25.24,121.4481,0.8256365,0.0,0.61,0.8005177,0.0
C0AJ60,六塊厝,2025-03-28,25.24,121.4481,0.9037743,0.0,0.54,0.17086115,0.0
C0AJ60,六塊厝,2025-03-29,25.24,121.4481,0.9444907,0.0,0.3,0.024024129,0.0
C0AJ60,六塊厝,2025-03-30,25.24,121.4481,0.9757787,0.0,0.08,0.001507577,0.0
C0AJ60,六塊厝,2025-03-31,25.24,121.4481,0.98979425,1.0,0.15,0.00010475154,0.0
C0AJ60,六塊厝,2025-04-01,25.24,121.4481,0.99557817,1.0,0.43,4.163503e-06,0.0
C0AJ60,六塊厝,2025-04-02,25.24,121.4481,0.9928511,1.0,0.38,1.6102142e-09,0.0
C0AJ60,六塊厝,2025-04-03,25.24,121.4481,0.99145675,1.0,0.16,7.60516e-09,0.0
C0AJ60,六塊厝,2025-04-04,25.24,121.4481,0.9437543,1.0,0.2,3.6737367e-07,0.0
C0AJ60,六塊厝,2025-04-05,25.24,121.4481,0.5257481,0.0,0.37,4.0679483e-06,0.0
C0AJ60,六塊厝,2025-04-06,25.24,121.4481,0.037906956,0.0,0.19,4.9157217e-07,0.0
C0AJ60,六塊厝,2025-04-07,25.24,121.4481,0.012567167,0.0,0.15,6.382289e-08,0.0
C0AJ60,六塊厝,2025-04-08,25.24,121.4481,0.02088788,0.0,0.4,1.7431678e-06,3.7
C0AJ60,六塊厝,2025-04-09,25.24,121.4481,0.010981494,0.0,0.48,0.0008784236,3.7
C0AJ60,六塊厝,2025-04-10,25.24,121.4481,0.016036272,0.0,0.62,1.3678608e-06,0.0
C0AJ60,六塊厝,2025-04-11,25.24,121.4481,0.3795146,0.0,0.51,5.664855e-08,0.0
C0AJ60,六塊厝,2025-04-12,25.24,121.4481,0.8177943,1.0,0.47,0.0010200838,0.0
C0AJ60,六塊厝,2025-04-13,25.24,121.4481,0.9372,,0.6,0.046636395,11.0
C0AJ60,六塊厝,2025-04-14,25.24,121.4481,0.98252285,,0.79,4.6040823e-05,0.0
C0AJ60,六塊厝,2025-04-15,25.24,121.4481,0.9910524,,0.95,3.25638e-08,7.4
C0AJ60,六塊厝,2025-04-16,25.24,121.4481,0.98814625,,0.99,5.161058e-08,0.0
C0AJ60,六塊厝,2025-04-17,25.24,121.4481,0.9133794,,0.99,2.9481404e-08,0.0
C0AJ60,六塊厝,2025-04-18,25.24,121.4481,0.7949823,,0.98,3.468288e-09,
C0AJ60,六塊厝,2025-04-19,25.24,121.4481,0.6748185,,0.98,7.838616e-09,
C0AJ60,六塊厝,2025-04-20,25.24,121.4481,0.832468,,0.98,1.8800455e-08,
C0AJ60,六塊厝,2025-04-21,25.24,121.4481,0.9671231,,0.98,6.159013e-08,
C0AJ60,六塊厝,2025-04-22,25.24,121.4481,0.9801435,,0.99,0.35073665,
C0AJ60,六塊厝,2025-04-23,25.24,121.4481,0.93523204,,0.98,0.7259035,
C0AJ60,六塊厝,2025-04-24,25.24,121.4481,0.95704156,,0.99,0.16907729,
C0AJ60,六塊厝,2025-04-25,25.24,121.4481,0.98114985,,1.0,0.002706771,
C0AJ60,六塊厝,2025-04-26,25.24,121.4481,0.98975235,,1.0,0.2225764,
C0AJ60,六塊厝,2025-04-27,25.24,121.4481,,,1.0,0.92676926,
