站號,站名,日期,lat,lon,BlastGRU-TW,BlastDT2,BlastLSTLS,BLBTSLS,planthopper
C0B050,八斗子,2025-07-19,25.144754,121.79167,0.043973517,0.0,0.38,0.00055574026,11.0
C0B050,八斗子,2025-07-20,25.144754,121.79167,0.05970969,0.0,0.31,0.011777843,3.7
C0B050,八斗子,2025-07-21,25.144754,121.79167,0.081519485,1.0,0.23,0.031596642,0.0
C0B050,八斗子,2025-07-22,25.144754,121.79167,0.30263326,1.0,0.22,0.84835756,0.0
C0B050,八斗子,2025-07-23,25.144754,121.79167,0.2325948,1.0,0.19,0.6684038,0.0
C0B050,八斗子,2025-07-24,25.144754,121.79167,0.87469274,1.0,0.25,0.45192742,3.7
C0B050,八斗子,2025-07-25,25.144754,121.79167,0.08684371,1.0,0.58,0.54724145,3.7
C0B050,八斗子,2025-07-26,25.144754,121.79167,0.056580964,1.0,0.96,0.95981705,15.0
C0B050,八斗子,2025-07-27,25.144754,121.79167,0.06501049,1.0,0.97,0.99547327,15.0
C0B050,八斗子,2025-07-28,25.144754,121.79167,0.060908828,1.0,0.98,0.99730885,7.4
C0B050,八斗子,2025-07-29,25.144754,121.79167,0.04499016,1.0,1.0,0.986308,3.7
C0B050,八斗子,2025-07-30,25.144754,121.79167,0.019104881,1.0,1.0,0.9948327,3.7
C0B050,八斗子,2025-07-31,25.144754,121.79167,0.016566051,1.0,1.0,0.9826439,0.0
C0B050,八斗子,2025-08-01,25.144754,121.79167,0.017889343,1.0,1.0,0.832139,0.0
C0B050,八斗子,2025-08-02,25.144754,121.79167,0.018480303,1.0,0.99,0.043299105,0.0
C0B050,八斗子,2025-08-03,25.144754,121.79167,0.019043745,1.0,0.96,0.06639932,0.0
C0B050,八斗子,2025-08-04,25.144754,121.79167,0.020647373,0.0,0.9,0.010627419,3.7
C0B050,八斗子,2025-08-05,25.144754,121.79167,0.019370217,1.0,0.9,0.0006501692,0.0
C0B050,八斗子,2025-08-06,25.144754,121.79167,0.017953066,1.0,0.92,0.83750755,0.0
C0B050,八斗子,2025-08-07,25.144754,121.79167,0.024242694,1.0,0.97,0.82119185,0.0
C0B050,八斗子,2025-08-08,25.144754,121.79167,0.03184776,1.0,0.99,0.98703504,3.7
C0B050,八斗子,2025-08-09,25.144754,121.79167,0.049464118,1.0,0.99,0.6741309,11.0
C0B050,八斗子,2025-08-10,25.144754,121.79167,0.06967399,1.0,0.99,0.438606,0.0
C0B050,八斗子,2025-08-11,25.144754,121.79167,0.0602875,1.0,0.99,0.89257884,0.0
C0B050,八斗子,2025-08-12,25.144754,121.79167,0.055353917,1.0,0.81,0.9157514,7.4
C0B050,八斗子,2025-08-13,25.144754,121.79167,0.029354224,1.0,0.36,0.89658093,0.0
C0B050,八斗子,2025-08-14,25.144754,121.79167,0.05321182,1.0,0.52,0.83040327,0.0
C0B050,八斗子,2025-08-15,25.144754,121.79167,0.103820056,1.0,0.46,0.7408241,0.0
C0B050,八斗子,2025-08-16,25.144754,121.79167,0.17134541,1.0,0.3,0.9135704,0.0
C0B050,八斗子,2025-08-17,25.144754,121.79167,0.10179751,1.0,0.25,0.9790971,0.0
C0B050,八斗子,2025-08-18,25.144754,121.79167,0.102439985,1.0,0.62,0.88115597,0.0
C0B050,八斗子,2025-08-19,25.144754,121.79167,0.080210455,0.0,0.86,0.71474165,7.4
C0B050,八斗子,2025-08-20,25.144754,121.79167,0.061484713,0.0,0.78,0.6007895,3.7
C0B050,八斗子,2025-08-21,25.144754,121.79167,0.044702526,,0.98,0.41287112,3.7
C0B050,八斗子,2025-08-22,25.144754,121.79167,0.03777674,,0.99,0.5651561,0.0
C0B050,八斗子,2025-08-23,25.144754,121.79167,0.044109482,,0.99,0.5374559,0.0
C0B050,八斗子,2025-08-24,25.144754,121.79167,0.049914602,,0.99,0.25384232,0.0
C0B050,八斗子,2025-08-25,25.144754,121.79167,0.055619374,,0.98,0.96689963,0.0
C0B050,八斗子,2025-08-26,25.144754,121.79167,0.049553428,,0.95,0.8190617,0.0
C0B050,八斗子,2025-08-27,25.144754,121.79167,0.039980713,,0.88,0.16241068,
C0B050,八斗子,2025-08-28,25.144754,121.79167,0.03654618,,0.74,0.17617743,
C0B050,八斗子,2025-08-29,25.144754,121.79167,0.03330023,,0.66,0.29366142,
C0B050,八斗子,2025-08-30,25.144754,121.79167,0.033131275,,0.62,0.44668892,
C0B050,八斗子,2025-08-31,25.144754,121.79167,0.03574369,,0.63,0.57375664,
C0B050,八斗子,2025-09-01,25.144754,121.79167,0.042556304,,0.72,0.8521447,
C0B050,八斗子,2025-09-02,25.144754,121.79167,0.05278127,,0.78,0.99798656,
C0B050,八斗子,2025-09-03,25.144754,121.79167,0.070064686,,0.79,0.99956703,
C0B050,八斗子,2025-09-04,25.144754,121.79167,0.08626819,,0.76,0.99871075,
C0B050,八斗子,2025-09-05,25.144754,121.79167,,,0.68,0.9902767,
