站號,站名,日期,lat,lon,BlastGRU-TW,BlastDT2,BlastLSTLS,BLBTSLS,planthopper
C0D680,香山濕地,2026-07-03,24.783581,120.914988,0.57706904,1.0,0.95,3.336198e-08,0.0
C0D680,香山濕地,2026-07-04,24.783581,120.914988,0.65125316,1.0,0.97,1.1165658e-06,3.7
C0D680,香山濕地,2026-07-05,24.783581,120.914988,0.7982684,1.0,0.97,1.8890748e-06,0.0
C0D680,香山濕地,2026-07-06,24.783581,120.914988,0.9151894,1.0,0.99,1.6362374e-06,0.0
C0D680,香山濕地,2026-07-07,24.783581,120.914988,0.9526206,1.0,0.98,0.09177629,0.0
C0D680,香山濕地,2026-07-08,24.783581,120.914988,0.87411326,1.0,0.98,9.63345e-06,0.0
C0D680,香山濕地,2026-07-09,24.783581,120.914988,0.8677592,1.0,0.98,0.0038718786,3.7
C0D680,香山濕地,2026-07-10,24.783581,120.914988,0.8980808,1.0,0.98,0.018739352,22.0
C0D680,香山濕地,2026-07-11,24.783581,120.914988,0.9192625,1.0,0.98,0.036469266,7.4
C0D680,香山濕地,2026-07-12,24.783581,120.914988,0.9453638,1.0,0.98,0.15199119,19.0
C0D680,香山濕地,2026-07-13,24.783581,120.914988,0.99858856,1.0,0.97,0.09357951,37.0
C0D680,香山濕地,2026-07-14,24.783581,120.914988,0.9999656,1.0,0.97,0.00016349572,0.0
C0D680,香山濕地,2026-07-15,24.783581,120.914988,0.999876,1.0,0.95,0.0031801627,0.0
C0D680,香山濕地,2026-07-16,24.783581,120.914988,0.99991393,1.0,0.93,2.9582332e-05,0.0
C0D680,香山濕地,2026-07-17,24.783581,120.914988,0.9999664,1.0,0.79,1.4688538e-05,0.0
C0D680,香山濕地,2026-07-18,24.783581,120.914988,0.9505275,1.0,0.4,2.3109285e-05,0.0
C0D680,香山濕地,2026-07-19,24.783581,120.914988,0.045278575,1.0,0.19,0.0008650812,0.0
C0D680,香山濕地,2026-07-20,24.783581,120.914988,0.006219383,1.0,0.26,0.0013381605,0.0
C0D680,香山濕地,2026-07-21,24.783581,120.914988,0.010280811,1.0,0.38,0.00016230173,0.0
C0D680,香山濕地,2026-07-22,24.783581,120.914988,0.2242175,1.0,0.36,7.220861e-08,0.0
C0D680,香山濕地,2026-07-23,24.783581,120.914988,0.9645039,1.0,0.5,4.330342e-07,0.0
C0D680,香山濕地,2026-07-24,24.783581,120.914988,0.9939435,1.0,0.9,0.0015668314,0.0
C0D680,香山濕地,2026-07-25,24.783581,120.914988,0.99735653,1.0,0.95,6.305242e-05,3.7
C0D680,香山濕地,2026-07-26,24.783581,120.914988,0.99820244,1.0,0.97,1.950212e-06,3.7
C0D680,香山濕地,2026-07-27,24.783581,120.914988,0.9985256,1.0,0.97,1.1329815e-05,0.0
C0D680,香山濕地,2026-07-28,24.783581,120.914988,0.99894756,1.0,0.96,1.7815417e-05,0.0
C0D680,香山濕地,2026-07-29,24.783581,120.914988,0.99937314,1.0,0.93,3.1371894e-06,0.0
C0D680,香山濕地,2026-07-30,24.783581,120.914988,0.9994898,1.0,0.87,1.5822882e-06,0.0
C0D680,香山濕地,2026-07-31,24.783581,120.914988,0.99948585,1.0,0.73,1.3795675e-06,0.0
C0D680,香山濕地,2026-08-01,24.783581,120.914988,0.99931955,1.0,0.3,1.9312842e-05,0.0
C0D680,香山濕地,2026-08-02,24.783581,120.914988,0.99701774,1.0,0.42,2.3615437e-05,0.0
C0D680,香山濕地,2026-08-03,24.783581,120.914988,0.78051704,1.0,0.93,8.0719175e-05,0.0
C0D680,香山濕地,2026-08-04,24.783581,120.914988,0.86306256,1.0,0.96,3.9736085e-05,0.0
C0D680,香山濕地,2026-08-05,24.783581,120.914988,0.93056893,1.0,0.8,0.0001391293,0.0
C0D680,香山濕地,2026-08-06,24.783581,120.914988,0.9450721,,0.5,0.0015753644,3.7
C0D680,香山濕地,2026-08-07,24.783581,120.914988,0.9372894,,0.94,0.0064818948,3.7
C0D680,香山濕地,2026-08-08,24.783581,120.914988,0.8966145,,0.92,0.005555541,15.0
C0D680,香山濕地,2026-08-09,24.783581,120.914988,0.8199423,,0.83,0.0054489053,41.0
C0D680,香山濕地,2026-08-10,24.783581,120.914988,0.7657002,,0.86,0.016724296,19.0
C0D680,香山濕地,2026-08-11,24.783581,120.914988,0.99922264,,0.92,0.0660673,
C0D680,香山濕地,2026-08-12,24.783581,120.914988,0.9983163,,0.93,0.12873429,
C0D680,香山濕地,2026-08-13,24.783581,120.914988,0.9926077,,0.59,0.83040863,
C0D680,香山濕地,2026-08-14,24.783581,120.914988,0.99205613,,0.35,0.98815686,
C0D680,香山濕地,2026-08-15,24.783581,120.914988,0.995673,,0.31,0.99525964,
C0D680,香山濕地,2026-08-16,24.783581,120.914988,0.9987915,,0.39,0.9973275,
C0D680,香山濕地,2026-08-17,24.783581,120.914988,0.99948394,,0.58,0.99605584,
C0D680,香山濕地,2026-08-18,24.783581,120.914988,0.015851185,,0.52,0.96684927,
C0D680,香山濕地,2026-08-19,24.783581,120.914988,0.011265431,,0.37,0.4943234,
C0D680,香山濕地,2026-08-20,24.783581,120.914988,,,0.27,0.026309615,
