站號,站名,日期,lat,lon,BlastGRU-TW,BlastDT2,BlastLSTLS,BLBTSLS,planthopper
C0F0E0,南湖圈谷,2025-06-29,24.363714,121.444667,0.00081605394,0.0,0.09,1.1259867e-08,0.0
C0F0E0,南湖圈谷,2025-06-30,24.363714,121.444667,0.000919824,0.0,0.07,1.0352875e-08,0.0
C0F0E0,南湖圈谷,2025-07-01,24.363714,121.444667,0.0012379881,0.0,0.05,9.215734e-09,0.0
C0F0E0,南湖圈谷,2025-07-02,24.363714,121.444667,0.0016897419,0.0,0.06,9.756841e-09,0.0
C0F0E0,南湖圈谷,2025-07-03,24.363714,121.444667,0.0024181101,0.0,0.07,8.8968966e-09,7.4
C0F0E0,南湖圈谷,2025-07-04,24.363714,121.444667,0.002781757,0.0,0.07,9.190719e-09,3.7
C0F0E0,南湖圈谷,2025-07-05,24.363714,121.444667,0.00096265913,0.0,0.07,7.640462e-09,19.0
C0F0E0,南湖圈谷,2025-07-06,24.363714,121.444667,0.00049818936,0.0,0.06,6.4207715e-09,15.0
C0F0E0,南湖圈谷,2025-07-07,24.363714,121.444667,0.00048713852,0.0,0.07,6.2090924e-09,7.4
C0F0E0,南湖圈谷,2025-07-08,24.363714,121.444667,0.00060288253,0.0,0.09,6.6193344e-09,0.0
C0F0E0,南湖圈谷,2025-07-09,24.363714,121.444667,0.001640201,0.0,0.08,6.375071e-09,0.0
C0F0E0,南湖圈谷,2025-07-10,24.363714,121.444667,0.0009127977,0.0,0.07,6.5860872e-09,19.0
C0F0E0,南湖圈谷,2025-07-11,24.363714,121.444667,0.00080606644,0.0,0.14,1.5005362e-08,22.0
C0F0E0,南湖圈谷,2025-07-12,24.363714,121.444667,0.0009950253,0.0,0.15,1.38313405e-08,0.0
C0F0E0,南湖圈谷,2025-07-13,24.363714,121.444667,0.0009119383,0.0,0.13,1.2521533e-08,3.7
C0F0E0,南湖圈谷,2025-07-14,24.363714,121.444667,0.0006759128,0.0,0.13,1.5341177e-08,0.0
C0F0E0,南湖圈谷,2025-07-15,24.363714,121.444667,0.00052677724,0.0,0.13,2.1768388e-08,0.0
C0F0E0,南湖圈谷,2025-07-16,24.363714,121.444667,0.00025529202,0.0,0.14,2.7163894e-08,0.0
C0F0E0,南湖圈谷,2025-07-17,24.363714,121.444667,0.00020843228,0.0,0.14,2.402492e-08,0.0
C0F0E0,南湖圈谷,2025-07-18,24.363714,121.444667,0.00025669395,0.0,0.14,1.0541754e-08,7.4
C0F0E0,南湖圈谷,2025-07-19,24.363714,121.444667,0.00039440283,0.0,0.14,9.579558e-09,11.0
C0F0E0,南湖圈谷,2025-07-20,24.363714,121.444667,0.00041986717,0.0,0.17,1.40586955e-08,11.0
C0F0E0,南湖圈谷,2025-07-21,24.363714,121.444667,0.00092348765,0.0,0.16,1.5807402e-08,0.0
C0F0E0,南湖圈谷,2025-07-22,24.363714,121.444667,0.004101571,0.0,0.15,1.4084085e-08,0.0
C0F0E0,南湖圈谷,2025-07-23,24.363714,121.444667,0.0050080623,0.0,0.18,1.38457e-08,0.0
C0F0E0,南湖圈谷,2025-07-24,24.363714,121.444667,0.008297124,0.0,0.2,3.454986e-08,3.7
C0F0E0,南湖圈谷,2025-07-25,24.363714,121.444667,0.00929736,0.0,0.18,3.6112485e-08,7.4
C0F0E0,南湖圈谷,2025-07-26,24.363714,121.444667,0.00966309,0.0,0.18,4.416963e-08,7.4
C0F0E0,南湖圈谷,2025-07-27,24.363714,121.444667,0.00967254,0.0,0.18,4.0040103e-08,22.0
