站號,站名,日期,lat,lon,BlastGRU-TW,BlastDT2,BlastLSTLS,BLBTSLS,planthopper
C0F9N0,大里,2026-08-15,24.092464,120.701378,0.032696836,0.0,0.4,0.007812602,0.0
C0F9N0,大里,2026-08-16,24.092464,120.701378,0.028702766,0.0,0.4,0.0010362486,0.0
C0F9N0,大里,2026-08-17,24.092464,120.701378,0.029462518,0.0,0.57,0.0018509105,0.0
C0F9N0,大里,2026-08-18,24.092464,120.701378,0.03230889,0.0,0.78,0.00042148732,0.0
C0F9N0,大里,2026-08-19,24.092464,120.701378,0.027358929,0.0,0.78,0.0038003183,0.0
C0F9N0,大里,2026-08-20,24.092464,120.701378,0.022011273,0.0,0.78,0.0029196814,0.0
C0F9N0,大里,2026-08-21,24.092464,120.701378,0.018767718,1.0,0.83,0.84820545,0.0
C0F9N0,大里,2026-08-22,24.092464,120.701378,0.016323933,1.0,0.82,0.78035796,19.0
C0F9N0,大里,2026-08-23,24.092464,120.701378,0.015732126,1.0,0.74,0.72525656,11.0
C0F9N0,大里,2026-08-24,24.092464,120.701378,0.047341824,1.0,0.78,0.6999293,0.0
C0F9N0,大里,2026-08-25,24.092464,120.701378,0.042549733,1.0,0.85,0.8194705,0.0
C0F9N0,大里,2026-08-26,24.092464,120.701378,0.034552757,1.0,0.94,0.9048516,3.7
C0F9N0,大里,2026-08-27,24.092464,120.701378,0.9960259,1.0,0.97,0.96185225,11.0
C0F9N0,大里,2026-08-28,24.092464,120.701378,0.9995258,1.0,0.97,0.88978505,0.0
C0F9N0,大里,2026-08-29,24.092464,120.701378,0.9997587,1.0,0.97,0.40189627,30.0
C0F9N0,大里,2026-08-30,24.092464,120.701378,0.9997268,1.0,0.83,0.4784733,15.0
C0F9N0,大里,2026-08-31,24.092464,120.701378,0.9677182,1.0,0.85,0.16577289,3.7
C0F9N0,大里,2026-09-01,24.092464,120.701378,0.03659212,1.0,0.93,0.44708183,19.0
C0F9N0,大里,2026-09-02,24.092464,120.701378,0.010026981,1.0,0.93,0.9978998,11.0
C0F9N0,大里,2026-09-03,24.092464,120.701378,0.00680738,1.0,0.94,0.95700085,0.0
C0F9N0,大里,2026-09-04,24.092464,120.701378,0.0064084525,1.0,0.94,0.8907046,0.0
C0F9N0,大里,2026-09-05,24.092464,120.701378,0.006464758,1.0,0.96,0.86465627,0.0
C0F9N0,大里,2026-09-06,24.092464,120.701378,0.0065233214,1.0,0.95,0.6982227,0.0
C0F9N0,大里,2026-09-07,24.092464,120.701378,0.008576679,1.0,0.97,0.499067,0.0
C0F9N0,大里,2026-09-08,24.092464,120.701378,0.019307677,1.0,0.96,0.48841017,0.0
C0F9N0,大里,2026-09-09,24.092464,120.701378,0.072132744,1.0,0.96,0.57705843,0.0
C0F9N0,大里,2026-09-10,24.092464,120.701378,0.33847302,1.0,0.98,0.26531392,0.0
C0F9N0,大里,2026-09-11,24.092464,120.701378,0.8564695,0.0,0.98,0.25338814,0.0
C0F9N0,大里,2026-09-12,24.092464,120.701378,0.97962415,0.0,0.95,0.054263342,0.0
C0F9N0,大里,2026-09-13,24.092464,120.701378,0.9951489,0.0,0.9,0.01300073,0.0
C0F9N0,大里,2026-09-14,24.092464,120.701378,0.9979812,0.0,0.94,0.0062789945,0.0
C0F9N0,大里,2026-09-15,24.092464,120.701378,0.9982817,0.0,0.96,0.979211,0.0
C0F9N0,大里,2026-09-16,24.092464,120.701378,0.9852865,0.0,0.96,0.9990652,0.0
C0F9N0,大里,2026-09-17,24.092464,120.701378,0.7971936,1.0,0.97,0.99974877,0.0
C0F9N0,大里,2026-09-18,24.092464,120.701378,0.8778045,,0.98,0.99956167,0.0
C0F9N0,大里,2026-09-19,24.092464,120.701378,0.87565833,,0.98,0.99771935,0.0
C0F9N0,大里,2026-09-20,24.092464,120.701378,0.8155477,,0.98,0.9854771,0.0
C0F9N0,大里,2026-09-21,24.092464,120.701378,0.7702179,,0.98,0.82491976,0.0
C0F9N0,大里,2026-09-22,24.092464,120.701378,0.67596483,,0.96,0.6180081,0.0
C0F9N0,大里,2026-09-23,24.092464,120.701378,0.50269026,,0.89,0.5312389,
C0F9N0,大里,2026-09-24,24.092464,120.701378,0.33330303,,0.85,0.36134496,
C0F9N0,大里,2026-09-25,24.092464,120.701378,0.29870772,,0.72,0.19998342,
C0F9N0,大里,2026-09-26,24.092464,120.701378,0.13702564,,0.77,0.18949662,
C0F9N0,大里,2026-09-27,24.092464,120.701378,0.09930189,,0.71,0.18985781,
C0F9N0,大里,2026-09-28,24.092464,120.701378,0.110739514,,0.71,0.20692153,
C0F9N0,大里,2026-09-29,24.092464,120.701378,0.13083188,,0.7,0.26197904,
C0F9N0,大里,2026-09-30,24.092464,120.701378,0.15344113,,0.71,0.308755,
C0F9N0,大里,2026-10-01,24.092464,120.701378,0.16830032,,0.68,0.37114584,
C0F9N0,大里,2026-10-02,24.092464,120.701378,,,0.69,0.44596785,
