站號,站名,日期,lat,lon,BlastGRU-TW,BlastDT2,BlastLSTLS,BLBTSLS,planthopper
C0F9O0,潭子,2025-04-30,24.213106,120.703933,0.99857986,1.0,0.99,0.00026790317,3.7
C0F9O0,潭子,2025-05-01,24.213106,120.703933,0.9986684,1.0,0.98,1.5880373e-06,0.0
C0F9O0,潭子,2025-05-02,24.213106,120.703933,0.99829245,1.0,0.97,1.8362373e-07,0.0
C0F9O0,潭子,2025-05-03,24.213106,120.703933,0.9978421,1.0,0.98,2.7519405e-07,0.0
C0F9O0,潭子,2025-05-04,24.213106,120.703933,0.99735785,1.0,0.96,2.1833714e-08,0.0
C0F9O0,潭子,2025-05-05,24.213106,120.703933,0.99306875,1.0,0.94,5.528045e-09,15.0
C0F9O0,潭子,2025-05-06,24.213106,120.703933,0.98333,0.0,0.93,5.383185e-09,0.0
C0F9O0,潭子,2025-05-07,24.213106,120.703933,0.96874666,1.0,0.96,9.925433e-09,0.0
C0F9O0,潭子,2025-05-08,24.213106,120.703933,0.97045815,0.0,0.96,3.8827746e-08,3.7
C0F9O0,潭子,2025-05-09,24.213106,120.703933,0.9886779,0.0,0.98,7.684162e-08,7.4
C0F9O0,潭子,2025-05-10,24.213106,120.703933,0.99578273,0.0,0.95,0.9979247,0.0
C0F9O0,潭子,2025-05-11,24.213106,120.703933,0.99577504,1.0,0.96,0.9919268,0.0
C0F9O0,潭子,2025-05-12,24.213106,120.703933,0.9993731,1.0,0.98,0.8618041,0.0
C0F9O0,潭子,2025-05-13,24.213106,120.703933,0.9995745,1.0,0.91,0.9278361,0.0
C0F9O0,潭子,2025-05-14,24.213106,120.703933,0.9992358,1.0,0.96,0.96064115,0.0
C0F9O0,潭子,2025-05-15,24.213106,120.703933,0.99858886,1.0,0.95,0.0017869566,0.0
C0F9O0,潭子,2025-05-16,24.213106,120.703933,0.9987564,1.0,0.95,1.9606102e-08,3.7
C0F9O0,潭子,2025-05-17,24.213106,120.703933,0.9959746,1.0,0.98,4.656262e-09,0.0
C0F9O0,潭子,2025-05-18,24.213106,120.703933,0.99389243,1.0,0.99,2.7200846e-09,11.0
C0F9O0,潭子,2025-05-19,24.213106,120.703933,0.99691665,1.0,0.99,2.1553623e-09,0.0
C0F9O0,潭子,2025-05-20,24.213106,120.703933,0.82130927,0.0,0.99,2.360327e-09,0.0
C0F9O0,潭子,2025-05-21,24.213106,120.703933,0.5344675,0.0,0.97,8.52004e-09,0.0
C0F9O0,潭子,2025-05-22,24.213106,120.703933,0.94379216,0.0,0.98,1.9008712e-09,7.4
C0F9O0,潭子,2025-05-23,24.213106,120.703933,0.9846698,0.0,0.99,0.9896827,7.4
C0F9O0,潭子,2025-05-24,24.213106,120.703933,0.9923674,0.0,0.98,0.9988564,0.0
C0F9O0,潭子,2025-05-25,24.213106,120.703933,0.99573296,0.0,0.95,0.9993519,0.0
C0F9O0,潭子,2025-05-26,24.213106,120.703933,0.9973959,0.0,0.91,0.9941797,0.0
C0F9O0,潭子,2025-05-27,24.213106,120.703933,0.9997183,,0.85,0.9905792,0.0
C0F9O0,潭子,2025-05-28,24.213106,120.703933,0.9999412,,0.78,0.98169565,0.0
C0F9O0,潭子,2025-05-29,24.213106,120.703933,0.99992985,,0.77,0.40936854,0.0
C0F9O0,潭子,2025-05-30,24.213106,120.703933,0.9999503,,0.84,2.3588434e-07,7.4
C0F9O0,潭子,2025-05-31,24.213106,120.703933,0.9999208,,0.85,1.493819e-07,19.0
C0F9O0,潭子,2025-06-01,24.213106,120.703933,0.99987626,,0.53,1.2561625e-08,7.4
C0F9O0,潭子,2025-06-02,24.213106,120.703933,0.9780582,,0.61,1.5579259e-08,0.0
C0F9O0,潭子,2025-06-03,24.213106,120.703933,0.59405065,,0.99,1.0529681e-07,0.0
C0F9O0,潭子,2025-06-04,24.213106,120.703933,0.45504025,,0.98,8.63326e-08,0.0
C0F9O0,潭子,2025-06-05,24.213106,120.703933,0.71051824,,0.95,2.289528e-06,0.0
C0F9O0,潭子,2025-06-06,24.213106,120.703933,0.6516401,,0.88,2.0208644e-08,0.0
C0F9O0,潭子,2025-06-07,24.213106,120.703933,0.18658203,,0.92,2.361643e-08,0.0
C0F9O0,潭子,2025-06-08,24.213106,120.703933,0.44626477,,0.94,5.984963e-07,
C0F9O0,潭子,2025-06-09,24.213106,120.703933,0.781449,,0.89,0.000236868,
C0F9O0,潭子,2025-06-10,24.213106,120.703933,0.96665615,,0.72,0.5332742,
C0F9O0,潭子,2025-06-11,24.213106,120.703933,0.9843641,,0.5,0.15730558,
C0F9O0,潭子,2025-06-12,24.213106,120.703933,0.99160177,,0.49,0.09760493,
C0F9O0,潭子,2025-06-13,24.213106,120.703933,0.9960125,,0.4,0.0042294483,
C0F9O0,潭子,2025-06-14,24.213106,120.703933,0.9964582,,0.28,0.022560073,
C0F9O0,潭子,2025-06-15,24.213106,120.703933,0.9870215,,0.24,0.14213659,
C0F9O0,潭子,2025-06-16,24.213106,120.703933,0.92055124,,0.38,0.131204,
C0F9O0,潭子,2025-06-17,24.213106,120.703933,,,0.65,0.101746686,
