站號,站名,日期,lat,lon,BlastGRU-TW,BlastDT2,BlastLSTLS,BLBTSLS,planthopper
C0F9X0,大雅(中科園區),2025-06-29,24.21528,120.62445,0.2125612,0.0,0.06,0.9120042,0.0
C0F9X0,大雅(中科園區),2025-06-30,24.21528,120.62445,0.14197123,0.0,0.46,0.73030055,0.0
C0F9X0,大雅(中科園區),2025-07-01,24.21528,120.62445,0.12163386,0.0,0.18,0.52412754,0.0
C0F9X0,大雅(中科園區),2025-07-02,24.21528,120.62445,0.20033865,0.0,0.09,0.4712029,0.0
C0F9X0,大雅(中科園區),2025-07-03,24.21528,120.62445,0.30827478,0.0,0.08,0.78107023,7.4
C0F9X0,大雅(中科園區),2025-07-04,24.21528,120.62445,0.48788577,0.0,0.09,0.8892176,7.4
C0F9X0,大雅(中科園區),2025-07-05,24.21528,120.62445,0.45544344,1.0,0.08,0.7105295,19.0
C0F9X0,大雅(中科園區),2025-07-06,24.21528,120.62445,0.26929748,1.0,0.07,0.65659523,11.0
C0F9X0,大雅(中科園區),2025-07-07,24.21528,120.62445,0.398282,1.0,0.09,0.9046219,7.4
C0F9X0,大雅(中科園區),2025-07-08,24.21528,120.62445,0.33367547,0.0,0.09,0.9635756,3.7
C0F9X0,大雅(中科園區),2025-07-09,24.21528,120.62445,0.8079488,1.0,0.09,0.7432509,0.0
C0F9X0,大雅(中科園區),2025-07-10,24.21528,120.62445,0.9985492,1.0,0.09,0.38533393,15.0
C0F9X0,大雅(中科園區),2025-07-11,24.21528,120.62445,0.99421513,1.0,0.11,0.4394222,0.0
C0F9X0,大雅(中科園區),2025-07-12,24.21528,120.62445,0.684146,1.0,0.11,0.011736351,3.7
C0F9X0,大雅(中科園區),2025-07-13,24.21528,120.62445,0.2539889,1.0,0.16,0.72278386,3.7
C0F9X0,大雅(中科園區),2025-07-14,24.21528,120.62445,0.047388177,1.0,0.25,0.96505207,0.0
C0F9X0,大雅(中科園區),2025-07-15,24.21528,120.62445,0.026421858,1.0,0.43,0.7483774,0.0
C0F9X0,大雅(中科園區),2025-07-16,24.21528,120.62445,0.021436905,1.0,0.74,0.021746913,7.4
C0F9X0,大雅(中科園區),2025-07-17,24.21528,120.62445,0.01767623,1.0,0.93,2.0049808e-06,0.0
C0F9X0,大雅(中科園區),2025-07-18,24.21528,120.62445,0.016338725,1.0,0.95,5.8992082e-08,3.7
C0F9X0,大雅(中科園區),2025-07-19,24.21528,120.62445,0.018378071,1.0,0.96,3.096651e-08,11.0
C0F9X0,大雅(中科園區),2025-07-20,24.21528,120.62445,0.024483271,1.0,0.99,1.6773144e-07,19.0
C0F9X0,大雅(中科園區),2025-07-21,24.21528,120.62445,0.02986356,1.0,0.99,6.314993e-07,0.0
C0F9X0,大雅(中科園區),2025-07-22,24.21528,120.62445,0.03038996,1.0,0.99,0.5803882,0.0
C0F9X0,大雅(中科園區),2025-07-23,24.21528,120.62445,0.033982553,1.0,0.99,0.036662567,0.0
C0F9X0,大雅(中科園區),2025-07-24,24.21528,120.62445,0.045153167,1.0,0.99,0.09287021,15.0
C0F9X0,大雅(中科園區),2025-07-25,24.21528,120.62445,0.075023465,1.0,0.99,0.1098403,11.0
C0F9X0,大雅(中科園區),2025-07-26,24.21528,120.62445,0.14029756,1.0,0.99,0.28876573,3.7
C0F9X0,大雅(中科園區),2025-07-27,24.21528,120.62445,0.32637057,1.0,0.99,0.61176246,41.0
C0F9X0,大雅(中科園區),2025-07-28,24.21528,120.62445,0.6053618,0.0,0.74,0.94271624,26.0
C0F9X0,大雅(中科園區),2025-07-29,24.21528,120.62445,0.5367589,0.0,0.82,0.94380176,22.0
C0F9X0,大雅(中科園區),2025-07-30,24.21528,120.62445,0.5353995,1.0,0.87,0.9870095,3.7
C0F9X0,大雅(中科園區),2025-07-31,24.21528,120.62445,0.9825341,1.0,0.99,0.98821235,0.0
C0F9X0,大雅(中科園區),2025-08-01,24.21528,120.62445,0.52660817,,0.9,0.9937284,0.0
C0F9X0,大雅(中科園區),2025-08-02,24.21528,120.62445,0.20327702,,0.95,0.99188626,0.0
C0F9X0,大雅(中科園區),2025-08-03,24.21528,120.62445,0.15152775,,1.0,0.99831843,0.0
C0F9X0,大雅(中科園區),2025-08-04,24.21528,120.62445,0.1309155,,0.99,0.9994803,0.0
C0F9X0,大雅(中科園區),2025-08-05,24.21528,120.62445,0.14429574,,1.0,0.99978167,3.7
C0F9X0,大雅(中科園區),2025-08-06,24.21528,120.62445,0.120316334,,1.0,0.99952036,3.7
C0F9X0,大雅(中科園區),2025-08-07,24.21528,120.62445,0.7972099,,1.0,0.99977446,
C0F9X0,大雅(中科園區),2025-08-08,24.21528,120.62445,0.54809475,,1.0,0.9999706,
C0F9X0,大雅(中科園區),2025-08-09,24.21528,120.62445,0.09689003,,1.0,0.9999555,
C0F9X0,大雅(中科園區),2025-08-10,24.21528,120.62445,0.030870002,,0.99,0.99956214,
C0F9X0,大雅(中科園區),2025-08-11,24.21528,120.62445,0.009369773,,0.99,0.99995273,
C0F9X0,大雅(中科園區),2025-08-12,24.21528,120.62445,0.005534204,,1.0,0.99996233,
C0F9X0,大雅(中科園區),2025-08-13,24.21528,120.62445,0.004569624,,0.99,0.99998015,
C0F9X0,大雅(中科園區),2025-08-14,24.21528,120.62445,0.00564905,,0.99,0.9999604,
C0F9X0,大雅(中科園區),2025-08-15,24.21528,120.62445,0.03276267,,0.99,0.99973637,
C0F9X0,大雅(中科園區),2025-08-16,24.21528,120.62445,,,0.99,0.9895513,
