站號,站名,日期,lat,lon,BlastGRU-TW,BlastDT2,BlastLSTLS,BLBTSLS,planthopper
C0FA10,松柏,2025-06-13,24.429115,120.617482,0.27886277,1.0,0.92,5.5364313e-07,26.0
C0FA10,松柏,2025-06-14,24.429115,120.617482,0.11265619,1.0,0.6,0.002620545,7.4
C0FA10,松柏,2025-06-15,24.429115,120.617482,0.1438391,1.0,0.27,0.64625233,3.7
C0FA10,松柏,2025-06-16,24.429115,120.617482,0.21012945,1.0,0.12,0.11679093,22.0
C0FA10,松柏,2025-06-17,24.429115,120.617482,0.6180097,1.0,0.13,0.0051302444,0.0
C0FA10,松柏,2025-06-18,24.429115,120.617482,0.85802037,1.0,0.16,0.5928339,0.0
C0FA10,松柏,2025-06-19,24.429115,120.617482,0.8369049,0.0,0.51,0.028127884,0.0
C0FA10,松柏,2025-06-20,24.429115,120.617482,0.7066499,0.0,0.76,0.9479165,0.0
C0FA10,松柏,2025-06-21,24.429115,120.617482,0.27330032,1.0,0.87,0.9793815,0.0
C0FA10,松柏,2025-06-22,24.429115,120.617482,0.2863694,1.0,0.91,0.39701366,0.0
C0FA10,松柏,2025-06-23,24.429115,120.617482,0.30162087,1.0,0.96,0.0010062596,0.0
C0FA10,松柏,2025-06-24,24.429115,120.617482,0.36382008,1.0,0.97,6.493144e-05,0.0
C0FA10,松柏,2025-06-25,24.429115,120.617482,0.3667224,0.0,0.98,0.00077243184,0.0
C0FA10,松柏,2025-06-26,24.429115,120.617482,0.45924762,1.0,0.97,0.00039996713,0.0
C0FA10,松柏,2025-06-27,24.429115,120.617482,0.5436133,1.0,0.97,0.21914166,0.0
C0FA10,松柏,2025-06-28,24.429115,120.617482,0.5100694,1.0,0.98,0.86480284,0.0
C0FA10,松柏,2025-06-29,24.429115,120.617482,0.41310835,1.0,0.98,0.9011958,0.0
C0FA10,松柏,2025-06-30,24.429115,120.617482,0.2553003,0.0,0.96,0.7142575,0.0
C0FA10,松柏,2025-07-01,24.429115,120.617482,0.18981253,0.0,0.91,0.31826591,0.0
C0FA10,松柏,2025-07-02,24.429115,120.617482,0.35141414,0.0,0.72,0.025093883,0.0
C0FA10,松柏,2025-07-03,24.429115,120.617482,0.60453516,0.0,0.58,0.00828053,0.0
C0FA10,松柏,2025-07-04,24.429115,120.617482,0.79322183,1.0,0.36,0.007905519,7.4
C0FA10,松柏,2025-07-05,24.429115,120.617482,0.78392273,1.0,0.38,0.0232071,15.0
C0FA10,松柏,2025-07-06,24.429115,120.617482,0.6417587,1.0,0.65,0.03799965,19.0
C0FA10,松柏,2025-07-07,24.429115,120.617482,0.59961927,1.0,0.47,0.42129838,11.0
C0FA10,松柏,2025-07-08,24.429115,120.617482,0.46005675,0.0,0.45,0.49305025,3.7
C0FA10,松柏,2025-07-09,24.429115,120.617482,0.77506447,1.0,0.39,0.27419633,0.0
C0FA10,松柏,2025-07-10,24.429115,120.617482,0.9952819,1.0,0.26,0.07162865,19.0
C0FA10,松柏,2025-07-11,24.429115,120.617482,0.8382583,1.0,0.12,0.050718114,0.0
C0FA10,松柏,2025-07-12,24.429115,120.617482,0.94315374,1.0,0.08,0.008978981,3.7
C0FA10,松柏,2025-07-13,24.429115,120.617482,0.94545275,0.0,0.07,0.18408087,7.4
C0FA10,松柏,2025-07-14,24.429115,120.617482,0.3099134,1.0,0.18,0.9710875,0.0
C0FA10,松柏,2025-07-15,24.429115,120.617482,0.09862994,1.0,0.41,0.9450048,0.0
C0FA10,松柏,2025-07-16,24.429115,120.617482,0.06646504,,0.63,0.9737411,0.0
C0FA10,松柏,2025-07-17,24.429115,120.617482,0.05017826,,0.49,0.010244588,0.0
C0FA10,松柏,2025-07-18,24.429115,120.617482,0.04571031,,0.36,1.5322248e-05,0.0
C0FA10,松柏,2025-07-19,24.429115,120.617482,0.054862734,,0.27,7.302371e-05,15.0
C0FA10,松柏,2025-07-20,24.429115,120.617482,0.07698294,,0.34,0.028914409,22.0
C0FA10,松柏,2025-07-21,24.429115,120.617482,0.10475584,,0.4,0.23131947,26.0
C0FA10,松柏,2025-07-22,24.429115,120.617482,0.08739459,,0.43,0.024510413,
C0FA10,松柏,2025-07-23,24.429115,120.617482,0.06979695,,0.38,0.008732736,
C0FA10,松柏,2025-07-24,24.429115,120.617482,0.06256973,,0.19,0.00886731,
C0FA10,松柏,2025-07-25,24.429115,120.617482,0.12185502,,0.17,0.012145151,
C0FA10,松柏,2025-07-26,24.429115,120.617482,0.30293185,,0.16,0.016944872,
C0FA10,松柏,2025-07-27,24.429115,120.617482,0.113188155,,0.17,0.06025072,
C0FA10,松柏,2025-07-28,24.429115,120.617482,0.10736057,,0.12,0.10354058,
C0FA10,松柏,2025-07-29,24.429115,120.617482,0.13868482,,0.34,0.09641187,
C0FA10,松柏,2025-07-30,24.429115,120.617482,0.06551424,,0.59,0.07966004,
C0FA10,松柏,2025-07-31,24.429115,120.617482,,,0.68,0.08608177,
