站號,站名,日期,lat,lon,BlastGRU-TW,BlastDT2,BlastLSTLS,BLBTSLS,planthopper
C0FB20,雪山橋,2025-10-21,24.23192,120.9786,0.014338156,1.0,0.03,1.7429406e-09,0.0
C0FB20,雪山橋,2025-10-22,24.23192,120.9786,0.013809333,0.0,0.03,1.8584921e-09,0.0
C0FB20,雪山橋,2025-10-23,24.23192,120.9786,0.009939887,0.0,0.03,1.2710006e-09,0.0
C0FB20,雪山橋,2025-10-24,24.23192,120.9786,0.004768743,0.0,0.03,2.2466964e-09,0.0
C0FB20,雪山橋,2025-10-25,24.23192,120.9786,0.006880492,1.0,0.03,2.726437e-09,0.0
C0FB20,雪山橋,2025-10-26,24.23192,120.9786,0.007250422,1.0,0.03,3.7227685e-09,0.0
C0FB20,雪山橋,2025-10-27,24.23192,120.9786,0.008681594,0.0,0.03,5.604453e-09,0.0
C0FB20,雪山橋,2025-10-28,24.23192,120.9786,0.0053251744,0.0,0.03,1.0023639e-08,0.0
C0FB20,雪山橋,2025-10-29,24.23192,120.9786,0.0050063417,0.0,0.03,8.531894e-09,0.0
C0FB20,雪山橋,2025-10-30,24.23192,120.9786,0.00346114,1.0,0.04,8.857919e-09,0.0
C0FB20,雪山橋,2025-10-31,24.23192,120.9786,0.002375216,1.0,0.04,4.860483e-09,0.0
C0FB20,雪山橋,2025-11-01,24.23192,120.9786,0.0020153315,0.0,0.12,5.7739813e-09,0.0
C0FB20,雪山橋,2025-11-02,24.23192,120.9786,0.0022649167,0.0,0.14,1.1767559e-08,0.0
C0FB20,雪山橋,2025-11-03,24.23192,120.9786,0.0026335933,1.0,0.19,5.951975e-09,0.0
C0FB20,雪山橋,2025-11-04,24.23192,120.9786,0.0021152818,1.0,0.25,5.011769e-09,0.0
C0FB20,雪山橋,2025-11-05,24.23192,120.9786,0.001964152,1.0,0.26,5.329417e-09,0.0
C0FB20,雪山橋,2025-11-06,24.23192,120.9786,0.0017596092,1.0,0.35,6.1236585e-09,0.0
C0FB20,雪山橋,2025-11-07,24.23192,120.9786,0.0016637453,0.0,0.3,1.337076e-08,0.0
C0FB20,雪山橋,2025-11-08,24.23192,120.9786,0.0017253753,0.0,0.29,1.6290311e-08,0.0
C0FB20,雪山橋,2025-11-09,24.23192,120.9786,0.0019868976,0.0,0.3,7.272108e-09,0.0
C0FB20,雪山橋,2025-11-10,24.23192,120.9786,0.0021243838,1.0,0.34,6.146676e-09,11.0
C0FB20,雪山橋,2025-11-11,24.23192,120.9786,0.0016259894,0.0,0.55,4.4180144e-09,19.0
C0FB20,雪山橋,2025-11-12,24.23192,120.9786,0.0013998409,1.0,0.45,4.410933e-09,0.0
C0FB20,雪山橋,2025-11-13,24.23192,120.9786,0.00088686775,1.0,0.35,4.4519264e-09,0.0
C0FB20,雪山橋,2025-11-14,24.23192,120.9786,0.0017555403,0.0,0.34,2.0452657e-09,0.0
C0FB20,雪山橋,2025-11-15,24.23192,120.9786,0.0016349577,0.0,0.18,2.9006115e-09,0.0
C0FB20,雪山橋,2025-11-16,24.23192,120.9786,0.002429683,0.0,0.12,4.9857025e-09,0.0
C0FB20,雪山橋,2025-11-17,24.23192,120.9786,0.002003173,1.0,0.22,2.4304538e-09,0.0
C0FB20,雪山橋,2025-11-18,24.23192,120.9786,0.00220013,0.0,0.06,4.8149476e-09,0.0
C0FB20,雪山橋,2025-11-19,24.23192,120.9786,0.0022130515,1.0,0.06,4.2945514e-09,0.0
C0FB20,雪山橋,2025-11-20,24.23192,120.9786,0.0019612685,0.0,0.06,2.9952107e-09,0.0
C0FB20,雪山橋,2025-11-21,24.23192,120.9786,0.0018589471,0.0,0.14,3.7938412e-09,0.0
C0FB20,雪山橋,2025-11-22,24.23192,120.9786,0.0020048402,1.0,0.09,3.8017878e-09,0.0
C0FB20,雪山橋,2025-11-23,24.23192,120.9786,0.002425799,,0.06,4.3291752e-09,0.0
C0FB20,雪山橋,2025-11-24,24.23192,120.9786,0.002597153,,0.06,9.108645e-09,0.0
C0FB20,雪山橋,2025-11-25,24.23192,120.9786,0.0018428419,,0.06,8.065719e-09,0.0
C0FB20,雪山橋,2025-11-26,24.23192,120.9786,0.0014967751,,0.07,1.084674e-08,0.0
C0FB20,雪山橋,2025-11-27,24.23192,120.9786,0.0013261462,,0.1,1.234491e-08,0.0
C0FB20,雪山橋,2025-11-28,24.23192,120.9786,0.001282896,,0.11,1.0722949e-08,0.0
C0FB20,雪山橋,2025-11-29,24.23192,120.9786,0.0014989297,,0.1,1.1301091e-08,
C0FB20,雪山橋,2025-11-30,24.23192,120.9786,0.0017904422,,0.1,1.45749635e-08,
C0FB20,雪山橋,2025-12-01,24.23192,120.9786,0.0020978504,,0.1,1.2465058e-08,
C0FB20,雪山橋,2025-12-02,24.23192,120.9786,0.0032156298,,0.09,1.44168695e-08,
C0FB20,雪山橋,2025-12-03,24.23192,120.9786,0.002465396,,0.1,1.5879444e-08,
C0FB20,雪山橋,2025-12-04,24.23192,120.9786,0.0010291723,,0.06,2.2467017e-08,
C0FB20,雪山橋,2025-12-05,24.23192,120.9786,0.00076071743,,0.04,3.272937e-08,
C0FB20,雪山橋,2025-12-06,24.23192,120.9786,0.0004979261,,0.03,3.0093453e-08,
C0FB20,雪山橋,2025-12-07,24.23192,120.9786,0.000456809,,0.03,2.5410632e-08,
C0FB20,雪山橋,2025-12-08,24.23192,120.9786,,,0.03,2.6825619e-08,
