站號,站名,日期,lat,lon,BlastGRU-TW,BlastDT2,BlastLSTLS,BLBTSLS,planthopper
C0G830,埤頭,2025-11-26,23.866003,120.452806,0.4285093,1.0,0.93,0.9894824,0.0
C0G830,埤頭,2025-11-27,23.866003,120.452806,0.3031067,1.0,0.99,0.14255853,0.0
C0G830,埤頭,2025-11-28,23.866003,120.452806,0.224364,1.0,0.99,0.00040157294,0.0
C0G830,埤頭,2025-11-29,23.866003,120.452806,0.19830558,1.0,0.96,3.566506e-05,0.0
C0G830,埤頭,2025-11-30,23.866003,120.452806,0.28469706,0.0,1.0,3.3365296e-07,0.0
C0G830,埤頭,2025-12-01,23.866003,120.452806,0.36869133,0.0,1.0,6.119451e-06,0.0
C0G830,埤頭,2025-12-02,23.866003,120.452806,0.46361798,0.0,1.0,0.0008055204,0.0
C0G830,埤頭,2025-12-03,23.866003,120.452806,0.5216985,0.0,1.0,0.992625,0.0
C0G830,埤頭,2025-12-04,23.866003,120.452806,0.5021395,1.0,0.99,0.9871405,0.0
C0G830,埤頭,2025-12-05,23.866003,120.452806,0.5375259,1.0,0.99,0.9715092,0.0
C0G830,埤頭,2025-12-06,23.866003,120.452806,0.43776944,1.0,0.99,0.9551137,0.0
C0G830,埤頭,2025-12-07,23.866003,120.452806,0.3502251,1.0,0.92,0.4247069,0.0
C0G830,埤頭,2025-12-08,23.866003,120.452806,0.40892166,0.0,0.8,6.6937464e-05,0.0
C0G830,埤頭,2025-12-09,23.866003,120.452806,0.3341367,0.0,0.92,0.0019386451,0.0
C0G830,埤頭,2025-12-10,23.866003,120.452806,0.05472103,1.0,0.76,7.855926e-07,0.0
C0G830,埤頭,2025-12-11,23.866003,120.452806,0.06660133,1.0,0.08,3.4745278e-07,0.0
C0G830,埤頭,2025-12-12,23.866003,120.452806,0.15417212,1.0,0.06,3.324869e-07,0.0
C0G830,埤頭,2025-12-13,23.866003,120.452806,0.27353904,1.0,0.03,2.4600362e-07,0.0
C0G830,埤頭,2025-12-14,23.866003,120.452806,0.3422091,1.0,0.17,5.347503e-08,0.0
C0G830,埤頭,2025-12-15,23.866003,120.452806,0.38031805,1.0,0.17,7.961145e-09,0.0
C0G830,埤頭,2025-12-16,23.866003,120.452806,0.44496614,1.0,0.07,1.22121e-08,0.0
C0G830,埤頭,2025-12-17,23.866003,120.452806,0.47084907,1.0,0.04,1.622714e-08,0.0
C0G830,埤頭,2025-12-18,23.866003,120.452806,0.3797723,1.0,0.03,1.5927887e-08,0.0
C0G830,埤頭,2025-12-19,23.866003,120.452806,0.39457643,0.0,0.03,3.3991512e-08,0.0
C0G830,埤頭,2025-12-20,23.866003,120.452806,0.3914866,0.0,0.04,1.6200298e-08,0.0
C0G830,埤頭,2025-12-21,23.866003,120.452806,0.5015804,1.0,0.06,1.1809381e-08,0.0
C0G830,埤頭,2025-12-22,23.866003,120.452806,0.49460056,1.0,0.84,1.41177585e-08,0.0
C0G830,埤頭,2025-12-23,23.866003,120.452806,0.4596896,1.0,0.95,1.0039041e-08,0.0
C0G830,埤頭,2025-12-24,23.866003,120.452806,0.28985706,1.0,0.98,6.0684524e-09,0.0
C0G830,埤頭,2025-12-25,23.866003,120.452806,0.110189274,1.0,0.83,3.501382e-09,0.0
C0G830,埤頭,2025-12-26,23.866003,120.452806,0.21271744,1.0,0.05,3.3707677e-09,0.0
C0G830,埤頭,2025-12-27,23.866003,120.452806,0.4440636,1.0,0.04,6.9001853e-09,0.0
C0G830,埤頭,2025-12-28,23.866003,120.452806,0.7079406,1.0,0.61,1.256601e-08,0.0
C0G830,埤頭,2025-12-29,23.866003,120.452806,0.58163816,,0.7,7.655458e-09,0.0
C0G830,埤頭,2025-12-30,23.866003,120.452806,0.41214904,,0.47,1.2001622e-08,0.0
C0G830,埤頭,2025-12-31,23.866003,120.452806,0.40760142,,0.77,2.5486537e-09,0.0
C0G830,埤頭,2026-01-01,23.866003,120.452806,0.5280809,,0.5,2.2545907e-09,0.0
C0G830,埤頭,2026-01-02,23.866003,120.452806,0.4423792,,0.75,1.7570697e-09,0.0
C0G830,埤頭,2026-01-03,23.866003,120.452806,0.19342369,,0.78,1.5108166e-09,0.0
C0G830,埤頭,2026-01-04,23.866003,120.452806,0.099796206,,0.68,1.877393e-09,
C0G830,埤頭,2026-01-05,23.866003,120.452806,0.06319486,,0.76,2.0136606e-09,
C0G830,埤頭,2026-01-06,23.866003,120.452806,0.2040236,,0.08,1.8326861e-09,
C0G830,埤頭,2026-01-07,23.866003,120.452806,0.35428172,,0.03,3.223693e-09,
C0G830,埤頭,2026-01-08,23.866003,120.452806,0.3163804,,0.04,8.421758e-09,
C0G830,埤頭,2026-01-09,23.866003,120.452806,0.15190944,,0.04,1.562598e-08,
C0G830,埤頭,2026-01-10,23.866003,120.452806,0.08313122,,0.03,2.7915785e-08,
C0G830,埤頭,2026-01-11,23.866003,120.452806,0.035998844,,0.03,1.0699443e-06,
C0G830,埤頭,2026-01-12,23.866003,120.452806,0.012226593,,0.04,1.9097968e-05,
C0G830,埤頭,2026-01-13,23.866003,120.452806,,,0.07,1.3396167e-05,
