站號,站名,日期,lat,lon,BlastGRU-TW,BlastDT2,BlastLSTLS,BLBTSLS,planthopper
C0I380,集集,2025-05-22,23.828206,120.801467,0.5314521,0.0,1.0,1.4043975e-09,7.4
C0I380,集集,2025-05-23,23.828206,120.801467,0.5447287,0.0,1.0,4.1576322e-07,3.7
C0I380,集集,2025-05-24,23.828206,120.801467,0.85026735,1.0,0.99,0.061806135,0.0
C0I380,集集,2025-05-25,23.828206,120.801467,0.9613896,1.0,0.97,0.25674787,0.0
C0I380,集集,2025-05-26,23.828206,120.801467,0.9849743,1.0,0.95,0.8379171,0.0
C0I380,集集,2025-05-27,23.828206,120.801467,0.99249005,1.0,0.95,0.9384971,0.0
C0I380,集集,2025-05-28,23.828206,120.801467,0.99477434,1.0,0.95,0.9980771,0.0
C0I380,集集,2025-05-29,23.828206,120.801467,0.9949947,0.0,0.95,0.9943215,0.0
C0I380,集集,2025-05-30,23.828206,120.801467,0.99531686,0.0,0.94,1.2246605e-07,15.0
C0I380,集集,2025-05-31,23.828206,120.801467,0.99078083,1.0,0.88,9.559179e-07,0.0
C0I380,集集,2025-06-01,23.828206,120.801467,0.9967768,1.0,0.9,2.3843914e-08,0.0
C0I380,集集,2025-06-02,23.828206,120.801467,0.9738893,1.0,0.94,2.7020086e-08,0.0
C0I380,集集,2025-06-03,23.828206,120.801467,0.30795074,1.0,0.93,1.3240692e-06,0.0
C0I380,集集,2025-06-04,23.828206,120.801467,0.19122918,1.0,0.53,2.7347768e-08,0.0
C0I380,集集,2025-06-05,23.828206,120.801467,0.18727687,1.0,0.42,1.7803682e-08,0.0
C0I380,集集,2025-06-06,23.828206,120.801467,0.24383324,1.0,0.43,9.021021e-09,0.0
C0I380,集集,2025-06-07,23.828206,120.801467,0.8192674,1.0,0.12,5.141827e-09,0.0
C0I380,集集,2025-06-08,23.828206,120.801467,0.3359279,1.0,0.16,5.4781175e-08,0.0
C0I380,集集,2025-06-09,23.828206,120.801467,0.12649672,1.0,0.57,7.125097e-06,0.0
C0I380,集集,2025-06-10,23.828206,120.801467,0.058882307,1.0,0.78,0.018588947,0.0
C0I380,集集,2025-06-11,23.828206,120.801467,0.039211415,1.0,0.9,0.022499014,15.0
C0I380,集集,2025-06-12,23.828206,120.801467,0.031127539,1.0,0.96,0.008211569,26.0
C0I380,集集,2025-06-13,23.828206,120.801467,0.023570005,1.0,0.97,0.0019913106,11.0
C0I380,集集,2025-06-14,23.828206,120.801467,0.015464273,1.0,0.97,0.123308875,11.0
C0I380,集集,2025-06-15,23.828206,120.801467,0.012586308,1.0,0.93,0.04944525,0.0
C0I380,集集,2025-06-16,23.828206,120.801467,0.1556187,1.0,0.22,0.023657603,0.0
C0I380,集集,2025-06-17,23.828206,120.801467,0.012912874,0.0,0.25,0.33333403,0.0
C0I380,集集,2025-06-18,23.828206,120.801467,0.008764428,1.0,0.31,1.196826e-05,0.0
C0I380,集集,2025-06-19,23.828206,120.801467,0.008827587,1.0,0.87,8.007302e-09,0.0
C0I380,集集,2025-06-20,23.828206,120.801467,0.013175378,1.0,0.74,3.4570538e-09,0.0
C0I380,集集,2025-06-21,23.828206,120.801467,0.009794641,0.0,0.95,4.8399182e-09,0.0
C0I380,集集,2025-06-22,23.828206,120.801467,0.012381133,0.0,0.89,1.8786295e-08,7.4
C0I380,集集,2025-06-23,23.828206,120.801467,0.022682425,1.0,0.76,1.3002193e-08,0.0
C0I380,集集,2025-06-24,23.828206,120.801467,0.044358876,1.0,0.7,2.2011632e-08,22.0
C0I380,集集,2025-06-25,23.828206,120.801467,0.105620444,,0.56,0.8978373,41.0
C0I380,集集,2025-06-26,23.828206,120.801467,0.1991032,,0.57,0.93445826,15.0
C0I380,集集,2025-06-27,23.828206,120.801467,0.20161128,,0.79,0.87849516,30.0
C0I380,集集,2025-06-28,23.828206,120.801467,0.2821571,,0.97,0.79492396,26.0
C0I380,集集,2025-06-29,23.828206,120.801467,0.33105788,,0.98,0.7961747,0.0
C0I380,集集,2025-06-30,23.828206,120.801467,0.45507774,,0.98,0.4834445,
C0I380,集集,2025-07-01,23.828206,120.801467,0.6533048,,0.89,0.21409197,
C0I380,集集,2025-07-02,23.828206,120.801467,0.6238215,,0.84,0.22762048,
C0I380,集集,2025-07-03,23.828206,120.801467,0.5098734,,0.69,0.20628649,
C0I380,集集,2025-07-04,23.828206,120.801467,0.45178917,,0.33,0.18256092,
C0I380,集集,2025-07-05,23.828206,120.801467,0.25873193,,0.17,0.18223101,
C0I380,集集,2025-07-06,23.828206,120.801467,0.07764598,,0.13,0.1928802,
C0I380,集集,2025-07-07,23.828206,120.801467,0.09252153,,0.16,0.22247009,
C0I380,集集,2025-07-08,23.828206,120.801467,0.90337336,,0.2,0.2675535,
C0I380,集集,2025-07-09,23.828206,120.801467,,,0.26,0.24295156,
