站號,站名,日期,lat,lon,BlastGRU-TW,BlastDT2,BlastLSTLS,BLBTSLS,planthopper
C0K250,崙背,2025-02-28,23.75555,120.318925,0.0013583408,0.0,0.04,2.3520759e-09,0.0
C0K250,崙背,2025-03-01,23.75555,120.318925,0.0012800582,1.0,0.04,2.4525968e-09,0.0
C0K250,崙背,2025-03-02,23.75555,120.318925,0.0016919305,0.0,0.06,1.3812615e-09,0.0
C0K250,崙背,2025-03-03,23.75555,120.318925,0.0048502246,0.0,0.07,4.6103965e-09,0.0
C0K250,崙背,2025-03-04,23.75555,120.318925,0.018360151,1.0,0.07,7.692723e-09,0.0
C0K250,崙背,2025-03-05,23.75555,120.318925,0.041745666,1.0,0.15,2.9998304e-09,0.0
C0K250,崙背,2025-03-06,23.75555,120.318925,0.041810486,1.0,0.34,1.7353906e-09,0.0
C0K250,崙背,2025-03-07,23.75555,120.318925,0.007357714,1.0,0.72,4.51642e-10,0.0
C0K250,崙背,2025-03-08,23.75555,120.318925,0.0021311692,1.0,0.79,2.9718097e-10,0.0
C0K250,崙背,2025-03-09,23.75555,120.318925,0.00083482295,1.0,0.5,3.3340064e-10,0.0
C0K250,崙背,2025-03-10,23.75555,120.318925,0.0011264714,1.0,0.15,6.2591965e-10,0.0
C0K250,崙背,2025-03-11,23.75555,120.318925,0.0017773006,1.0,0.02,5.603243e-10,0.0
C0K250,崙背,2025-03-12,23.75555,120.318925,0.005432387,1.0,0.01,7.8978757e-10,0.0
C0K250,崙背,2025-03-13,23.75555,120.318925,0.013392736,0.0,0.01,1.1326333e-09,0.0
C0K250,崙背,2025-03-14,23.75555,120.318925,0.02808095,0.0,0.02,1.3615314e-09,0.0
C0K250,崙背,2025-03-15,23.75555,120.318925,0.051277094,0.0,0.07,3.6066072e-09,0.0
C0K250,崙背,2025-03-16,23.75555,120.318925,0.052622147,0.0,0.44,6.913966e-09,0.0
C0K250,崙背,2025-03-17,23.75555,120.318925,0.10276428,1.0,0.9,1.2968874e-09,0.0
C0K250,崙背,2025-03-18,23.75555,120.318925,0.027839707,1.0,0.95,1.3177249e-09,0.0
C0K250,崙背,2025-03-19,23.75555,120.318925,0.051882792,1.0,0.49,4.0265933e-09,0.0
C0K250,崙背,2025-03-20,23.75555,120.318925,0.12713975,1.0,0.44,2.9694485e-09,0.0
C0K250,崙背,2025-03-21,23.75555,120.318925,0.3298474,1.0,0.21,1.140335e-09,0.0
C0K250,崙背,2025-03-22,23.75555,120.318925,0.6021307,1.0,0.26,2.2271682e-09,0.0
C0K250,崙背,2025-03-23,23.75555,120.318925,0.7422225,0.0,0.33,3.817155e-09,0.0
C0K250,崙背,2025-03-24,23.75555,120.318925,0.7807914,0.0,0.29,1.01429745e-08,0.0
C0K250,崙背,2025-03-25,23.75555,120.318925,0.6868746,0.0,0.25,8.7379055e-09,0.0
C0K250,崙背,2025-03-26,23.75555,120.318925,0.18166666,0.0,0.24,3.0761165e-09,0.0
C0K250,崙背,2025-03-27,23.75555,120.318925,0.053220008,0.0,0.24,2.815023e-09,0.0
C0K250,崙背,2025-03-28,23.75555,120.318925,0.060990572,0.0,0.23,1.9691653e-09,0.0
C0K250,崙背,2025-03-29,23.75555,120.318925,0.17793599,0.0,0.17,1.5377934e-09,0.0
C0K250,崙背,2025-03-30,23.75555,120.318925,0.610334,0.0,0.39,1.0948291e-09,0.0
C0K250,崙背,2025-03-31,23.75555,120.318925,0.8663925,0.0,0.67,1.9473636e-09,0.0
C0K250,崙背,2025-04-01,23.75555,120.318925,0.72993964,1.0,0.82,3.0017364e-09,0.0
C0K250,崙背,2025-04-02,23.75555,120.318925,0.4265051,1.0,0.82,6.383138e-09,0.0
C0K250,崙背,2025-04-03,23.75555,120.318925,0.08995672,,0.5,4.969667e-09,0.0
C0K250,崙背,2025-04-04,23.75555,120.318925,0.073649675,,0.22,8.148041e-09,0.0
C0K250,崙背,2025-04-05,23.75555,120.318925,0.038099185,,0.17,8.050798e-08,0.0
C0K250,崙背,2025-04-06,23.75555,120.318925,0.019531362,,0.1,1.5345631e-06,0.0
C0K250,崙背,2025-04-07,23.75555,120.318925,0.003042949,,0.09,0.0008859518,0.0
C0K250,崙背,2025-04-08,23.75555,120.318925,0.0024919622,,0.05,0.7847233,
C0K250,崙背,2025-04-09,23.75555,120.318925,0.003816959,,0.04,0.71395594,
C0K250,崙背,2025-04-10,23.75555,120.318925,0.0076336837,,0.04,0.10417547,
C0K250,崙背,2025-04-11,23.75555,120.318925,0.023925373,,0.04,0.022392008,
C0K250,崙背,2025-04-12,23.75555,120.318925,0.10222333,,0.07,0.00062929216,
C0K250,崙背,2025-04-13,23.75555,120.318925,0.4735656,,0.08,0.9940834,
C0K250,崙背,2025-04-14,23.75555,120.318925,0.74082744,,0.14,0.98014677,
C0K250,崙背,2025-04-15,23.75555,120.318925,0.77072453,,0.51,0.050126348,
C0K250,崙背,2025-04-16,23.75555,120.318925,0.7820978,,0.92,0.020286117,
C0K250,崙背,2025-04-17,23.75555,120.318925,,,0.95,0.9594939,
