站號,站名,日期,lat,lon,BlastGRU-TW,BlastDT2,BlastLSTLS,planthopper
C0R820,白鷺,2025-01-12,22.454275,120.666219,0.002739571,1.0,0.01,0.0
C0R820,白鷺,2025-01-13,22.454275,120.666219,0.0028603082,1.0,0.01,0.0
C0R820,白鷺,2025-01-14,22.454275,120.666219,0.006833365,0.0,0.01,0.0
C0R820,白鷺,2025-01-15,22.454275,120.666219,0.0053309994,1.0,0.01,0.0
C0R820,白鷺,2025-01-16,22.454275,120.666219,0.003957627,0.0,0.01,0.0
C0R820,白鷺,2025-01-17,22.454275,120.666219,0.003321116,0.0,0.01,0.0
C0R820,白鷺,2025-01-18,22.454275,120.666219,0.0031951596,0.0,0.01,0.0
C0R820,白鷺,2025-01-19,22.454275,120.666219,0.0029486918,0.0,0.01,0.0
C0R820,白鷺,2025-01-20,22.454275,120.666219,0.002814205,0.0,0.01,0.0
C0R820,白鷺,2025-01-21,22.454275,120.666219,0.0040961583,1.0,0.01,0.0
C0R820,白鷺,2025-01-22,22.454275,120.666219,0.0032083124,0.0,0.01,0.0
C0R820,白鷺,2025-01-23,22.454275,120.666219,0.002436167,0.0,0.01,0.0
C0R820,白鷺,2025-01-24,22.454275,120.666219,0.0017995464,1.0,0.01,0.0
C0R820,白鷺,2025-01-25,22.454275,120.666219,0.0016338411,0.0,0.01,0.0
C0R820,白鷺,2025-01-26,22.454275,120.666219,0.0011549427,1.0,0.01,0.0
C0R820,白鷺,2025-01-27,22.454275,120.666219,0.0012827459,1.0,0.02,0.0
C0R820,白鷺,2025-01-28,22.454275,120.666219,0.0015345198,0.0,0.01,0.0
C0R820,白鷺,2025-01-29,22.454275,120.666219,0.0022520379,0.0,0.02,0.0
C0R820,白鷺,2025-01-30,22.454275,120.666219,0.0046893503,1.0,0.02,0.0
C0R820,白鷺,2025-01-31,22.454275,120.666219,0.005354078,1.0,0.02,0.0
C0R820,白鷺,2025-02-01,22.454275,120.666219,0.003806161,1.0,0.03,0.0
C0R820,白鷺,2025-02-02,22.454275,120.666219,0.0044561727,1.0,0.03,0.0
C0R820,白鷺,2025-02-03,22.454275,120.666219,0.003924775,0.0,0.02,0.0
C0R820,白鷺,2025-02-04,22.454275,120.666219,0.0038323689,0.0,0.02,0.0
C0R820,白鷺,2025-02-05,22.454275,120.666219,0.006393765,0.0,0.02,0.0
C0R820,白鷺,2025-02-06,22.454275,120.666219,0.0061910297,0.0,0.02,0.0
C0R820,白鷺,2025-02-07,22.454275,120.666219,0.017145375,1.0,0.02,0.0
C0R820,白鷺,2025-02-08,22.454275,120.666219,0.03194287,1.0,0.02,0.0
C0R820,白鷺,2025-02-09,22.454275,120.666219,0.022065869,1.0,0.03,0.0
C0R820,白鷺,2025-02-10,22.454275,120.666219,0.0069021448,1.0,0.02,0.0
C0R820,白鷺,2025-02-11,22.454275,120.666219,0.0028855023,0.0,0.02,0.0
C0R820,白鷺,2025-02-12,22.454275,120.666219,0.001979908,0.0,0.03,0.0
C0R820,白鷺,2025-02-13,22.454275,120.666219,0.0034185576,,0.04,0.0
C0R820,白鷺,2025-02-14,22.454275,120.666219,0.0035602537,,0.03,0.0
C0R820,白鷺,2025-02-15,22.454275,120.666219,0.0034366928,,0.03,0.0
C0R820,白鷺,2025-02-16,22.454275,120.666219,0.0009503909,,0.03,0.0
C0R820,白鷺,2025-02-17,22.454275,120.666219,0.00091205875,,0.03,0.0
C0R820,白鷺,2025-02-18,22.454275,120.666219,0.0006599557,,0.03,
C0R820,白鷺,2025-02-19,22.454275,120.666219,0.0004296307,,0.02,
C0R820,白鷺,2025-02-20,22.454275,120.666219,0.0013338648,,0.03,
C0R820,白鷺,2025-02-21,22.454275,120.666219,0.0037014564,,0.02,
C0R820,白鷺,2025-02-22,22.454275,120.666219,0.009380915,,0.02,
C0R820,白鷺,2025-02-23,22.454275,120.666219,0.0053667817,,0.02,
C0R820,白鷺,2025-02-24,22.454275,120.666219,0.002009707,,0.02,
C0R820,白鷺,2025-02-25,22.454275,120.666219,0.0021711756,,0.02,
C0R820,白鷺,2025-02-26,22.454275,120.666219,0.0028820112,,0.02,
C0R820,白鷺,2025-02-27,22.454275,120.666219,,,0.02,
