站號,站名,日期,lat,lon,BlastGRU-TW,BlastDT2,BlastLSTLS,BLBTSLS,planthopper
C0SA60,知本（水試所）,2025-07-22,22.702394,121.082761,0.6971745,1.0,0.05,0.6021656,0.0
C0SA60,知本（水試所）,2025-07-23,22.702394,121.082761,0.91273737,1.0,0.07,0.30227157,0.0
C0SA60,知本（水試所）,2025-07-24,22.702394,121.082761,0.9012601,1.0,0.12,0.0061640944,11.0
C0SA60,知本（水試所）,2025-07-25,22.702394,121.082761,0.9902885,1.0,0.1,0.035257224,0.0
C0SA60,知本（水試所）,2025-07-26,22.702394,121.082761,0.9982779,1.0,0.14,0.0677874,3.7
C0SA60,知本（水試所）,2025-07-27,22.702394,121.082761,0.9992617,1.0,0.24,0.028534189,3.7
C0SA60,知本（水試所）,2025-07-28,22.702394,121.082761,0.99844134,1.0,0.57,0.004742525,3.7
C0SA60,知本（水試所）,2025-07-29,22.702394,121.082761,0.27352488,1.0,0.55,0.004443996,0.0
C0SA60,知本（水試所）,2025-07-30,22.702394,121.082761,0.07088715,1.0,0.64,0.0055484064,0.0
C0SA60,知本（水試所）,2025-07-31,22.702394,121.082761,0.05297291,1.0,0.61,0.099962085,0.0
C0SA60,知本（水試所）,2025-08-01,22.702394,121.082761,0.16668178,1.0,0.73,0.03385254,0.0
C0SA60,知本（水試所）,2025-08-02,22.702394,121.082761,0.02040093,1.0,0.3,0.025901023,0.0
C0SA60,知本（水試所）,2025-08-03,22.702394,121.082761,0.01922045,1.0,0.24,0.024639038,0.0
C0SA60,知本（水試所）,2025-08-04,22.702394,121.082761,0.036888655,1.0,0.43,0.030130023,0.0
C0SA60,知本（水試所）,2025-08-05,22.702394,121.082761,0.13863938,1.0,0.33,0.015909625,0.0
C0SA60,知本（水試所）,2025-08-06,22.702394,121.082761,0.56066024,1.0,0.44,0.10421063,0.0
C0SA60,知本（水試所）,2025-08-07,22.702394,121.082761,0.95500433,1.0,0.57,0.1259612,3.7
C0SA60,知本（水試所）,2025-08-08,22.702394,121.082761,0.99610573,1.0,0.62,0.10774631,11.0
C0SA60,知本（水試所）,2025-08-09,22.702394,121.082761,0.99806505,1.0,0.46,0.0053077755,7.4
C0SA60,知本（水試所）,2025-08-10,22.702394,121.082761,0.9837504,1.0,0.31,0.0033631602,0.0
C0SA60,知本（水試所）,2025-08-11,22.702394,121.082761,0.14698583,1.0,0.12,0.006411745,11.0
C0SA60,知本（水試所）,2025-08-12,22.702394,121.082761,0.038826898,1.0,0.07,0.006466853,30.0
C0SA60,知本（水試所）,2025-08-13,22.702394,121.082761,0.023801437,1.0,0.08,0.010452477,0.0
C0SA60,知本（水試所）,2025-08-14,22.702394,121.082761,0.04915784,1.0,0.11,0.16465473,0.0
C0SA60,知本（水試所）,2025-08-15,22.702394,121.082761,0.13447772,1.0,0.07,0.4800304,0.0
C0SA60,知本（水試所）,2025-08-16,22.702394,121.082761,0.99977285,1.0,0.07,0.53663594,0.0
C0SA60,知本（水試所）,2025-08-17,22.702394,121.082761,0.99983484,1.0,0.07,0.6946265,0.0
C0SA60,知本（水試所）,2025-08-18,22.702394,121.082761,0.99976397,1.0,0.06,0.19475396,0.0
C0SA60,知本（水試所）,2025-08-19,22.702394,121.082761,0.67364305,1.0,0.07,0.3659473,0.0
C0SA60,知本（水試所）,2025-08-20,22.702394,121.082761,0.060929414,1.0,0.08,0.54057246,0.0
C0SA60,知本（水試所）,2025-08-21,22.702394,121.082761,0.010051899,1.0,0.13,0.6216882,0.0
C0SA60,知本（水試所）,2025-08-22,22.702394,121.082761,0.008436532,1.0,0.25,0.6908647,0.0
C0SA60,知本（水試所）,2025-08-23,22.702394,121.082761,0.009964176,1.0,0.27,0.7365433,0.0
C0SA60,知本（水試所）,2025-08-24,22.702394,121.082761,0.009795044,,0.25,0.702405,0.0
C0SA60,知本（水試所）,2025-08-25,22.702394,121.082761,0.014313929,,0.25,0.8348774,0.0
C0SA60,知本（水試所）,2025-08-26,22.702394,121.082761,0.020740297,,0.23,0.66650736,0.0
C0SA60,知本（水試所）,2025-08-27,22.702394,121.082761,0.046870682,,0.18,0.64047694,0.0
C0SA60,知本（水試所）,2025-08-28,22.702394,121.082761,0.11924934,,0.15,0.793799,0.0
C0SA60,知本（水試所）,2025-08-29,22.702394,121.082761,0.25844714,,0.16,0.6663716,0.0
C0SA60,知本（水試所）,2025-08-30,22.702394,121.082761,0.5538631,,0.12,0.5521116,
C0SA60,知本（水試所）,2025-08-31,22.702394,121.082761,0.8451917,,0.16,0.45772716,
C0SA60,知本（水試所）,2025-09-01,22.702394,121.082761,0.90636295,,0.18,0.5524677,
C0SA60,知本（水試所）,2025-09-02,22.702394,121.082761,0.88649654,,0.2,0.8281344,
C0SA60,知本（水試所）,2025-09-03,22.702394,121.082761,0.8333488,,0.14,0.8592261,
C0SA60,知本（水試所）,2025-09-04,22.702394,121.082761,0.5639934,,0.14,0.9529941,
C0SA60,知本（水試所）,2025-09-05,22.702394,121.082761,0.07216632,,0.13,0.8176378,
C0SA60,知本（水試所）,2025-09-06,22.702394,121.082761,0.06236079,,0.26,0.6908994,
C0SA60,知本（水試所）,2025-09-07,22.702394,121.082761,0.092736565,,0.26,0.82001287,
C0SA60,知本（水試所）,2025-09-08,22.702394,121.082761,,,0.25,0.9513662,
