站號,站名,日期,lat,lon,BlastGRU-TW,BlastDT2,BlastLSTLS,BLBTSLS,planthopper
C0T870,鯉魚潭,2026-03-30,23.935639,121.508944,0.0067383037,1.0,0.91,8.540182e-09,3.7
C0T870,鯉魚潭,2026-03-31,23.935639,121.508944,0.018240754,0.0,0.96,6.2504544e-09,0.0
C0T870,鯉魚潭,2026-04-01,23.935639,121.508944,0.035048768,1.0,0.98,7.666153e-09,0.0
C0T870,鯉魚潭,2026-04-02,23.935639,121.508944,0.02775434,1.0,0.96,4.1026604e-09,11.0
C0T870,鯉魚潭,2026-04-03,23.935639,121.508944,0.055410575,1.0,0.99,3.2901477e-09,15.0
C0T870,鯉魚潭,2026-04-04,23.935639,121.508944,0.11071855,1.0,1.0,1.590432e-09,3.7
C0T870,鯉魚潭,2026-04-05,23.935639,121.508944,0.098107085,1.0,1.0,1.1810817e-09,22.0
C0T870,鯉魚潭,2026-04-06,23.935639,121.508944,0.10049821,1.0,0.99,5.976031e-10,0.0
C0T870,鯉魚潭,2026-04-07,23.935639,121.508944,0.038901974,1.0,1.0,1.6161156e-09,0.0
C0T870,鯉魚潭,2026-04-08,23.935639,121.508944,0.10394612,1.0,1.0,4.6177893e-09,22.0
C0T870,鯉魚潭,2026-04-09,23.935639,121.508944,0.3733063,1.0,1.0,2.228427e-08,0.0
C0T870,鯉魚潭,2026-04-10,23.935639,121.508944,0.60489064,1.0,1.0,4.81774e-09,0.0
C0T870,鯉魚潭,2026-04-11,23.935639,121.508944,0.5303845,1.0,0.99,6.434014e-08,3.7
C0T870,鯉魚潭,2026-04-12,23.935639,121.508944,0.33326998,1.0,0.99,9.013113e-08,7.4
C0T870,鯉魚潭,2026-04-13,23.935639,121.508944,0.16130705,1.0,0.99,2.4436234e-08,0.0
C0T870,鯉魚潭,2026-04-14,23.935639,121.508944,0.5000232,1.0,1.0,1.3509694e-07,0.0
C0T870,鯉魚潭,2026-04-15,23.935639,121.508944,0.8914475,1.0,1.0,7.102962e-08,0.0
C0T870,鯉魚潭,2026-04-16,23.935639,121.508944,0.9643238,1.0,1.0,1.2322461e-07,0.0
C0T870,鯉魚潭,2026-04-17,23.935639,121.508944,0.96528375,1.0,1.0,3.9967355e-07,0.0
C0T870,鯉魚潭,2026-04-18,23.935639,121.508944,0.96413046,1.0,1.0,0.0013683321,0.0
C0T870,鯉魚潭,2026-04-19,23.935639,121.508944,0.948623,1.0,1.0,0.2658427,0.0
C0T870,鯉魚潭,2026-04-20,23.935639,121.508944,0.9518103,1.0,1.0,0.9972399,0.0
C0T870,鯉魚潭,2026-04-21,23.935639,121.508944,0.9762125,1.0,1.0,0.9994978,7.4
C0T870,鯉魚潭,2026-04-22,23.935639,121.508944,0.9769092,1.0,1.0,0.99456626,0.0
C0T870,鯉魚潭,2026-04-23,23.935639,121.508944,0.9617241,1.0,1.0,0.24239278,0.0
C0T870,鯉魚潭,2026-04-24,23.935639,121.508944,0.9740634,1.0,1.0,0.0003959825,0.0
C0T870,鯉魚潭,2026-04-25,23.935639,121.508944,0.93111175,1.0,1.0,2.3304396e-07,0.0
C0T870,鯉魚潭,2026-04-26,23.935639,121.508944,0.91667813,1.0,1.0,8.894691e-09,0.0
C0T870,鯉魚潭,2026-04-27,23.935639,121.508944,0.9503072,1.0,1.0,1.0166236e-08,0.0
C0T870,鯉魚潭,2026-04-28,23.935639,121.508944,0.9461086,1.0,1.0,2.4778382e-08,3.7
C0T870,鯉魚潭,2026-04-29,23.935639,121.508944,0.7128874,1.0,1.0,1.3272301e-08,0.0
C0T870,鯉魚潭,2026-04-30,23.935639,121.508944,0.37389177,0.0,1.0,7.529213e-09,0.0
C0T870,鯉魚潭,2026-05-01,23.935639,121.508944,0.5523708,1.0,1.0,1.6906826e-09,0.0
C0T870,鯉魚潭,2026-05-02,23.935639,121.508944,0.33861345,1.0,1.0,1.1904359e-09,15.0
C0T870,鯉魚潭,2026-05-03,23.935639,121.508944,0.48697284,,1.0,1.3607501e-09,0.0
C0T870,鯉魚潭,2026-05-04,23.935639,121.508944,0.50169873,,1.0,4.3663867e-08,0.0
C0T870,鯉魚潭,2026-05-05,23.935639,121.508944,0.50149727,,1.0,1.7807453e-06,0.0
C0T870,鯉魚潭,2026-05-06,23.935639,121.508944,0.72837156,,1.0,1.4607353e-06,0.0
C0T870,鯉魚潭,2026-05-07,23.935639,121.508944,0.90148515,,1.0,9.015706e-06,0.0
C0T870,鯉魚潭,2026-05-08,23.935639,121.508944,0.94038785,,1.0,0.00028996478,
C0T870,鯉魚潭,2026-05-09,23.935639,121.508944,0.9660032,,1.0,0.0090269735,
C0T870,鯉魚潭,2026-05-10,23.935639,121.508944,0.9873327,,1.0,0.9300632,
C0T870,鯉魚潭,2026-05-11,23.935639,121.508944,0.9677228,,0.99,0.9099534,
C0T870,鯉魚潭,2026-05-12,23.935639,121.508944,0.89912975,,0.99,0.7442734,
C0T870,鯉魚潭,2026-05-13,23.935639,121.508944,0.8379717,,0.99,0.84504634,
C0T870,鯉魚潭,2026-05-14,23.935639,121.508944,0.8246146,,0.99,0.99963266,
C0T870,鯉魚潭,2026-05-15,23.935639,121.508944,0.94822985,,0.99,0.999826,
C0T870,鯉魚潭,2026-05-16,23.935639,121.508944,0.9710425,,0.99,0.99968076,
C0T870,鯉魚潭,2026-05-17,23.935639,121.508944,,,0.99,0.99719775,
