站號,站名,日期,lat,lon,BlastGRU-TW,BlastDT2,BlastLSTLS,BLBTSLS,planthopper
C0T9A0,月眉山,2025-07-20,23.809928,121.539828,0.9831994,1.0,0.99,0.081371196,22.0
C0T9A0,月眉山,2025-07-21,23.809928,121.539828,0.9814877,1.0,0.98,0.7572858,0.0
C0T9A0,月眉山,2025-07-22,23.809928,121.539828,0.9813311,1.0,0.98,0.9539628,0.0
C0T9A0,月眉山,2025-07-23,23.809928,121.539828,0.9994748,1.0,0.97,0.98524714,0.0
C0T9A0,月眉山,2025-07-24,23.809928,121.539828,0.9999177,1.0,0.97,0.60053873,3.7
C0T9A0,月眉山,2025-07-25,23.809928,121.539828,0.9999298,1.0,0.98,0.7135786,3.7
C0T9A0,月眉山,2025-07-26,23.809928,121.539828,0.99987024,1.0,0.97,0.8114393,7.4
C0T9A0,月眉山,2025-07-27,23.809928,121.539828,0.9997576,1.0,0.95,0.82169265,19.0
C0T9A0,月眉山,2025-07-28,23.809928,121.539828,0.9953934,1.0,0.98,0.5104099,15.0
C0T9A0,月眉山,2025-07-29,23.809928,121.539828,0.079897985,1.0,0.96,0.082359955,0.0
C0T9A0,月眉山,2025-07-30,23.809928,121.539828,0.016742224,1.0,0.98,0.061951824,0.0
C0T9A0,月眉山,2025-07-31,23.809928,121.539828,0.01037707,1.0,0.99,2.2004862e-05,0.0
C0T9A0,月眉山,2025-08-01,23.809928,121.539828,0.008721512,1.0,0.99,5.8749936e-07,0.0
C0T9A0,月眉山,2025-08-02,23.809928,121.539828,0.0173513,1.0,0.99,0.30794325,0.0
C0T9A0,月眉山,2025-08-03,23.809928,121.539828,0.06919976,1.0,0.99,0.94270706,0.0
C0T9A0,月眉山,2025-08-04,23.809928,121.539828,0.42460915,1.0,0.99,0.9027936,3.7
C0T9A0,月眉山,2025-08-05,23.809928,121.539828,0.8743555,1.0,0.98,0.7206384,0.0
C0T9A0,月眉山,2025-08-06,23.809928,121.539828,0.97070795,1.0,0.98,0.8681251,0.0
C0T9A0,月眉山,2025-08-07,23.809928,121.539828,0.99374694,1.0,0.98,0.98486674,0.0
C0T9A0,月眉山,2025-08-08,23.809928,121.539828,0.9980605,1.0,0.97,0.8882879,11.0
C0T9A0,月眉山,2025-08-09,23.809928,121.539828,0.9988266,1.0,0.97,0.6919083,7.4
C0T9A0,月眉山,2025-08-10,23.809928,121.539828,0.99870235,1.0,0.97,0.5612018,0.0
C0T9A0,月眉山,2025-08-11,23.809928,121.539828,0.9965089,1.0,0.97,0.22261903,11.0
C0T9A0,月眉山,2025-08-12,23.809928,121.539828,0.99537283,1.0,0.98,0.00028696132,19.0
C0T9A0,月眉山,2025-08-13,23.809928,121.539828,0.99035394,1.0,0.98,2.6364305e-05,0.0
C0T9A0,月眉山,2025-08-14,23.809928,121.539828,0.98006976,1.0,0.98,2.1654052e-05,0.0
C0T9A0,月眉山,2025-08-15,23.809928,121.539828,0.97495484,1.0,0.98,0.97842354,0.0
C0T9A0,月眉山,2025-08-16,23.809928,121.539828,0.90950614,1.0,0.96,0.9377002,0.0
C0T9A0,月眉山,2025-08-17,23.809928,121.539828,0.90767497,1.0,0.95,0.9404743,0.0
C0T9A0,月眉山,2025-08-18,23.809928,121.539828,0.9715564,1.0,0.99,8.74256e-08,0.0
C0T9A0,月眉山,2025-08-19,23.809928,121.539828,0.9879748,1.0,0.99,7.472929e-09,0.0
C0T9A0,月眉山,2025-08-20,23.809928,121.539828,0.9898198,1.0,0.99,3.3244258e-09,0.0
C0T9A0,月眉山,2025-08-21,23.809928,121.539828,0.9903509,1.0,0.99,1.7711815e-09,0.0
C0T9A0,月眉山,2025-08-22,23.809928,121.539828,0.98930895,,0.98,3.0270917e-09,0.0
C0T9A0,月眉山,2025-08-23,23.809928,121.539828,0.9923076,,0.98,3.5393122e-09,0.0
C0T9A0,月眉山,2025-08-24,23.809928,121.539828,0.99289405,,0.95,1.9328036e-08,0.0
C0T9A0,月眉山,2025-08-25,23.809928,121.539828,0.97494954,,0.96,0.99954355,0.0
C0T9A0,月眉山,2025-08-26,23.809928,121.539828,0.9776754,,0.96,0.99960566,0.0
C0T9A0,月眉山,2025-08-27,23.809928,121.539828,0.9876855,,0.93,0.99966663,0.0
C0T9A0,月眉山,2025-08-28,23.809928,121.539828,0.9924068,,0.91,0.99928916,
C0T9A0,月眉山,2025-08-29,23.809928,121.539828,0.9949368,,0.84,0.99613756,
C0T9A0,月眉山,2025-08-30,23.809928,121.539828,0.9966498,,0.8,0.94845515,
C0T9A0,月眉山,2025-08-31,23.809928,121.539828,0.9977152,,0.83,0.92809194,
C0T9A0,月眉山,2025-09-01,23.809928,121.539828,0.9985072,,0.89,0.8459844,
C0T9A0,月眉山,2025-09-02,23.809928,121.539828,0.99859387,,0.86,0.83588344,
C0T9A0,月眉山,2025-09-03,23.809928,121.539828,0.998252,,0.79,0.8537092,
C0T9A0,月眉山,2025-09-04,23.809928,121.539828,0.9971125,,0.79,0.8245257,
C0T9A0,月眉山,2025-09-05,23.809928,121.539828,0.97536767,,0.79,0.76591676,
C0T9A0,月眉山,2025-09-06,23.809928,121.539828,,,0.8,0.69759655,
