站號,站名,日期,lat,lon,BlastGRU-TW,BlastDT2,BlastLSTLS,BLBTSLS,planthopper
C0T9D0,和中,2026-01-28,24.26676,121.74103,0.0038041093,1.0,0.11,7.53575e-09,0.0
C0T9D0,和中,2026-01-29,24.26676,121.74103,0.0042705336,0.0,0.12,6.910274e-09,0.0
C0T9D0,和中,2026-01-30,24.26676,121.74103,0.0030136986,0.0,0.09,1.0504723e-08,0.0
C0T9D0,和中,2026-01-31,24.26676,121.74103,0.00958964,1.0,0.09,7.841173e-09,0.0
C0T9D0,和中,2026-02-01,24.26676,121.74103,0.020170046,1.0,0.03,6.750468e-09,0.0
C0T9D0,和中,2026-02-02,24.26676,121.74103,0.032381296,0.0,0.02,2.163105e-09,0.0
C0T9D0,和中,2026-02-03,24.26676,121.74103,0.013782642,1.0,0.01,5.196864e-09,0.0
C0T9D0,和中,2026-02-04,24.26676,121.74103,0.006909749,0.0,0.02,6.274595e-09,0.0
C0T9D0,和中,2026-02-05,24.26676,121.74103,0.0035833982,1.0,0.02,7.558595e-09,0.0
C0T9D0,和中,2026-02-06,24.26676,121.74103,0.005175594,0.0,0.02,5.4345612e-09,0.0
C0T9D0,和中,2026-02-07,24.26676,121.74103,0.015481713,0.0,0.04,8.086098e-09,0.0
C0T9D0,和中,2026-02-08,24.26676,121.74103,0.015951447,0.0,0.04,7.539991e-09,0.0
C0T9D0,和中,2026-02-09,24.26676,121.74103,0.013851925,1.0,0.05,3.4107746e-09,0.0
C0T9D0,和中,2026-02-10,24.26676,121.74103,0.008919873,1.0,0.1,2.2204114e-09,0.0
C0T9D0,和中,2026-02-11,24.26676,121.74103,0.0036056978,1.0,0.25,1.2160866e-09,0.0
C0T9D0,和中,2026-02-12,24.26676,121.74103,0.004406244,0.0,0.05,1.0064516e-09,0.0
C0T9D0,和中,2026-02-13,24.26676,121.74103,0.0330683,0.0,0.02,1.1977719e-09,0.0
C0T9D0,和中,2026-02-14,24.26676,121.74103,0.07811219,0.0,0.14,2.541605e-09,0.0
C0T9D0,和中,2026-02-15,24.26676,121.74103,0.05223879,0.0,0.26,9.4692885e-09,0.0
C0T9D0,和中,2026-02-16,24.26676,121.74103,0.031079223,1.0,0.06,3.4655108e-09,0.0
C0T9D0,和中,2026-02-17,24.26676,121.74103,0.027957907,1.0,0.01,3.1015202e-09,0.0
C0T9D0,和中,2026-02-18,24.26676,121.74103,0.034188427,1.0,0.01,1.7463248e-09,0.0
C0T9D0,和中,2026-02-19,24.26676,121.74103,0.019847887,1.0,0.02,1.2770903e-09,0.0
C0T9D0,和中,2026-02-20,24.26676,121.74103,0.012239241,1.0,0.03,1.4300005e-09,0.0
C0T9D0,和中,2026-02-21,24.26676,121.74103,0.005352596,1.0,0.03,4.7041876e-10,0.0
C0T9D0,和中,2026-02-22,24.26676,121.74103,0.022447236,0.0,0.01,7.3653234e-10,0.0
C0T9D0,和中,2026-02-23,24.26676,121.74103,0.043271843,0.0,0.01,1.8045861e-09,0.0
C0T9D0,和中,2026-02-24,24.26676,121.74103,0.036828015,1.0,0.04,1.5150066e-09,0.0
C0T9D0,和中,2026-02-25,24.26676,121.74103,0.014589475,1.0,0.07,1.5352848e-09,0.0
C0T9D0,和中,2026-02-26,24.26676,121.74103,0.013996471,1.0,0.09,1.0232821e-09,0.0
C0T9D0,和中,2026-02-27,24.26676,121.74103,0.015352729,1.0,0.02,1.4077445e-09,0.0
C0T9D0,和中,2026-02-28,24.26676,121.74103,0.017172493,1.0,0.03,1.638072e-09,0.0
C0T9D0,和中,2026-03-01,24.26676,121.74103,0.013830936,1.0,0.09,7.458613e-10,0.0
C0T9D0,和中,2026-03-02,24.26676,121.74103,0.0037332773,,0.79,1.6903698e-09,0.0
C0T9D0,和中,2026-03-03,24.26676,121.74103,0.0018064188,,0.65,2.2804276e-09,0.0
C0T9D0,和中,2026-03-04,24.26676,121.74103,0.010155484,,0.06,6.571218e-09,0.0
C0T9D0,和中,2026-03-05,24.26676,121.74103,0.077431194,,0.06,2.5140181e-08,0.0
C0T9D0,和中,2026-03-06,24.26676,121.74103,0.051867753,,0.88,1.2776421e-07,0.0
C0T9D0,和中,2026-03-07,24.26676,121.74103,0.04959363,,0.91,2.5288892e-07,0.0
C0T9D0,和中,2026-03-08,24.26676,121.74103,0.031648498,,0.05,7.4411737e-06,
C0T9D0,和中,2026-03-09,24.26676,121.74103,0.027358122,,0.04,6.9850876e-06,
C0T9D0,和中,2026-03-10,24.26676,121.74103,0.04199472,,0.02,0.00010806491,
C0T9D0,和中,2026-03-11,24.26676,121.74103,0.08435691,,0.02,0.00031186984,
C0T9D0,和中,2026-03-12,24.26676,121.74103,0.17280045,,0.03,8.5922366e-05,
C0T9D0,和中,2026-03-13,24.26676,121.74103,0.13788454,,0.04,0.48732728,
C0T9D0,和中,2026-03-14,24.26676,121.74103,0.05524281,,0.05,0.8528735,
C0T9D0,和中,2026-03-15,24.26676,121.74103,0.042205624,,0.05,0.0008023807,
C0T9D0,和中,2026-03-16,24.26676,121.74103,0.06162594,,0.05,9.309384e-06,
C0T9D0,和中,2026-03-17,24.26676,121.74103,,,0.03,1.4133892e-06,
