站號,站名,日期,lat,lon,BlastGRU-TW,BlastDT2,BlastLSTLS,BLBTSLS,planthopper
C0T9H0,加路蘭山,2026-08-20,23.682947,121.5274,0.92145807,1.0,0.48,0.9996543,0.0
C0T9H0,加路蘭山,2026-08-21,23.682947,121.5274,0.93277675,1.0,0.52,0.9996394,11.0
C0T9H0,加路蘭山,2026-08-22,23.682947,121.5274,0.92001146,1.0,0.53,0.9996837,15.0
C0T9H0,加路蘭山,2026-08-23,23.682947,121.5274,0.93662363,1.0,0.5,0.99975455,30.0
C0T9H0,加路蘭山,2026-08-24,23.682947,121.5274,0.9786634,1.0,0.48,0.9997429,0.0
C0T9H0,加路蘭山,2026-08-25,23.682947,121.5274,0.972245,1.0,0.63,0.99748725,0.0
C0T9H0,加路蘭山,2026-08-26,23.682947,121.5274,0.9874599,1.0,0.92,5.457296e-07,0.0
C0T9H0,加路蘭山,2026-08-27,23.682947,121.5274,0.98933595,1.0,0.97,2.4190722e-06,3.7
C0T9H0,加路蘭山,2026-08-28,23.682947,121.5274,0.98324627,1.0,0.99,9.346684e-06,0.0
C0T9H0,加路蘭山,2026-08-29,23.682947,121.5274,0.9796471,1.0,0.96,9.515221e-07,37.0
C0T9H0,加路蘭山,2026-08-30,23.682947,121.5274,0.9795902,1.0,0.91,2.4707203e-06,15.0
C0T9H0,加路蘭山,2026-08-31,23.682947,121.5274,0.98286617,1.0,0.96,8.1024484e-07,0.0
C0T9H0,加路蘭山,2026-09-01,23.682947,121.5274,0.9910861,1.0,0.92,2.6749576e-06,7.4
C0T9H0,加路蘭山,2026-09-02,23.682947,121.5274,0.993542,0.0,0.98,6.73351e-08,19.0
C0T9H0,加路蘭山,2026-09-03,23.682947,121.5274,0.9875204,1.0,0.94,4.962215e-07,0.0
C0T9H0,加路蘭山,2026-09-04,23.682947,121.5274,0.9486264,1.0,0.93,5.613485e-08,0.0
C0T9H0,加路蘭山,2026-09-05,23.682947,121.5274,0.80533457,1.0,0.95,2.1197309e-08,0.0
C0T9H0,加路蘭山,2026-09-06,23.682947,121.5274,0.1832008,1.0,0.97,7.900911e-06,0.0
C0T9H0,加路蘭山,2026-09-07,23.682947,121.5274,0.16556989,1.0,0.97,5.4291806e-05,0.0
C0T9H0,加路蘭山,2026-09-08,23.682947,121.5274,0.2840496,1.0,0.95,0.012550032,0.0
C0T9H0,加路蘭山,2026-09-09,23.682947,121.5274,0.6835077,1.0,0.92,0.059171032,0.0
C0T9H0,加路蘭山,2026-09-10,23.682947,121.5274,0.93365556,1.0,0.86,0.06225817,0.0
C0T9H0,加路蘭山,2026-09-11,23.682947,121.5274,0.9910676,1.0,0.94,0.00015749018,0.0
C0T9H0,加路蘭山,2026-09-12,23.682947,121.5274,0.9984724,1.0,0.96,4.3225914e-06,0.0
C0T9H0,加路蘭山,2026-09-13,23.682947,121.5274,0.9995333,1.0,0.96,5.411841e-06,0.0
C0T9H0,加路蘭山,2026-09-14,23.682947,121.5274,0.9996672,1.0,0.96,2.9507871e-06,0.0
C0T9H0,加路蘭山,2026-09-15,23.682947,121.5274,0.9970925,1.0,0.97,5.835687e-08,0.0
C0T9H0,加路蘭山,2026-09-16,23.682947,121.5274,0.7491654,1.0,0.98,4.71747e-09,0.0
C0T9H0,加路蘭山,2026-09-17,23.682947,121.5274,0.9104055,1.0,0.98,0.0064692916,0.0
C0T9H0,加路蘭山,2026-09-18,23.682947,121.5274,0.9619531,1.0,0.99,0.006548819,0.0
C0T9H0,加路蘭山,2026-09-19,23.682947,121.5274,0.9808271,1.0,0.99,0.020493113,0.0
C0T9H0,加路蘭山,2026-09-20,23.682947,121.5274,0.9838077,1.0,0.97,0.0035815414,0.0
C0T9H0,加路蘭山,2026-09-21,23.682947,121.5274,0.98394,1.0,0.95,0.0009256009,0.0
C0T9H0,加路蘭山,2026-09-22,23.682947,121.5274,0.9868396,1.0,0.98,0.00012245697,0.0
C0T9H0,加路蘭山,2026-09-23,23.682947,121.5274,0.9871109,,0.98,8.566025e-05,0.0
C0T9H0,加路蘭山,2026-09-24,23.682947,121.5274,0.9875242,,0.95,0.0003883907,0.0
C0T9H0,加路蘭山,2026-09-25,23.682947,121.5274,0.9827795,,0.83,0.009502718,0.0
C0T9H0,加路蘭山,2026-09-26,23.682947,121.5274,0.9557727,,0.68,0.06669842,0.0
C0T9H0,加路蘭山,2026-09-27,23.682947,121.5274,0.8073253,,0.58,0.39610815,0.0
C0T9H0,加路蘭山,2026-09-28,23.682947,121.5274,0.36706647,,0.71,0.9574135,
C0T9H0,加路蘭山,2026-09-29,23.682947,121.5274,0.26623031,,0.94,0.9984183,
C0T9H0,加路蘭山,2026-09-30,23.682947,121.5274,0.19100945,,0.95,0.9994514,
C0T9H0,加路蘭山,2026-10-01,23.682947,121.5274,0.19055831,,0.91,0.99953324,
C0T9H0,加路蘭山,2026-10-02,23.682947,121.5274,0.25166872,,0.93,0.99946296,
C0T9H0,加路蘭山,2026-10-03,23.682947,121.5274,0.42743313,,0.98,0.99935114,
C0T9H0,加路蘭山,2026-10-04,23.682947,121.5274,0.6293285,,0.99,0.9993998,
C0T9H0,加路蘭山,2026-10-05,23.682947,121.5274,0.5381368,,0.99,0.99863726,
C0T9H0,加路蘭山,2026-10-06,23.682947,121.5274,0.39954352,,1.0,0.9983938,
C0T9H0,加路蘭山,2026-10-07,23.682947,121.5274,,,1.0,0.99827,
