站號,站名,日期,lat,lon,BlastGRU-TW,BlastDT2,BlastLSTLS,planthopper
C0T9M0,靜浦,2025-02-03,23.455167,121.495028,0.0015058619,0.0,0.02,0.0
C0T9M0,靜浦,2025-02-04,23.455167,121.495028,0.0012256784,0.0,0.02,0.0
C0T9M0,靜浦,2025-02-05,23.455167,121.495028,0.001561753,0.0,0.02,0.0
C0T9M0,靜浦,2025-02-06,23.455167,121.495028,0.0022119042,0.0,0.02,0.0
C0T9M0,靜浦,2025-02-07,23.455167,121.495028,0.004955648,1.0,0.01,0.0
C0T9M0,靜浦,2025-02-08,23.455167,121.495028,0.008329695,1.0,0.02,0.0
C0T9M0,靜浦,2025-02-09,23.455167,121.495028,0.0057617296,0.0,0.02,0.0
C0T9M0,靜浦,2025-02-10,23.455167,121.495028,0.0039872886,0.0,0.02,0.0
C0T9M0,靜浦,2025-02-11,23.455167,121.495028,0.0014837564,0.0,0.01,0.0
C0T9M0,靜浦,2025-02-12,23.455167,121.495028,0.0012826774,0.0,0.02,0.0
C0T9M0,靜浦,2025-02-13,23.455167,121.495028,0.0025040004,0.0,0.03,0.0
C0T9M0,靜浦,2025-02-14,23.455167,121.495028,0.0030300238,0.0,0.04,0.0
C0T9M0,靜浦,2025-02-15,23.455167,121.495028,0.0010627114,0.0,0.04,0.0
C0T9M0,靜浦,2025-02-16,23.455167,121.495028,0.00058679335,0.0,0.03,0.0
C0T9M0,靜浦,2025-02-17,23.455167,121.495028,0.00047147425,1.0,0.03,0.0
C0T9M0,靜浦,2025-02-18,23.455167,121.495028,0.00052245485,1.0,0.04,0.0
C0T9M0,靜浦,2025-02-19,23.455167,121.495028,0.0007245996,0.0,0.04,0.0
C0T9M0,靜浦,2025-02-20,23.455167,121.495028,0.0011560654,0.0,0.07,0.0
C0T9M0,靜浦,2025-02-21,23.455167,121.495028,0.0013234114,1.0,0.07,0.0
C0T9M0,靜浦,2025-02-22,23.455167,121.495028,0.0016602704,1.0,0.06,0.0
C0T9M0,靜浦,2025-02-23,23.455167,121.495028,0.003753653,1.0,0.05,0.0
C0T9M0,靜浦,2025-02-24,23.455167,121.495028,0.0031745548,0.0,0.04,0.0
C0T9M0,靜浦,2025-02-25,23.455167,121.495028,0.004810437,0.0,0.04,0.0
C0T9M0,靜浦,2025-02-26,23.455167,121.495028,0.003866995,1.0,0.03,0.0
C0T9M0,靜浦,2025-02-27,23.455167,121.495028,0.0025231242,1.0,0.05,0.0
C0T9M0,靜浦,2025-02-28,23.455167,121.495028,0.0026768555,0.0,0.11,0.0
C0T9M0,靜浦,2025-03-01,23.455167,121.495028,0.0031232492,1.0,0.09,0.0
C0T9M0,靜浦,2025-03-02,23.455167,121.495028,0.006942082,0.0,0.12,0.0
C0T9M0,靜浦,2025-03-03,23.455167,121.495028,0.029292844,0.0,0.15,0.0
C0T9M0,靜浦,2025-03-04,23.455167,121.495028,0.073017925,1.0,0.17,0.0
C0T9M0,靜浦,2025-03-05,23.455167,121.495028,0.17011946,1.0,0.46,0.0
C0T9M0,靜浦,2025-03-06,23.455167,121.495028,0.24931166,1.0,0.92,0.0
C0T9M0,靜浦,2025-03-07,23.455167,121.495028,0.025858019,1.0,0.98,0.0
C0T9M0,靜浦,2025-03-08,23.455167,121.495028,0.025654899,1.0,0.98,0.0
C0T9M0,靜浦,2025-03-09,23.455167,121.495028,0.018378457,,0.91,0.0
C0T9M0,靜浦,2025-03-10,23.455167,121.495028,0.016287101,,0.9,0.0
C0T9M0,靜浦,2025-03-11,23.455167,121.495028,0.0309982,,0.71,0.0
C0T9M0,靜浦,2025-03-12,23.455167,121.495028,0.07699968,,0.35,0.0
C0T9M0,靜浦,2025-03-13,23.455167,121.495028,0.1657155,,0.2,0.0
C0T9M0,靜浦,2025-03-14,23.455167,121.495028,0.24922803,,0.23,
C0T9M0,靜浦,2025-03-15,23.455167,121.495028,0.32780913,,0.3,
C0T9M0,靜浦,2025-03-16,23.455167,121.495028,0.20895621,,0.68,
C0T9M0,靜浦,2025-03-17,23.455167,121.495028,0.1014565,,0.9,
C0T9M0,靜浦,2025-03-18,23.455167,121.495028,0.1547288,,0.87,
C0T9M0,靜浦,2025-03-19,23.455167,121.495028,0.21614426,,0.89,
C0T9M0,靜浦,2025-03-20,23.455167,121.495028,0.41498318,,0.86,
C0T9M0,靜浦,2025-03-21,23.455167,121.495028,0.6919965,,0.62,
C0T9M0,靜浦,2025-03-22,23.455167,121.495028,0.84909874,,0.37,
C0T9M0,靜浦,2025-03-23,23.455167,121.495028,,,0.33,
