站號,站名,日期,lat,lon,BlastGRU-TW,BlastDT2,BlastLSTLS,BLBTSLS,planthopper
C0T9N0,富里,2025-10-17,23.171639,121.249378,0.62468517,1.0,0.79,0.41871196,0.0
C0T9N0,富里,2025-10-18,23.171639,121.249378,0.5469768,1.0,0.92,0.43926024,0.0
C0T9N0,富里,2025-10-19,23.171639,121.249378,0.4792405,1.0,0.93,0.43974558,0.0
C0T9N0,富里,2025-10-20,23.171639,121.249378,0.48350132,1.0,0.94,0.5448879,0.0
C0T9N0,富里,2025-10-21,23.171639,121.249378,0.51683605,0.0,0.93,0.35387415,0.0
C0T9N0,富里,2025-10-22,23.171639,121.249378,0.7781929,0.0,0.93,0.008099287,0.0
C0T9N0,富里,2025-10-23,23.171639,121.249378,0.56493,0.0,0.94,0.048562527,0.0
C0T9N0,富里,2025-10-24,23.171639,121.249378,0.2765569,1.0,0.99,0.6835644,0.0
C0T9N0,富里,2025-10-25,23.171639,121.249378,0.20828678,1.0,0.97,0.66892433,0.0
C0T9N0,富里,2025-10-26,23.171639,121.249378,0.76426,1.0,0.96,0.0974496,0.0
C0T9N0,富里,2025-10-27,23.171639,121.249378,0.34583217,1.0,0.97,0.0032903359,0.0
C0T9N0,富里,2025-10-28,23.171639,121.249378,0.22456199,1.0,0.98,0.17339712,0.0
C0T9N0,富里,2025-10-29,23.171639,121.249378,0.23460591,1.0,0.96,0.34765425,0.0
C0T9N0,富里,2025-10-30,23.171639,121.249378,0.79141575,1.0,0.92,0.41237277,0.0
C0T9N0,富里,2025-10-31,23.171639,121.249378,0.33862045,1.0,0.94,0.5540798,0.0
C0T9N0,富里,2025-11-01,23.171639,121.249378,0.12623931,1.0,0.95,0.9277803,0.0
C0T9N0,富里,2025-11-02,23.171639,121.249378,0.03631757,1.0,0.96,0.75345135,0.0
C0T9N0,富里,2025-11-03,23.171639,121.249378,0.013888233,1.0,0.96,0.31551507,0.0
C0T9N0,富里,2025-11-04,23.171639,121.249378,0.22199188,1.0,0.97,0.12857287,0.0
C0T9N0,富里,2025-11-05,23.171639,121.249378,0.37275067,1.0,0.96,0.047347486,0.0
C0T9N0,富里,2025-11-06,23.171639,121.249378,0.721546,1.0,0.95,0.0062260083,0.0
C0T9N0,富里,2025-11-07,23.171639,121.249378,0.79380757,1.0,0.94,0.0024823442,0.0
C0T9N0,富里,2025-11-08,23.171639,121.249378,0.8896748,1.0,0.98,0.015053732,0.0
C0T9N0,富里,2025-11-09,23.171639,121.249378,0.94552326,1.0,0.99,0.2022642,0.0
C0T9N0,富里,2025-11-10,23.171639,121.249378,0.96253085,1.0,0.99,0.013215264,15.0
C0T9N0,富里,2025-11-11,23.171639,121.249378,0.9535529,1.0,0.99,0.78612924,7.4
C0T9N0,富里,2025-11-12,23.171639,121.249378,0.9645645,1.0,0.99,0.918085,0.0
C0T9N0,富里,2025-11-13,23.171639,121.249378,0.9787884,1.0,0.98,0.9590487,0.0
C0T9N0,富里,2025-11-14,23.171639,121.249378,0.9772905,1.0,0.98,0.97777426,0.0
C0T9N0,富里,2025-11-15,23.171639,121.249378,0.95848393,1.0,0.98,0.000365896,0.0
C0T9N0,富里,2025-11-16,23.171639,121.249378,0.9697609,1.0,0.98,0.024383986,0.0
C0T9N0,富里,2025-11-17,23.171639,121.249378,0.98221064,1.0,0.98,0.5127642,0.0
C0T9N0,富里,2025-11-18,23.171639,121.249378,0.985903,1.0,0.99,0.004365933,0.0
C0T9N0,富里,2025-11-19,23.171639,121.249378,0.9865176,,0.98,0.0094033955,0.0
C0T9N0,富里,2025-11-20,23.171639,121.249378,0.99465376,,0.99,0.016122263,0.0
C0T9N0,富里,2025-11-21,23.171639,121.249378,0.99228525,,0.98,0.024707276,0.0
C0T9N0,富里,2025-11-22,23.171639,121.249378,0.888341,,0.97,0.95376474,0.0
C0T9N0,富里,2025-11-23,23.171639,121.249378,0.5838594,,0.95,0.8418049,0.0
C0T9N0,富里,2025-11-24,23.171639,121.249378,0.5171979,,0.88,0.017994082,0.0
C0T9N0,富里,2025-11-25,23.171639,121.249378,0.53743714,,0.73,0.2245807,
C0T9N0,富里,2025-11-26,23.171639,121.249378,0.7887248,,0.49,0.9204049,
C0T9N0,富里,2025-11-27,23.171639,121.249378,0.9198334,,0.46,0.98518926,
C0T9N0,富里,2025-11-28,23.171639,121.249378,0.9744797,,0.37,0.9979206,
C0T9N0,富里,2025-11-29,23.171639,121.249378,0.99261856,,0.37,0.9986338,
C0T9N0,富里,2025-11-30,23.171639,121.249378,0.9965264,,0.34,0.99891406,
C0T9N0,富里,2025-12-01,23.171639,121.249378,0.9977777,,0.3,0.99977225,
C0T9N0,富里,2025-12-02,23.171639,121.249378,0.99773926,,0.28,0.9999002,
C0T9N0,富里,2025-12-03,23.171639,121.249378,0.9737971,,0.28,0.999379,
C0T9N0,富里,2025-12-04,23.171639,121.249378,,,0.25,0.9995705,
