站號,站名,日期,lat,lon,BlastGRU-TW,BlastDT2,BlastLSTLS,BLBTSLS,planthopper
C0U910,冬山,2025-07-14,24.63373,121.7937,0.054212652,1.0,0.33,0.5563425,0.0
C0U910,冬山,2025-07-15,24.63373,121.7937,0.036590964,1.0,0.22,0.00051959325,0.0
C0U910,冬山,2025-07-16,24.63373,121.7937,0.030066242,1.0,0.17,0.00012573673,0.0
C0U910,冬山,2025-07-17,24.63373,121.7937,0.02776097,0.0,0.16,1.0894854e-06,0.0
C0U910,冬山,2025-07-18,24.63373,121.7937,0.028943073,1.0,0.17,1.1622534e-06,3.7
C0U910,冬山,2025-07-19,24.63373,121.7937,0.03449772,0.0,0.22,2.0777561e-05,11.0
C0U910,冬山,2025-07-20,24.63373,121.7937,0.047371507,1.0,0.28,5.5520577e-05,7.4
C0U910,冬山,2025-07-21,24.63373,121.7937,0.13381828,1.0,0.31,0.0005583745,0.0
C0U910,冬山,2025-07-22,24.63373,121.7937,0.9952149,1.0,0.32,0.8744394,0.0
C0U910,冬山,2025-07-23,24.63373,121.7937,0.19011049,1.0,0.29,0.29317203,0.0
C0U910,冬山,2025-07-24,24.63373,121.7937,0.864708,1.0,0.33,0.86621714,7.4
C0U910,冬山,2025-07-25,24.63373,121.7937,0.04291565,1.0,0.59,0.93365973,11.0
C0U910,冬山,2025-07-26,24.63373,121.7937,0.025258012,1.0,0.92,0.9426358,7.4
C0U910,冬山,2025-07-27,24.63373,121.7937,0.026702287,1.0,0.97,0.93150365,19.0
C0U910,冬山,2025-07-28,24.63373,121.7937,0.01191675,1.0,1.0,0.9652591,15.0
C0U910,冬山,2025-07-29,24.63373,121.7937,0.008668073,1.0,1.0,0.9911755,0.0
C0U910,冬山,2025-07-30,24.63373,121.7937,0.0070332624,1.0,0.99,0.8145569,0.0
C0U910,冬山,2025-07-31,24.63373,121.7937,0.0067049903,1.0,0.99,0.03943261,0.0
C0U910,冬山,2025-08-01,24.63373,121.7937,0.0078052054,1.0,0.98,0.18735722,0.0
C0U910,冬山,2025-08-02,24.63373,121.7937,0.0066791484,1.0,0.98,0.63923794,0.0
C0U910,冬山,2025-08-03,24.63373,121.7937,0.0069679576,1.0,0.99,0.14857699,0.0
C0U910,冬山,2025-08-04,24.63373,121.7937,0.007468236,0.0,0.99,0.077918984,3.7
C0U910,冬山,2025-08-05,24.63373,121.7937,0.008882213,1.0,1.0,0.5278492,0.0
C0U910,冬山,2025-08-06,24.63373,121.7937,0.012286764,1.0,0.99,0.7794559,0.0
C0U910,冬山,2025-08-07,24.63373,121.7937,0.025725296,1.0,0.98,0.89822614,0.0
C0U910,冬山,2025-08-08,24.63373,121.7937,0.06200712,1.0,0.93,0.9081164,3.7
C0U910,冬山,2025-08-09,24.63373,121.7937,0.10740634,1.0,0.73,0.9134262,11.0
C0U910,冬山,2025-08-10,24.63373,121.7937,0.112148665,1.0,0.55,0.8271375,0.0
C0U910,冬山,2025-08-11,24.63373,121.7937,0.073155865,1.0,0.29,0.8415941,0.0
C0U910,冬山,2025-08-12,24.63373,121.7937,0.11965508,1.0,0.31,0.91952693,11.0
C0U910,冬山,2025-08-13,24.63373,121.7937,0.10308669,0.0,0.45,0.9683011,0.0
C0U910,冬山,2025-08-14,24.63373,121.7937,0.19279861,0.0,0.93,0.9575103,0.0
C0U910,冬山,2025-08-15,24.63373,121.7937,0.1811206,0.0,0.96,0.92756176,0.0
C0U910,冬山,2025-08-16,24.63373,121.7937,0.35499594,,0.85,0.93672925,7.4
C0U910,冬山,2025-08-17,24.63373,121.7937,0.19606242,,0.88,0.81243926,26.0
C0U910,冬山,2025-08-18,24.63373,121.7937,0.10293402,,0.96,0.37615097,19.0
C0U910,冬山,2025-08-19,24.63373,121.7937,0.046421945,,0.94,0.3016002,11.0
C0U910,冬山,2025-08-20,24.63373,121.7937,0.033094358,,0.89,0.2903394,0.0
C0U910,冬山,2025-08-21,24.63373,121.7937,0.031539526,,0.93,0.2945616,0.0
C0U910,冬山,2025-08-22,24.63373,121.7937,0.03415186,,0.95,0.19219315,
C0U910,冬山,2025-08-23,24.63373,121.7937,0.037993576,,0.97,0.066204265,
C0U910,冬山,2025-08-24,24.63373,121.7937,0.04442934,,0.97,0.027418654,
C0U910,冬山,2025-08-25,24.63373,121.7937,0.042805407,,0.94,0.06801918,
C0U910,冬山,2025-08-26,24.63373,121.7937,0.03590173,,0.85,0.041862078,
C0U910,冬山,2025-08-27,24.63373,121.7937,0.03562959,,0.66,0.0553036,
C0U910,冬山,2025-08-28,24.63373,121.7937,0.042885203,,0.65,0.057025105,
C0U910,冬山,2025-08-29,24.63373,121.7937,0.04609604,,0.69,0.0703752,
C0U910,冬山,2025-08-30,24.63373,121.7937,0.048899245,,0.79,0.08654455,
C0U910,冬山,2025-08-31,24.63373,121.7937,,,0.82,0.07096706,
