站號,站名,日期,lat,lon,BlastGRU-TW,BlastDT2,BlastLSTLS,BLBTSLS,planthopper
C0UA10,鴛鴦湖,2026-03-23,24.590269,121.412228,0.0013087116,1.0,0.04,4.648462e-09,0.0
C0UA10,鴛鴦湖,2026-03-24,24.590269,121.412228,0.0011548601,0.0,0.04,6.074509e-09,0.0
C0UA10,鴛鴦湖,2026-03-25,24.590269,121.412228,0.001303593,0.0,0.04,6.636907e-09,0.0
C0UA10,鴛鴦湖,2026-03-26,24.590269,121.412228,0.001145445,0.0,0.03,7.2419604e-09,0.0
C0UA10,鴛鴦湖,2026-03-27,24.590269,121.412228,0.0012506089,1.0,0.02,5.4453833e-09,0.0
C0UA10,鴛鴦湖,2026-03-28,24.590269,121.412228,0.0013339994,1.0,0.02,5.2901523e-09,0.0
C0UA10,鴛鴦湖,2026-03-29,24.590269,121.412228,0.0017791324,0.0,0.02,6.629569e-09,11.0
C0UA10,鴛鴦湖,2026-03-30,24.590269,121.412228,0.0011612058,0.0,0.02,6.1206227e-09,3.7
C0UA10,鴛鴦湖,2026-03-31,24.590269,121.412228,0.0013042564,0.0,0.02,4.448455e-09,0.0
C0UA10,鴛鴦湖,2026-04-01,24.590269,121.412228,0.0017633094,0.0,0.02,7.797177e-09,0.0
C0UA10,鴛鴦湖,2026-04-02,24.590269,121.412228,0.0016885606,0.0,0.03,1.058471e-08,7.4
C0UA10,鴛鴦湖,2026-04-03,24.590269,121.412228,0.002424896,1.0,0.03,8.42878e-09,7.4
C0UA10,鴛鴦湖,2026-04-04,24.590269,121.412228,0.0020450028,0.0,0.06,4.1702655e-09,3.7
C0UA10,鴛鴦湖,2026-04-05,24.590269,121.412228,0.0012952462,1.0,0.09,2.447223e-09,11.0
C0UA10,鴛鴦湖,2026-04-06,24.590269,121.412228,0.0037645462,0.0,0.1,3.1421288e-09,0.0
C0UA10,鴛鴦湖,2026-04-07,24.590269,121.412228,0.0065259365,1.0,0.11,3.996264e-09,0.0
C0UA10,鴛鴦湖,2026-04-08,24.590269,121.412228,0.004840765,1.0,0.06,7.641146e-09,22.0
C0UA10,鴛鴦湖,2026-04-09,24.590269,121.412228,0.009900541,0.0,0.09,1.0154821e-08,0.0
C0UA10,鴛鴦湖,2026-04-10,24.590269,121.412228,0.012842439,0.0,0.13,7.515597e-09,0.0
C0UA10,鴛鴦湖,2026-04-11,24.590269,121.412228,0.00970289,0.0,0.19,6.7621952e-09,3.7
C0UA10,鴛鴦湖,2026-04-12,24.590269,121.412228,0.010297905,0.0,0.26,1.232e-08,0.0
C0UA10,鴛鴦湖,2026-04-13,24.590269,121.412228,0.012418194,0.0,0.35,1.8570793e-08,0.0
C0UA10,鴛鴦湖,2026-04-14,24.590269,121.412228,0.013100751,1.0,0.66,1.270485e-08,0.0
C0UA10,鴛鴦湖,2026-04-15,24.590269,121.412228,0.0119772935,0.0,0.91,3.7426893e-09,0.0
C0UA10,鴛鴦湖,2026-04-16,24.590269,121.412228,0.016748654,1.0,0.97,2.2553348e-09,0.0
C0UA10,鴛鴦湖,2026-04-17,24.590269,121.412228,0.021435305,1.0,0.98,1.5634767e-09,0.0
C0UA10,鴛鴦湖,2026-04-18,24.590269,121.412228,0.018333992,1.0,0.99,1.4479556e-09,0.0
C0UA10,鴛鴦湖,2026-04-19,24.590269,121.412228,0.005955316,1.0,0.99,1.0097049e-09,0.0
C0UA10,鴛鴦湖,2026-04-20,24.590269,121.412228,0.0053511565,1.0,0.98,8.216988e-10,0.0
C0UA10,鴛鴦湖,2026-04-21,24.590269,121.412228,0.0072820047,0.0,0.96,1.0066896e-09,3.7
C0UA10,鴛鴦湖,2026-04-22,24.590269,121.412228,0.010984451,1.0,0.91,1.5747147e-09,3.7
C0UA10,鴛鴦湖,2026-04-23,24.590269,121.412228,0.017416948,0.0,0.85,2.5866322e-09,0.0
C0UA10,鴛鴦湖,2026-04-24,24.590269,121.412228,0.02115443,0.0,0.92,1.8111274e-09,0.0
C0UA10,鴛鴦湖,2026-04-25,24.590269,121.412228,0.02530916,1.0,0.95,1.6051638e-09,0.0
C0UA10,鴛鴦湖,2026-04-26,24.590269,121.412228,0.020951645,,0.96,2.9515765e-09,0.0
C0UA10,鴛鴦湖,2026-04-27,24.590269,121.412228,0.027550576,,0.52,5.5292158e-09,0.0
C0UA10,鴛鴦湖,2026-04-28,24.590269,121.412228,0.019347575,,0.18,6.000476e-09,0.0
C0UA10,鴛鴦湖,2026-04-29,24.590269,121.412228,0.005442366,,0.09,1.03167626e-08,0.0
C0UA10,鴛鴦湖,2026-04-30,24.590269,121.412228,0.0025740308,,0.06,1.2763311e-08,0.0
C0UA10,鴛鴦湖,2026-05-01,24.590269,121.412228,0.002393593,,0.03,9.569933e-09,
C0UA10,鴛鴦湖,2026-05-02,24.590269,121.412228,0.0022929332,,0.05,6.1733e-09,
C0UA10,鴛鴦湖,2026-05-03,24.590269,121.412228,0.0027350518,,0.08,4.87973e-09,
C0UA10,鴛鴦湖,2026-05-04,24.590269,121.412228,0.004104036,,0.08,6.0175993e-09,
C0UA10,鴛鴦湖,2026-05-05,24.590269,121.412228,0.0055189095,,0.1,1.556049e-08,
