站號,站名,日期,lat,lon,BlastGRU-TW,BlastDT2,BlastLSTLS,planthopper
C0UB20,壯圍,2025-01-29,24.7359,121.8163,0.0013440216,1.0,0.01,0.0
C0UB20,壯圍,2025-01-30,24.7359,121.8163,0.012045974,0.0,0.01,0.0
C0UB20,壯圍,2025-01-31,24.7359,121.8163,0.012311167,1.0,0.0,0.0
C0UB20,壯圍,2025-02-01,24.7359,121.8163,0.0048307697,0.0,0.01,0.0
C0UB20,壯圍,2025-02-02,24.7359,121.8163,0.002539823,0.0,0.01,0.0
C0UB20,壯圍,2025-02-03,24.7359,121.8163,0.001757745,0.0,0.01,0.0
C0UB20,壯圍,2025-02-04,24.7359,121.8163,0.0013818785,0.0,0.01,0.0
C0UB20,壯圍,2025-02-05,24.7359,121.8163,0.0012884971,0.0,0.01,0.0
C0UB20,壯圍,2025-02-06,24.7359,121.8163,0.001078696,0.0,0.01,0.0
C0UB20,壯圍,2025-02-07,24.7359,121.8163,0.0012233742,0.0,0.01,0.0
C0UB20,壯圍,2025-02-08,24.7359,121.8163,0.0067175403,1.0,0.01,0.0
C0UB20,壯圍,2025-02-09,24.7359,121.8163,0.007492986,0.0,0.01,0.0
C0UB20,壯圍,2025-02-10,24.7359,121.8163,0.0025488932,0.0,0.01,0.0
C0UB20,壯圍,2025-02-11,24.7359,121.8163,0.0009013532,0.0,0.0,0.0
C0UB20,壯圍,2025-02-12,24.7359,121.8163,0.0007835687,0.0,0.01,0.0
C0UB20,壯圍,2025-02-13,24.7359,121.8163,0.001629361,0.0,0.01,0.0
C0UB20,壯圍,2025-02-14,24.7359,121.8163,0.0017244812,0.0,0.01,0.0
C0UB20,壯圍,2025-02-15,24.7359,121.8163,0.0013211916,0.0,0.01,0.0
C0UB20,壯圍,2025-02-16,24.7359,121.8163,0.0018934197,0.0,0.01,0.0
C0UB20,壯圍,2025-02-17,24.7359,121.8163,0.0009884774,0.0,0.01,0.0
C0UB20,壯圍,2025-02-18,24.7359,121.8163,0.00067645765,1.0,0.01,0.0
C0UB20,壯圍,2025-02-19,24.7359,121.8163,0.0007390984,1.0,0.04,0.0
C0UB20,壯圍,2025-02-20,24.7359,121.8163,0.0011885245,0.0,0.05,0.0
C0UB20,壯圍,2025-02-21,24.7359,121.8163,0.002772277,0.0,0.05,0.0
C0UB20,壯圍,2025-02-22,24.7359,121.8163,0.0062540635,1.0,0.04,0.0
C0UB20,壯圍,2025-02-23,24.7359,121.8163,0.0045834617,1.0,0.03,0.0
C0UB20,壯圍,2025-02-24,24.7359,121.8163,0.0035025931,0.0,0.02,0.0
C0UB20,壯圍,2025-02-25,24.7359,121.8163,0.005679971,0.0,0.02,0.0
C0UB20,壯圍,2025-02-26,24.7359,121.8163,0.0058399886,0.0,0.03,0.0
C0UB20,壯圍,2025-02-27,24.7359,121.8163,0.00467079,0.0,0.04,0.0
C0UB20,壯圍,2025-02-28,24.7359,121.8163,0.0077868626,0.0,0.05,0.0
C0UB20,壯圍,2025-03-01,24.7359,121.8163,0.008984018,0.0,0.04,0.0
C0UB20,壯圍,2025-03-02,24.7359,121.8163,0.013640235,0.0,0.04,0.0
C0UB20,壯圍,2025-03-03,24.7359,121.8163,0.041986465,0.0,0.04,0.0
C0UB20,壯圍,2025-03-04,24.7359,121.8163,0.23771304,,0.08,0.0
C0UB20,壯圍,2025-03-05,24.7359,121.8163,0.6428213,,0.6,0.0
C0UB20,壯圍,2025-03-06,24.7359,121.8163,0.7212919,,0.92,0.0
C0UB20,壯圍,2025-03-07,24.7359,121.8163,0.13730799,,0.95,0.0
C0UB20,壯圍,2025-03-08,24.7359,121.8163,0.038086157,,0.96,0.0
C0UB20,壯圍,2025-03-09,24.7359,121.8163,0.054871906,,0.97,
C0UB20,壯圍,2025-03-10,24.7359,121.8163,0.08333619,,0.91,
C0UB20,壯圍,2025-03-11,24.7359,121.8163,0.08258946,,0.65,
C0UB20,壯圍,2025-03-12,24.7359,121.8163,0.10869811,,0.24,
C0UB20,壯圍,2025-03-13,24.7359,121.8163,0.14609338,,0.43,
C0UB20,壯圍,2025-03-14,24.7359,121.8163,0.17925155,,0.46,
C0UB20,壯圍,2025-03-15,24.7359,121.8163,,,0.6,
