站號,站名,日期,lat,lon,BlastGRU-TW,BlastDT2,BlastLSTLS,BLBTSLS,planthopper
C0V660,岡山,2025-03-03,22.797078,120.294958,0.007869823,0.0,0.47,7.014006e-10,0.0
C0V660,岡山,2025-03-04,22.797078,120.294958,0.02780601,0.0,0.93,6.787791e-10,0.0
C0V660,岡山,2025-03-05,22.797078,120.294958,0.0853886,1.0,0.98,3.0396916e-10,0.0
C0V660,岡山,2025-03-06,22.797078,120.294958,0.2286857,1.0,0.99,3.8418999e-10,0.0
C0V660,岡山,2025-03-07,22.797078,120.294958,0.13159798,0.0,0.99,2.4977223e-10,0.0
C0V660,岡山,2025-03-08,22.797078,120.294958,0.07572629,0.0,0.98,4.920308e-10,0.0
C0V660,岡山,2025-03-09,22.797078,120.294958,0.050915964,0.0,0.99,6.4888755e-10,0.0
C0V660,岡山,2025-03-10,22.797078,120.294958,0.04234117,1.0,1.0,4.509235e-09,0.0
C0V660,岡山,2025-03-11,22.797078,120.294958,0.14778431,1.0,0.99,4.947278e-10,0.0
C0V660,岡山,2025-03-12,22.797078,120.294958,0.31343994,0.0,0.95,7.730137e-10,0.0
C0V660,岡山,2025-03-13,22.797078,120.294958,0.29338256,0.0,0.98,5.483465e-10,0.0
C0V660,岡山,2025-03-14,22.797078,120.294958,0.37943292,0.0,0.92,4.215632e-10,0.0
C0V660,岡山,2025-03-15,22.797078,120.294958,0.62372065,0.0,0.99,3.2452718e-10,0.0
C0V660,岡山,2025-03-16,22.797078,120.294958,0.35984597,0.0,0.99,3.6450287e-10,0.0
C0V660,岡山,2025-03-17,22.797078,120.294958,0.6961212,1.0,0.97,3.2689224e-10,0.0
C0V660,岡山,2025-03-18,22.797078,120.294958,0.75451547,0.0,0.98,9.3007546e-10,0.0
C0V660,岡山,2025-03-19,22.797078,120.294958,0.8136172,0.0,0.9,8.8977835e-08,0.0
C0V660,岡山,2025-03-20,22.797078,120.294958,0.52379876,1.0,0.39,9.352689e-08,0.0
C0V660,岡山,2025-03-21,22.797078,120.294958,0.57851696,1.0,0.38,2.4907445e-09,0.0
C0V660,岡山,2025-03-22,22.797078,120.294958,0.69696313,1.0,0.37,6.848695e-09,0.0
C0V660,岡山,2025-03-23,22.797078,120.294958,0.846635,0.0,0.11,8.1107926e-10,0.0
C0V660,岡山,2025-03-24,22.797078,120.294958,0.9237265,0.0,0.07,1.016817e-09,0.0
C0V660,岡山,2025-03-25,22.797078,120.294958,0.94977254,0.0,0.06,7.3243883e-10,7.4
C0V660,岡山,2025-03-26,22.797078,120.294958,0.96303725,0.0,0.06,5.268872e-10,0.0
C0V660,岡山,2025-03-27,22.797078,120.294958,0.8934056,0.0,0.05,8.1617557e-10,0.0
C0V660,岡山,2025-03-28,22.797078,120.294958,0.831753,0.0,0.02,2.2453255e-09,0.0
C0V660,岡山,2025-03-29,22.797078,120.294958,0.887293,0.0,0.03,4.0216506e-09,0.0
C0V660,岡山,2025-03-30,22.797078,120.294958,0.95534426,0.0,0.08,9.957818e-05,0.0
C0V660,岡山,2025-03-31,22.797078,120.294958,0.97980404,0.0,0.32,0.20531426,0.0
C0V660,岡山,2025-04-01,22.797078,120.294958,0.97760093,0.0,0.7,0.9322804,0.0
C0V660,岡山,2025-04-02,22.797078,120.294958,0.9483267,0.0,0.81,0.9555414,0.0
C0V660,岡山,2025-04-03,22.797078,120.294958,0.8946823,0.0,0.86,0.9915585,0.0
C0V660,岡山,2025-04-04,22.797078,120.294958,0.79568166,0.0,0.91,0.9939139,0.0
C0V660,岡山,2025-04-05,22.797078,120.294958,0.34024486,0.0,0.94,2.6852866e-05,0.0
C0V660,岡山,2025-04-06,22.797078,120.294958,0.09822748,,0.72,8.806909e-07,0.0
C0V660,岡山,2025-04-07,22.797078,120.294958,0.046150092,,0.81,0.48639238,0.0
C0V660,岡山,2025-04-08,22.797078,120.294958,0.2058725,,0.96,0.9980239,0.0
C0V660,岡山,2025-04-09,22.797078,120.294958,0.43971553,,0.86,0.98477817,7.4
C0V660,岡山,2025-04-10,22.797078,120.294958,0.44381362,,0.8,0.9979289,0.0
C0V660,岡山,2025-04-11,22.797078,120.294958,0.46063164,,0.92,0.9998742,
C0V660,岡山,2025-04-12,22.797078,120.294958,0.47718108,,0.98,0.99993616,
C0V660,岡山,2025-04-13,22.797078,120.294958,0.495203,,0.97,0.99978995,
C0V660,岡山,2025-04-14,22.797078,120.294958,0.5682226,,0.95,0.9993677,
C0V660,岡山,2025-04-15,22.797078,120.294958,0.7826098,,0.96,0.9995504,
C0V660,岡山,2025-04-16,22.797078,120.294958,0.854727,,0.97,0.9994974,
C0V660,岡山,2025-04-17,22.797078,120.294958,0.80224216,,0.99,0.9980831,
C0V660,岡山,2025-04-18,22.797078,120.294958,0.7236843,,0.99,0.99222195,
C0V660,岡山,2025-04-19,22.797078,120.294958,0.5710183,,0.98,0.9996396,
C0V660,岡山,2025-04-20,22.797078,120.294958,,,0.99,0.9997261,
