站號,站名,日期,lat,lon,BlastGRU-TW,BlastDT2,BlastLSTLS,BLBTSLS,planthopper
C0W190,望安,2026-04-03,23.380564,119.494075,0.005720833,1.0,0.95,0.9988898,11.0
C0W190,望安,2026-04-04,23.380564,119.494075,0.0015920785,1.0,0.91,0.98959243,7.4
C0W190,望安,2026-04-05,23.380564,119.494075,0.0054246304,1.0,0.94,0.3633072,0.0
C0W190,望安,2026-04-06,23.380564,119.494075,0.028273946,1.0,0.97,0.08908147,3.7
C0W190,望安,2026-04-07,23.380564,119.494075,0.04449001,1.0,0.95,0.64017266,0.0
C0W190,望安,2026-04-08,23.380564,119.494075,0.5762915,1.0,0.97,0.66682357,0.0
C0W190,望安,2026-04-09,23.380564,119.494075,0.858131,1.0,0.98,1.6330776e-07,0.0
C0W190,望安,2026-04-10,23.380564,119.494075,0.97649354,1.0,0.99,4.5482807e-08,0.0
C0W190,望安,2026-04-11,23.380564,119.494075,0.981952,1.0,1.0,7.8063316e-08,0.0
C0W190,望安,2026-04-12,23.380564,119.494075,0.97974306,1.0,1.0,1.9553147e-06,0.0
C0W190,望安,2026-04-13,23.380564,119.494075,0.9178408,1.0,0.99,0.0034416984,0.0
C0W190,望安,2026-04-14,23.380564,119.494075,0.9495602,1.0,0.99,0.00012714168,7.4
C0W190,望安,2026-04-15,23.380564,119.494075,0.99229664,1.0,0.99,1.117515e-06,0.0
C0W190,望安,2026-04-16,23.380564,119.494075,0.9887379,1.0,0.99,3.3519543e-06,11.0
C0W190,望安,2026-04-17,23.380564,119.494075,0.9774153,1.0,1.0,1.00108955e-05,22.0
C0W190,望安,2026-04-18,23.380564,119.494075,0.98034066,1.0,1.0,0.45319867,0.0
C0W190,望安,2026-04-19,23.380564,119.494075,0.98783004,1.0,1.0,0.73666954,0.0
C0W190,望安,2026-04-20,23.380564,119.494075,0.9915346,1.0,1.0,6.684418e-06,0.0
C0W190,望安,2026-04-21,23.380564,119.494075,0.99018776,1.0,1.0,0.000789851,11.0
C0W190,望安,2026-04-22,23.380564,119.494075,0.98082656,1.0,1.0,5.1287185e-05,15.0
C0W190,望安,2026-04-23,23.380564,119.494075,0.96716034,1.0,1.0,5.0426264e-05,19.0
C0W190,望安,2026-04-24,23.380564,119.494075,0.94073033,1.0,1.0,0.0012520924,0.0
C0W190,望安,2026-04-25,23.380564,119.494075,0.95106834,1.0,1.0,0.004892421,0.0
C0W190,望安,2026-04-26,23.380564,119.494075,0.94679195,1.0,0.99,0.9914904,0.0
C0W190,望安,2026-04-27,23.380564,119.494075,0.9638522,1.0,0.99,0.97238415,3.7
C0W190,望安,2026-04-28,23.380564,119.494075,0.9301781,1.0,0.99,0.9610503,11.0
C0W190,望安,2026-04-29,23.380564,119.494075,0.9067559,1.0,0.98,0.9948116,3.7
C0W190,望安,2026-04-30,23.380564,119.494075,0.9108752,1.0,0.99,0.99602914,0.0
C0W190,望安,2026-05-01,23.380564,119.494075,0.906445,1.0,1.0,0.18750183,0.0
C0W190,望安,2026-05-02,23.380564,119.494075,0.9488591,1.0,0.99,0.007928068,22.0
C0W190,望安,2026-05-03,23.380564,119.494075,0.9627462,0.0,0.99,9.5184994e-05,0.0
C0W190,望安,2026-05-04,23.380564,119.494075,0.93994015,1.0,1.0,0.47286594,0.0
C0W190,望安,2026-05-05,23.380564,119.494075,0.79601353,1.0,0.99,0.18923655,0.0
C0W190,望安,2026-05-06,23.380564,119.494075,0.5698322,1.0,0.99,0.012932902,0.0
C0W190,望安,2026-05-07,23.380564,119.494075,0.7670716,,0.99,0.10012334,0.0
C0W190,望安,2026-05-08,23.380564,119.494075,0.66594297,,0.99,0.013401679,0.0
C0W190,望安,2026-05-09,23.380564,119.494075,0.71443707,,1.0,0.047711138,0.0
C0W190,望安,2026-05-10,23.380564,119.494075,0.8558511,,1.0,0.98825055,0.0
C0W190,望安,2026-05-11,23.380564,119.494075,0.8966509,,0.99,0.99116814,0.0
C0W190,望安,2026-05-12,23.380564,119.494075,0.9294251,,0.98,0.99342823,
C0W190,望安,2026-05-13,23.380564,119.494075,0.9246808,,0.98,0.9621097,
C0W190,望安,2026-05-14,23.380564,119.494075,0.83440316,,0.98,0.98256254,
C0W190,望安,2026-05-15,23.380564,119.494075,0.71672976,,0.98,0.81306064,
C0W190,望安,2026-05-16,23.380564,119.494075,0.7629127,,0.97,0.86399025,
C0W190,望安,2026-05-17,23.380564,119.494075,0.8111812,,0.98,0.6728498,
C0W190,望安,2026-05-18,23.380564,119.494075,0.8903693,,0.98,0.69935745,
C0W190,望安,2026-05-19,23.380564,119.494075,0.9251657,,0.96,0.49826717,
C0W190,望安,2026-05-20,23.380564,119.494075,0.9455489,,0.97,0.27417076,
C0W190,望安,2026-05-21,23.380564,119.494075,,,0.98,0.5441262,
