站號,站名,日期,lat,lon,BlastGRU-TW,BlastDT2,BlastLSTLS,BLBTSLS,planthopper
C0X050,東河,2025-04-19,23.296598,120.385608,0.84583265,0.0,0.17,0.99491525,0.0
C0X050,東河,2025-04-20,23.296598,120.385608,0.8164397,1.0,0.1,0.9892028,0.0
C0X050,東河,2025-04-21,23.296598,120.385608,0.9244421,0.0,0.07,0.9857094,7.4
C0X050,東河,2025-04-22,23.296598,120.385608,0.974457,0.0,0.15,0.28348634,30.0
C0X050,東河,2025-04-23,23.296598,120.385608,0.9771789,0.0,0.29,0.07088575,3.7
C0X050,東河,2025-04-24,23.296598,120.385608,0.96325547,0.0,0.55,0.13354506,3.7
C0X050,東河,2025-04-25,23.296598,120.385608,0.9592145,0.0,0.54,0.9613656,0.0
C0X050,東河,2025-04-26,23.296598,120.385608,0.94933295,1.0,0.74,0.9950371,3.7
C0X050,東河,2025-04-27,23.296598,120.385608,0.9366173,1.0,0.83,0.9969605,7.4
C0X050,東河,2025-04-28,23.296598,120.385608,0.8921489,0.0,0.91,0.9984039,0.0
C0X050,東河,2025-04-29,23.296598,120.385608,0.77148384,0.0,0.92,0.99674296,0.0
C0X050,東河,2025-04-30,23.296598,120.385608,0.68811804,0.0,0.85,0.99753886,0.0
C0X050,東河,2025-05-01,23.296598,120.385608,0.8711345,0.0,0.89,0.99882007,0.0
C0X050,東河,2025-05-02,23.296598,120.385608,0.7265856,0.0,0.87,0.99792737,0.0
C0X050,東河,2025-05-03,23.296598,120.385608,0.7230994,1.0,0.93,0.9833514,0.0
C0X050,東河,2025-05-04,23.296598,120.385608,0.7225184,0.0,0.92,0.4405594,0.0
C0X050,東河,2025-05-05,23.296598,120.385608,0.71437067,1.0,0.91,0.3285231,7.4
C0X050,東河,2025-05-06,23.296598,120.385608,0.61087084,0.0,0.86,0.97180086,0.0
C0X050,東河,2025-05-07,23.296598,120.385608,0.89745855,0.0,0.93,0.991994,0.0
C0X050,東河,2025-05-08,23.296598,120.385608,0.7726962,0.0,0.82,0.9995989,3.7
C0X050,東河,2025-05-09,23.296598,120.385608,0.847495,0.0,0.99,0.9931359,7.4
C0X050,東河,2025-05-10,23.296598,120.385608,0.605168,0.0,0.96,0.99692935,0.0
C0X050,東河,2025-05-11,23.296598,120.385608,0.22591418,0.0,0.96,0.9937597,0.0
C0X050,東河,2025-05-12,23.296598,120.385608,0.3567734,0.0,0.94,0.9750534,0.0
C0X050,東河,2025-05-13,23.296598,120.385608,0.99597806,0.0,0.86,0.9391698,0.0
C0X050,東河,2025-05-14,23.296598,120.385608,0.9961361,1.0,0.88,0.86243683,0.0
C0X050,東河,2025-05-15,23.296598,120.385608,0.9976875,0.0,0.95,0.0070712473,0.0
C0X050,東河,2025-05-16,23.296598,120.385608,0.90091395,0.0,0.94,4.7619272e-07,0.0
C0X050,東河,2025-05-17,23.296598,120.385608,0.10743649,1.0,0.96,4.5081364e-08,3.7
C0X050,東河,2025-05-18,23.296598,120.385608,0.041321274,1.0,0.98,5.7535225e-09,11.0
C0X050,東河,2025-05-19,23.296598,120.385608,0.07783005,1.0,0.98,2.8612845e-09,0.0
C0X050,東河,2025-05-20,23.296598,120.385608,0.60151446,0.0,0.94,2.398096e-09,0.0
C0X050,東河,2025-05-21,23.296598,120.385608,0.361435,0.0,0.95,1.1722353e-08,0.0
C0X050,東河,2025-05-22,23.296598,120.385608,0.5393638,0.0,0.81,4.2629034e-09,3.7
C0X050,東河,2025-05-23,23.296598,120.385608,0.8647997,,0.83,0.0332317,0.0
C0X050,東河,2025-05-24,23.296598,120.385608,0.961502,,0.78,0.70376647,0.0
C0X050,東河,2025-05-25,23.296598,120.385608,0.98109066,,0.86,0.7755735,0.0
C0X050,東河,2025-05-26,23.296598,120.385608,0.9857284,,0.93,0.6332868,0.0
C0X050,東河,2025-05-27,23.296598,120.385608,0.9926712,,0.94,0.93087196,0.0
C0X050,東河,2025-05-28,23.296598,120.385608,0.9982309,,0.94,0.9413202,
C0X050,東河,2025-05-29,23.296598,120.385608,0.9992649,,0.9,0.85672164,
C0X050,東河,2025-05-30,23.296598,120.385608,0.9986866,,0.83,0.60797554,
C0X050,東河,2025-05-31,23.296598,120.385608,0.9996857,,0.8,0.5619474,
C0X050,東河,2025-06-01,23.296598,120.385608,0.9998315,,0.73,0.74131554,
C0X050,東河,2025-06-02,23.296598,120.385608,0.9997,,0.73,0.49268433,
C0X050,東河,2025-06-03,23.296598,120.385608,0.7375559,,0.65,0.70219505,
C0X050,東河,2025-06-04,23.296598,120.385608,0.12128123,,0.32,0.59121674,
C0X050,東河,2025-06-05,23.296598,120.385608,0.075755365,,0.35,0.36589506,
C0X050,東河,2025-06-06,23.296598,120.385608,,,0.34,0.32240573,
