站號,站名,日期,lat,lon,BlastGRU-TW,BlastDT2,BlastLSTLS,planthopper
C0X200,左鎮,2025-01-19,23.056758,120.408522,0.004140992,0.0,0.01,0.0
C0X200,左鎮,2025-01-20,23.056758,120.408522,0.00615497,0.0,0.01,0.0
C0X200,左鎮,2025-01-21,23.056758,120.408522,0.0091409525,1.0,0.01,0.0
C0X200,左鎮,2025-01-22,23.056758,120.408522,0.007096872,0.0,0.01,0.0
C0X200,左鎮,2025-01-23,23.056758,120.408522,0.00748346,0.0,0.01,0.0
C0X200,左鎮,2025-01-24,23.056758,120.408522,0.0043797554,1.0,0.01,0.0
C0X200,左鎮,2025-01-25,23.056758,120.408522,0.002355073,0.0,0.01,0.0
C0X200,左鎮,2025-01-26,23.056758,120.408522,0.0020659696,1.0,0.02,0.0
C0X200,左鎮,2025-01-27,23.056758,120.408522,0.002170737,1.0,0.02,0.0
C0X200,左鎮,2025-01-28,23.056758,120.408522,0.0019488605,1.0,0.02,0.0
C0X200,左鎮,2025-01-29,23.056758,120.408522,0.0037350531,1.0,0.04,0.0
C0X200,左鎮,2025-01-30,23.056758,120.408522,0.005577788,1.0,0.03,0.0
C0X200,左鎮,2025-01-31,23.056758,120.408522,0.004380155,1.0,0.04,0.0
C0X200,左鎮,2025-02-01,23.056758,120.408522,0.0032710016,1.0,0.05,0.0
C0X200,左鎮,2025-02-02,23.056758,120.408522,0.0045460276,1.0,0.06,0.0
C0X200,左鎮,2025-02-03,23.056758,120.408522,0.0059760027,0.0,0.07,0.0
C0X200,左鎮,2025-02-04,23.056758,120.408522,0.008366674,0.0,0.09,0.0
C0X200,左鎮,2025-02-05,23.056758,120.408522,0.011499338,0.0,0.08,0.0
C0X200,左鎮,2025-02-06,23.056758,120.408522,0.026328802,1.0,0.1,0.0
C0X200,左鎮,2025-02-07,23.056758,120.408522,0.03315079,1.0,0.08,0.0
C0X200,左鎮,2025-02-08,23.056758,120.408522,0.04514371,1.0,0.06,0.0
C0X200,左鎮,2025-02-09,23.056758,120.408522,0.035145503,1.0,0.05,0.0
C0X200,左鎮,2025-02-10,23.056758,120.408522,0.01645881,0.0,0.04,0.0
C0X200,左鎮,2025-02-11,23.056758,120.408522,0.0063867355,0.0,0.04,0.0
C0X200,左鎮,2025-02-12,23.056758,120.408522,0.007540943,0.0,0.05,0.0
C0X200,左鎮,2025-02-13,23.056758,120.408522,0.008334475,0.0,0.06,0.0
C0X200,左鎮,2025-02-14,23.056758,120.408522,0.007645125,1.0,0.08,0.0
C0X200,左鎮,2025-02-15,23.056758,120.408522,0.006877681,0.0,0.08,0.0
C0X200,左鎮,2025-02-16,23.056758,120.408522,0.0009967505,0.0,0.1,0.0
C0X200,左鎮,2025-02-17,23.056758,120.408522,0.000529846,1.0,0.13,0.0
C0X200,左鎮,2025-02-18,23.056758,120.408522,0.00037271922,1.0,0.18,0.0
C0X200,左鎮,2025-02-19,23.056758,120.408522,0.0008184619,,0.25,0.0
C0X200,左鎮,2025-02-20,23.056758,120.408522,0.006387979,,0.08,0.0
C0X200,左鎮,2025-02-21,23.056758,120.408522,0.009537082,,0.05,0.0
C0X200,左鎮,2025-02-22,23.056758,120.408522,0.010591985,,0.04,0.0
C0X200,左鎮,2025-02-23,23.056758,120.408522,0.013466089,,0.07,0.0
C0X200,左鎮,2025-02-24,23.056758,120.408522,0.010569337,,0.06,0.0
C0X200,左鎮,2025-02-25,23.056758,120.408522,0.007069634,,0.03,
C0X200,左鎮,2025-02-26,23.056758,120.408522,0.0045303754,,0.04,
C0X200,左鎮,2025-02-27,23.056758,120.408522,0.0035005815,,0.04,
C0X200,左鎮,2025-02-28,23.056758,120.408522,0.0040501524,,0.06,
C0X200,左鎮,2025-03-01,23.056758,120.408522,0.003587492,,0.02,
C0X200,左鎮,2025-03-02,23.056758,120.408522,0.003046976,,0.02,
C0X200,左鎮,2025-03-03,23.056758,120.408522,0.0064571393,,0.03,
C0X200,左鎮,2025-03-04,23.056758,120.408522,0.019281112,,0.04,
C0X200,左鎮,2025-03-05,23.056758,120.408522,0.042245764,,0.18,
C0X200,左鎮,2025-03-06,23.056758,120.408522,,,0.6,
