站號,站名,日期,lat,lon,BlastGRU-TW,BlastDT2,BlastLSTLS,BLBTSLS,planthopper
C1AI60,國一39K邊坡,2026-06-25,25.064361,121.383836,0.3786251,,0.75,2.1827943e-06,3.7
C1AI60,國一39K邊坡,2026-06-26,25.064361,121.383836,0.4141039,,0.85,0.015257896,3.7
C1AI60,國一39K邊坡,2026-06-27,25.064361,121.383836,0.523741,,0.81,0.9648716,15.0
C1AI60,國一39K邊坡,2026-06-28,25.064361,121.383836,0.99369454,,0.59,0.9953617,3.7
C1AI60,國一39K邊坡,2026-06-29,25.064361,121.383836,0.999447,,0.79,0.99824244,0.0
C1AI60,國一39K邊坡,2026-06-30,25.064361,121.383836,0.9993372,,0.92,4.333298e-06,0.0
C1AI60,國一39K邊坡,2026-07-01,25.064361,121.383836,0.6639058,,0.81,1.2275361e-05,0.0
C1AI60,國一39K邊坡,2026-07-02,25.064361,121.383836,0.040515255,,0.49,0.019270048,0.0
C1AI60,國一39K邊坡,2026-07-03,25.064361,121.383836,0.025203813,,0.44,0.03307636,0.0
C1AI60,國一39K邊坡,2026-07-04,25.064361,121.383836,0.029287595,,0.43,0.0066557876,3.7
C1AI60,國一39K邊坡,2026-07-05,25.064361,121.383836,0.047927916,,0.33,0.00041995867,0.0
C1AI60,國一39K邊坡,2026-07-06,25.064361,121.383836,0.08105926,,0.32,0.00400165,0.0
C1AI60,國一39K邊坡,2026-07-07,25.064361,121.383836,0.06983285,,0.5,0.003988308,0.0
C1AI60,國一39K邊坡,2026-07-08,25.064361,121.383836,0.07726676,,0.58,0.00015829579,0.0
C1AI60,國一39K邊坡,2026-07-09,25.064361,121.383836,0.10367657,,0.79,0.9932052,3.7
C1AI60,國一39K邊坡,2026-07-10,25.064361,121.383836,0.12432068,,0.78,0.97536635,22.0
C1AI60,國一39K邊坡,2026-07-11,25.064361,121.383836,0.12159974,,0.73,0.90109056,15.0
C1AI60,國一39K邊坡,2026-07-12,25.064361,121.383836,0.116288304,,0.81,0.96906775,30.0
C1AI60,國一39K邊坡,2026-07-13,25.064361,121.383836,0.5469166,,0.81,0.9871982,26.0
C1AI60,國一39K邊坡,2026-07-14,25.064361,121.383836,0.9998548,,0.85,0.9828291,0.0
C1AI60,國一39K邊坡,2026-07-15,25.064361,121.383836,0.9998409,,0.87,0.9559359,0.0
C1AI60,國一39K邊坡,2026-07-16,25.064361,121.383836,0.99969363,,0.68,0.0028314618,0.0
C1AI60,國一39K邊坡,2026-07-17,25.064361,121.383836,0.3591402,,0.14,0.0030148923,0.0
C1AI60,國一39K邊坡,2026-07-18,25.064361,121.383836,0.034199394,,0.09,0.0065224525,0.0
C1AI60,國一39K邊坡,2026-07-19,25.064361,121.383836,0.011002021,,0.11,0.0038504624,0.0
C1AI60,國一39K邊坡,2026-07-20,25.064361,121.383836,0.007868994,,0.32,0.001798376,0.0
C1AI60,國一39K邊坡,2026-07-21,25.064361,121.383836,0.0072148344,,0.36,0.0015756299,0.0
C1AI60,國一39K邊坡,2026-07-22,25.064361,121.383836,0.00841726,,0.35,0.0010372985,0.0
C1AI60,國一39K邊坡,2026-07-23,25.064361,121.383836,0.012198362,,0.26,0.04109202,0.0
C1AI60,國一39K邊坡,2026-07-24,25.064361,121.383836,0.022216486,,0.43,0.47029293,0.0
C1AI60,國一39K邊坡,2026-07-25,25.064361,121.383836,0.052912734,,0.46,0.88957393,0.0
C1AI60,國一39K邊坡,2026-07-26,25.064361,121.383836,0.10442211,,0.25,0.86764824,0.0
C1AI60,國一39K邊坡,2026-07-27,25.064361,121.383836,0.18922633,,0.26,0.9464206,0.0
C1AI60,國一39K邊坡,2026-07-28,25.064361,121.383836,0.22072394,,0.24,0.76254416,0.0
C1AI60,國一39K邊坡,2026-07-29,25.064361,121.383836,0.3284423,,0.21,0.76480156,0.0
C1AI60,國一39K邊坡,2026-07-30,25.064361,121.383836,0.6018507,,0.15,0.6315659,0.0
C1AI60,國一39K邊坡,2026-07-31,25.064361,121.383836,0.8178508,,0.13,0.69304156,0.0
C1AI60,國一39K邊坡,2026-08-01,25.064361,121.383836,0.87430716,,0.08,0.79822135,0.0
C1AI60,國一39K邊坡,2026-08-02,25.064361,121.383836,0.5871299,,0.08,0.5135553,0.0
C1AI60,國一39K邊坡,2026-08-03,25.064361,121.383836,0.06947117,,0.11,0.54742444,
C1AI60,國一39K邊坡,2026-08-04,25.064361,121.383836,0.0901377,,0.66,0.43721017,
C1AI60,國一39K邊坡,2026-08-05,25.064361,121.383836,0.08643969,,0.67,0.75222,
C1AI60,國一39K邊坡,2026-08-06,25.064361,121.383836,0.09340579,,0.49,0.99032927,
C1AI60,國一39K邊坡,2026-08-07,25.064361,121.383836,0.09445911,,0.55,0.97834617,
C1AI60,國一39K邊坡,2026-08-08,25.064361,121.383836,0.09742637,,0.63,0.97108734,
C1AI60,國一39K邊坡,2026-08-09,25.064361,121.383836,0.13903739,,0.65,0.9883305,
C1AI60,國一39K邊坡,2026-08-10,25.064361,121.383836,0.25717524,,0.68,0.98881525,
C1AI60,國一39K邊坡,2026-08-11,25.064361,121.383836,0.47931018,,0.75,0.98718375,
C1AI60,國一39K邊坡,2026-08-12,25.064361,121.383836,,,0.72,0.95511836,
