站號,站名,日期,lat,lon,BlastGRU-TW,BlastDT2,BlastLSTLS,planthopper
C1E691,南湖,2025-01-31,24.40135,120.837533,0.0006021751,,0.03,0.0
C1E691,南湖,2025-02-01,24.40135,120.837533,0.0007772253,,0.03,0.0
C1E691,南湖,2025-02-02,24.40135,120.837533,0.0008189564,,0.03,0.0
C1E691,南湖,2025-02-03,24.40135,120.837533,0.0006392895,,0.02,0.0
C1E691,南湖,2025-02-04,24.40135,120.837533,0.0005368174,,0.04,0.0
C1E691,南湖,2025-02-05,24.40135,120.837533,0.00088045234,,0.04,0.0
C1E691,南湖,2025-02-06,24.40135,120.837533,0.000874282,,0.02,0.0
C1E691,南湖,2025-02-07,24.40135,120.837533,0.00070232194,,0.02,0.0
C1E691,南湖,2025-02-08,24.40135,120.837533,0.00075380097,,0.03,0.0
C1E691,南湖,2025-02-09,24.40135,120.837533,0.0011311884,,0.03,0.0
C1E691,南湖,2025-02-10,24.40135,120.837533,0.0006710287,,0.03,0.0
C1E691,南湖,2025-02-11,24.40135,120.837533,0.00030053296,,0.03,0.0
C1E691,南湖,2025-02-12,24.40135,120.837533,0.0003280847,,0.04,0.0
C1E691,南湖,2025-02-13,24.40135,120.837533,0.0004740802,,0.04,0.0
C1E691,南湖,2025-02-14,24.40135,120.837533,0.000496298,,0.04,0.0
C1E691,南湖,2025-02-15,24.40135,120.837533,0.00029115626,,0.04,0.0
C1E691,南湖,2025-02-16,24.40135,120.837533,0.0002544151,,0.05,0.0
C1E691,南湖,2025-02-17,24.40135,120.837533,0.00026203014,,0.03,0.0
C1E691,南湖,2025-02-18,24.40135,120.837533,0.0003651372,,0.02,0.0
C1E691,南湖,2025-02-19,24.40135,120.837533,0.00035217058,,0.03,0.0
C1E691,南湖,2025-02-20,24.40135,120.837533,0.0007225729,,0.04,0.0
C1E691,南湖,2025-02-21,24.40135,120.837533,0.0010367087,,0.05,0.0
C1E691,南湖,2025-02-22,24.40135,120.837533,0.0018646431,,0.03,0.0
C1E691,南湖,2025-02-23,24.40135,120.837533,0.0019910368,,0.02,0.0
C1E691,南湖,2025-02-24,24.40135,120.837533,0.0012725113,,0.02,0.0
C1E691,南湖,2025-02-25,24.40135,120.837533,0.001800848,,0.01,0.0
C1E691,南湖,2025-02-26,24.40135,120.837533,0.00092352816,,0.01,0.0
C1E691,南湖,2025-02-27,24.40135,120.837533,0.0008360051,,0.01,0.0
C1E691,南湖,2025-02-28,24.40135,120.837533,0.0006793367,,0.01,0.0
C1E691,南湖,2025-03-01,24.40135,120.837533,0.0005572453,,0.01,0.0
C1E691,南湖,2025-03-02,24.40135,120.837533,0.00052814576,,0.01,0.0
C1E691,南湖,2025-03-03,24.40135,120.837533,0.0010451161,,0.01,0.0
C1E691,南湖,2025-03-04,24.40135,120.837533,0.003363793,,0.02,0.0
C1E691,南湖,2025-03-05,24.40135,120.837533,0.010057993,,0.05,0.0
C1E691,南湖,2025-03-06,24.40135,120.837533,0.018936675,,0.04,0.0
C1E691,南湖,2025-03-07,24.40135,120.837533,0.0017113262,,0.03,0.0
C1E691,南湖,2025-03-08,24.40135,120.837533,0.00034420827,,0.02,0.0
C1E691,南湖,2025-03-09,24.40135,120.837533,0.000476701,,0.01,0.0
C1E691,南湖,2025-03-10,24.40135,120.837533,0.00088238344,,0.01,0.0
C1E691,南湖,2025-03-11,24.40135,120.837533,0.0012438121,,0.01,
C1E691,南湖,2025-03-12,24.40135,120.837533,0.0017836501,,0.02,
C1E691,南湖,2025-03-13,24.40135,120.837533,0.0020675461,,0.02,
C1E691,南湖,2025-03-14,24.40135,120.837533,0.0030960406,,0.03,
C1E691,南湖,2025-03-15,24.40135,120.837533,,,0.03,
