站號,站名,日期,lat,lon,BlastGRU-TW,BlastDT2,BlastLSTLS,BLBTSLS,planthopper
C1E770,公館,2026-07-19,24.526914,120.830806,0.08276211,,0.24,0.0038317554,0.0
C1E770,公館,2026-07-20,24.526914,120.830806,0.011099716,,0.19,0.000508791,0.0
C1E770,公館,2026-07-21,24.526914,120.830806,0.010107285,,0.56,0.0020418793,0.0
C1E770,公館,2026-07-22,24.526914,120.830806,0.033217862,,0.56,0.7080136,0.0
C1E770,公館,2026-07-23,24.526914,120.830806,0.3562157,,0.65,0.997918,0.0
C1E770,公館,2026-07-24,24.526914,120.830806,0.8973561,,0.63,0.9972529,0.0
C1E770,公館,2026-07-25,24.526914,120.830806,0.9645114,,0.65,0.995612,3.7
C1E770,公館,2026-07-26,24.526914,120.830806,0.9819647,,0.61,0.993999,11.0
C1E770,公館,2026-07-27,24.526914,120.830806,0.9802051,,0.58,0.97415656,0.0
C1E770,公館,2026-07-28,24.526914,120.830806,0.98139054,,0.5,0.9185248,0.0
C1E770,公館,2026-07-29,24.526914,120.830806,0.99095595,,0.37,0.21619014,0.0
C1E770,公館,2026-07-30,24.526914,120.830806,0.99641454,,0.22,0.040664632,0.0
C1E770,公館,2026-07-31,24.526914,120.830806,0.9972155,,0.15,0.026259167,0.0
C1E770,公館,2026-08-01,24.526914,120.830806,0.9957004,,0.08,0.0010675708,0.0
C1E770,公館,2026-08-02,24.526914,120.830806,0.97288674,,0.09,4.0196144e-05,0.0
C1E770,公館,2026-08-03,24.526914,120.830806,0.37455642,,0.16,0.00016699605,0.0
C1E770,公館,2026-08-04,24.526914,120.830806,0.47851926,,0.31,0.0001519949,0.0
C1E770,公館,2026-08-05,24.526914,120.830806,0.63227284,,0.18,0.0002704575,0.0
C1E770,公館,2026-08-06,24.526914,120.830806,0.68292457,,0.23,0.017010279,7.4
C1E770,公館,2026-08-07,24.526914,120.830806,0.6909633,,0.53,0.010576898,22.0
C1E770,公館,2026-08-08,24.526914,120.830806,0.61836433,,0.64,0.64566547,30.0
C1E770,公館,2026-08-09,24.526914,120.830806,0.5860185,,0.74,0.43333122,15.0
C1E770,公館,2026-08-10,24.526914,120.830806,0.44791034,,0.85,0.1891139,3.7
C1E770,公館,2026-08-11,24.526914,120.830806,0.37720382,,0.83,0.25941652,11.0
C1E770,公館,2026-08-12,24.526914,120.830806,0.9980742,,0.9,0.18643461,0.0
C1E770,公館,2026-08-13,24.526914,120.830806,0.6542644,,0.91,0.13576749,0.0
C1E770,公館,2026-08-14,24.526914,120.830806,0.1606314,,0.71,0.24055254,0.0
C1E770,公館,2026-08-15,24.526914,120.830806,0.094937414,,0.75,0.81605816,0.0
C1E770,公館,2026-08-16,24.526914,120.830806,0.09059831,,0.81,0.8901338,0.0
C1E770,公館,2026-08-17,24.526914,120.830806,0.25097212,,0.79,0.9789694,0.0
C1E770,公館,2026-08-18,24.526914,120.830806,0.8095077,,0.77,0.98970056,0.0
C1E770,公館,2026-08-19,24.526914,120.830806,0.5985841,,0.71,0.9616214,11.0
C1E770,公館,2026-08-20,24.526914,120.830806,0.48828498,,0.47,0.9640089,0.0
C1E770,公館,2026-08-21,24.526914,120.830806,0.23207106,,0.31,0.6055503,0.0
C1E770,公館,2026-08-22,24.526914,120.830806,0.13065925,,0.11,0.07022555,3.7
C1E770,公館,2026-08-23,24.526914,120.830806,0.10255712,,0.07,0.031762414,0.0
C1E770,公館,2026-08-24,24.526914,120.830806,0.094161026,,0.07,0.07987886,0.0
C1E770,公館,2026-08-25,24.526914,120.830806,0.13760284,,0.06,0.016521716,0.0
C1E770,公館,2026-08-26,24.526914,120.830806,0.18690541,,0.07,0.098787315,0.0
C1E770,公館,2026-08-27,24.526914,120.830806,0.21499954,,0.06,0.92812026,
C1E770,公館,2026-08-28,24.526914,120.830806,0.33002648,,0.06,0.9979328,
C1E770,公館,2026-08-29,24.526914,120.830806,0.69145083,,0.06,0.99885863,
C1E770,公館,2026-08-30,24.526914,120.830806,0.89686483,,0.06,0.9998293,
C1E770,公館,2026-08-31,24.526914,120.830806,0.81473356,,0.17,0.99996126,
C1E770,公館,2026-09-01,24.526914,120.830806,0.42011443,,0.66,0.9998832,
C1E770,公館,2026-09-02,24.526914,120.830806,0.47138682,,0.41,0.9943683,
C1E770,公館,2026-09-03,24.526914,120.830806,0.52887505,,0.34,0.048296694,
C1E770,公館,2026-09-04,24.526914,120.830806,0.6017844,,0.36,0.024153031,
C1E770,公館,2026-09-05,24.526914,120.830806,,,0.33,0.020136554,
