站號,站名,日期,lat,lon,BlastGRU-TW,BlastDT2,BlastLSTLS,BLBTSLS,planthopper
C1F9B1,桐林,2026-01-21,24.066172,120.735194,0.0007562487,,0.09,0.0009880245,0.0
C1F9B1,桐林,2026-01-22,24.066172,120.735194,0.00113272,,0.18,0.0007161266,0.0
C1F9B1,桐林,2026-01-23,24.066172,120.735194,0.0026977884,,0.22,8.511195e-05,0.0
C1F9B1,桐林,2026-01-24,24.066172,120.735194,0.006867676,,0.18,2.0121786e-05,0.0
C1F9B1,桐林,2026-01-25,24.066172,120.735194,0.0070732995,,0.12,1.3698138e-06,0.0
C1F9B1,桐林,2026-01-26,24.066172,120.735194,0.00716499,,0.08,2.8188285e-08,0.0
C1F9B1,桐林,2026-01-27,24.066172,120.735194,0.0035833234,,0.11,3.1830807e-09,0.0
C1F9B1,桐林,2026-01-28,24.066172,120.735194,0.0016506857,,0.17,1.8776936e-09,0.0
C1F9B1,桐林,2026-01-29,24.066172,120.735194,0.0009974213,,0.22,1.1842375e-09,0.0
C1F9B1,桐林,2026-01-30,24.066172,120.735194,0.0011162615,,0.22,6.586812e-10,0.0
C1F9B1,桐林,2026-01-31,24.066172,120.735194,0.0010029032,,0.25,6.868825e-10,0.0
C1F9B1,桐林,2026-02-01,24.066172,120.735194,0.001459,,0.17,3.963114e-10,0.0
C1F9B1,桐林,2026-02-02,24.066172,120.735194,0.0021887005,,0.09,3.596082e-10,0.0
C1F9B1,桐林,2026-02-03,24.066172,120.735194,0.0061479937,,0.11,5.8794214e-10,0.0
C1F9B1,桐林,2026-02-04,24.066172,120.735194,0.00861484,,0.07,9.750771e-10,0.0
C1F9B1,桐林,2026-02-05,24.066172,120.735194,0.007783317,,0.07,6.5172673e-10,0.0
C1F9B1,桐林,2026-02-06,24.066172,120.735194,0.013157275,,0.03,5.3645893e-10,0.0
C1F9B1,桐林,2026-02-07,24.066172,120.735194,0.029648526,,0.03,5.503089e-10,0.0
C1F9B1,桐林,2026-02-08,24.066172,120.735194,0.041532174,,0.03,4.7918575e-10,0.0
C1F9B1,桐林,2026-02-09,24.066172,120.735194,0.02880217,,0.02,3.0423944e-10,0.0
C1F9B1,桐林,2026-02-10,24.066172,120.735194,0.015562973,,0.02,2.9541042e-10,0.0
C1F9B1,桐林,2026-02-11,24.066172,120.735194,0.0062367003,,0.02,3.2834632e-10,0.0
C1F9B1,桐林,2026-02-12,24.066172,120.735194,0.0040767575,,0.02,3.4726352e-10,0.0
C1F9B1,桐林,2026-02-13,24.066172,120.735194,0.0068557276,,0.02,4.7695264e-10,0.0
C1F9B1,桐林,2026-02-14,24.066172,120.735194,0.013110069,,0.02,5.008002e-10,0.0
C1F9B1,桐林,2026-02-15,24.066172,120.735194,0.033815257,,0.02,4.3784415e-10,0.0
C1F9B1,桐林,2026-02-16,24.066172,120.735194,0.0627101,,0.01,3.6691913e-10,0.0
C1F9B1,桐林,2026-02-17,24.066172,120.735194,0.14418466,,0.01,3.885608e-10,0.0
C1F9B1,桐林,2026-02-18,24.066172,120.735194,0.13892059,,0.01,5.1166427e-10,0.0
C1F9B1,桐林,2026-02-19,24.066172,120.735194,0.12785825,,0.01,9.43845e-10,0.0
C1F9B1,桐林,2026-02-20,24.066172,120.735194,0.06723407,,0.01,1.1062065e-08,0.0
C1F9B1,桐林,2026-02-21,24.066172,120.735194,0.04433357,,0.01,1.3883879e-07,0.0
C1F9B1,桐林,2026-02-22,24.066172,120.735194,0.21803997,,0.03,4.393745e-09,0.0
C1F9B1,桐林,2026-02-23,24.066172,120.735194,0.35873407,,0.01,3.2088783e-09,0.0
C1F9B1,桐林,2026-02-24,24.066172,120.735194,0.33183002,,0.02,1.1748362e-08,0.0
C1F9B1,桐林,2026-02-25,24.066172,120.735194,0.20001552,,0.02,2.238395e-08,0.0
C1F9B1,桐林,2026-02-26,24.066172,120.735194,0.13836706,,0.03,4.033634e-05,0.0
C1F9B1,桐林,2026-02-27,24.066172,120.735194,0.1174906,,0.04,0.006232576,0.0
C1F9B1,桐林,2026-02-28,24.066172,120.735194,0.08053592,,0.07,0.009691634,0.0
C1F9B1,桐林,2026-03-01,24.066172,120.735194,0.060584664,,0.39,0.20887853,
C1F9B1,桐林,2026-03-02,24.066172,120.735194,0.035640437,,0.56,0.95045507,
C1F9B1,桐林,2026-03-03,24.066172,120.735194,0.025323631,,0.69,0.9955162,
C1F9B1,桐林,2026-03-04,24.066172,120.735194,0.05650344,,0.6,0.9985047,
C1F9B1,桐林,2026-03-05,24.066172,120.735194,0.051913016,,0.68,0.9966944,
C1F9B1,桐林,2026-03-06,24.066172,120.735194,0.056595825,,0.93,0.997315,
C1F9B1,桐林,2026-03-07,24.066172,120.735194,0.072674885,,0.96,0.9773991,
C1F9B1,桐林,2026-03-08,24.066172,120.735194,0.24211843,,0.9,0.87071925,
C1F9B1,桐林,2026-03-09,24.066172,120.735194,0.16597867,,0.76,0.00524784,
C1F9B1,桐林,2026-03-10,24.066172,120.735194,,,0.87,3.0270814e-06,
