站號,站名,日期,lat,lon,BlastGRU-TW,BlastDT2,BlastLSTLS,BLBTSLS,planthopper
C1G9D0,國一S218K,2025-06-25,23.890641,120.493253,0.18148416,,0.04,0.025077887,0.0
C1G9D0,國一S218K,2025-06-26,23.890641,120.493253,0.12108238,,0.04,0.008403528,0.0
C1G9D0,國一S218K,2025-06-27,23.890641,120.493253,0.14617622,,0.04,0.028065741,0.0
C1G9D0,國一S218K,2025-06-28,23.890641,120.493253,0.120036386,,0.05,0.2827855,0.0
C1G9D0,國一S218K,2025-06-29,23.890641,120.493253,0.10504651,,0.07,0.94923365,0.0
C1G9D0,國一S218K,2025-06-30,23.890641,120.493253,0.122679345,,0.11,0.9338596,0.0
C1G9D0,國一S218K,2025-07-01,23.890641,120.493253,0.116122484,,0.08,0.9131815,0.0
C1G9D0,國一S218K,2025-07-02,23.890641,120.493253,0.18574263,,0.09,0.9179044,0.0
C1G9D0,國一S218K,2025-07-03,23.890641,120.493253,0.3200243,,0.12,0.815891,7.4
C1G9D0,國一S218K,2025-07-04,23.890641,120.493253,0.5708686,,0.15,0.75766546,7.4
C1G9D0,國一S218K,2025-07-05,23.890641,120.493253,0.48562133,,0.15,0.49246654,19.0
C1G9D0,國一S218K,2025-07-06,23.890641,120.493253,0.17561391,,0.15,0.48304912,11.0
C1G9D0,國一S218K,2025-07-07,23.890641,120.493253,0.22534005,,0.19,0.7793212,7.4
C1G9D0,國一S218K,2025-07-08,23.890641,120.493253,0.2057481,,0.14,0.9165494,3.7
C1G9D0,國一S218K,2025-07-09,23.890641,120.493253,0.6767209,,0.11,0.8577054,0.0
C1G9D0,國一S218K,2025-07-10,23.890641,120.493253,0.9987447,,0.12,0.58333254,15.0
C1G9D0,國一S218K,2025-07-11,23.890641,120.493253,0.63281214,,0.17,0.0011237127,0.0
C1G9D0,國一S218K,2025-07-12,23.890641,120.493253,0.09183663,,0.22,0.0006028636,3.7
C1G9D0,國一S218K,2025-07-13,23.890641,120.493253,0.21328056,,0.27,0.000116908974,3.7
C1G9D0,國一S218K,2025-07-14,23.890641,120.493253,0.031079743,,0.62,0.27492175,0.0
C1G9D0,國一S218K,2025-07-15,23.890641,120.493253,0.015397319,,0.78,0.013278285,0.0
C1G9D0,國一S218K,2025-07-16,23.890641,120.493253,0.0111797275,,0.88,1.1865112e-06,7.4
C1G9D0,國一S218K,2025-07-17,23.890641,120.493253,0.0096724,,0.91,1.033185e-07,0.0
C1G9D0,國一S218K,2025-07-18,23.890641,120.493253,0.009129514,,0.93,9.660604e-09,3.7
C1G9D0,國一S218K,2025-07-19,23.890641,120.493253,0.0129266055,,0.9,4.8711843e-09,11.0
C1G9D0,國一S218K,2025-07-20,23.890641,120.493253,0.018426565,,0.81,2.2770646e-08,19.0
C1G9D0,國一S218K,2025-07-21,23.890641,120.493253,0.022838166,,0.65,8.582381e-08,0.0
C1G9D0,國一S218K,2025-07-22,23.890641,120.493253,0.019608589,,0.45,0.90964735,0.0
C1G9D0,國一S218K,2025-07-23,23.890641,120.493253,0.022396589,,0.51,0.7876186,0.0
C1G9D0,國一S218K,2025-07-24,23.890641,120.493253,0.044315014,,0.36,0.816438,19.0
C1G9D0,國一S218K,2025-07-25,23.890641,120.493253,0.08709594,,0.45,0.65621895,7.4
C1G9D0,國一S218K,2025-07-26,23.890641,120.493253,0.16831306,,0.69,0.12659095,7.4
C1G9D0,國一S218K,2025-07-27,23.890641,120.493253,0.40924293,,0.73,0.015431006,11.0
C1G9D0,國一S218K,2025-07-28,23.890641,120.493253,0.59741026,,0.55,0.58018154,0.0
C1G9D0,國一S218K,2025-07-29,23.890641,120.493253,0.5076272,,0.27,0.3737846,0.0
C1G9D0,國一S218K,2025-07-30,23.890641,120.493253,0.29229897,,0.21,0.6355809,0.0
C1G9D0,國一S218K,2025-07-31,23.890641,120.493253,0.82780755,,0.13,0.7394856,0.0
C1G9D0,國一S218K,2025-08-01,23.890641,120.493253,0.977732,,0.09,0.8594623,0.0
C1G9D0,國一S218K,2025-08-02,23.890641,120.493253,0.60379434,,0.11,0.5459358,0.0
C1G9D0,國一S218K,2025-08-03,23.890641,120.493253,0.07333169,,0.62,0.2779896,
C1G9D0,國一S218K,2025-08-04,23.890641,120.493253,0.017459795,,0.59,0.21139367,
C1G9D0,國一S218K,2025-08-05,23.890641,120.493253,0.014503322,,0.75,0.20836423,
C1G9D0,國一S218K,2025-08-06,23.890641,120.493253,0.019114017,,0.89,0.4808374,
C1G9D0,國一S218K,2025-08-07,23.890641,120.493253,0.011259829,,0.97,0.9331709,
C1G9D0,國一S218K,2025-08-08,23.890641,120.493253,0.00694277,,0.95,0.9969975,
C1G9D0,國一S218K,2025-08-09,23.890641,120.493253,0.004811458,,0.98,0.9995146,
C1G9D0,國一S218K,2025-08-10,23.890641,120.493253,0.004503484,,0.97,0.99991095,
C1G9D0,國一S218K,2025-08-11,23.890641,120.493253,0.004786346,,0.99,0.99995685,
C1G9D0,國一S218K,2025-08-12,23.890641,120.493253,,,0.99,0.99970037,
