站號,站名,日期,lat,lon,BlastGRU-TW,BlastDT2,BlastLSTLS,BLBTSLS,planthopper
C1H840,國三N238K,2026-07-20,23.841008,120.707711,0.06583197,,0.15,0.0053332197,0.0
C1H840,國三N238K,2026-07-21,23.841008,120.707711,0.059469186,,0.23,0.006539754,0.0
C1H840,國三N238K,2026-07-22,23.841008,120.707711,0.03640785,,0.21,0.001342771,0.0
C1H840,國三N238K,2026-07-23,23.841008,120.707711,0.037170067,,0.04,0.028123748,0.0
C1H840,國三N238K,2026-07-24,23.841008,120.707711,0.030378716,,0.04,0.44883794,0.0
C1H840,國三N238K,2026-07-25,23.841008,120.707711,0.023365494,,0.04,0.05802655,7.4
C1H840,國三N238K,2026-07-26,23.841008,120.707711,0.01983951,,0.04,0.005153767,22.0
C1H840,國三N238K,2026-07-27,23.841008,120.707711,0.020968461,,0.07,0.0011884867,0.0
C1H840,國三N238K,2026-07-28,23.841008,120.707711,0.025935443,,0.12,0.0020904886,0.0
C1H840,國三N238K,2026-07-29,23.841008,120.707711,0.03888898,,0.18,0.023290861,0.0
C1H840,國三N238K,2026-07-30,23.841008,120.707711,0.33168694,,0.24,0.71788967,0.0
C1H840,國三N238K,2026-07-31,23.841008,120.707711,0.2893318,,0.24,0.99631387,0.0
C1H840,國三N238K,2026-08-01,23.841008,120.707711,0.45977187,,0.52,0.97835946,7.4
C1H840,國三N238K,2026-08-02,23.841008,120.707711,0.28297308,,0.53,0.9527895,0.0
C1H840,國三N238K,2026-08-03,23.841008,120.707711,0.09637154,,0.48,0.7073586,0.0
C1H840,國三N238K,2026-08-04,23.841008,120.707711,0.05952087,,0.94,0.6524187,0.0
C1H840,國三N238K,2026-08-05,23.841008,120.707711,0.03413112,,0.97,0.38664994,3.7
C1H840,國三N238K,2026-08-06,23.841008,120.707711,0.020200264,,0.98,0.3421024,19.0
C1H840,國三N238K,2026-08-07,23.841008,120.707711,0.01975212,,0.99,0.1469508,30.0
C1H840,國三N238K,2026-08-08,23.841008,120.707711,0.018769216,,0.99,0.0637481,30.0
C1H840,國三N238K,2026-08-09,23.841008,120.707711,0.017323889,,0.99,0.038545016,15.0
C1H840,國三N238K,2026-08-10,23.841008,120.707711,0.015208027,,1.0,0.014984074,3.7
C1H840,國三N238K,2026-08-11,23.841008,120.707711,0.019422581,,0.99,0.05066534,11.0
C1H840,國三N238K,2026-08-12,23.841008,120.707711,0.023282787,,0.94,0.94880974,0.0
C1H840,國三N238K,2026-08-13,23.841008,120.707711,0.023393922,,0.9,0.9823797,0.0
C1H840,國三N238K,2026-08-14,23.841008,120.707711,0.024505386,,0.72,0.98091596,0.0
C1H840,國三N238K,2026-08-15,23.841008,120.707711,0.024114467,,0.66,0.04793488,0.0
C1H840,國三N238K,2026-08-16,23.841008,120.707711,0.03221835,,0.5,0.0142871635,0.0
C1H840,國三N238K,2026-08-17,23.841008,120.707711,0.042669002,,0.62,0.044568513,0.0
C1H840,國三N238K,2026-08-18,23.841008,120.707711,0.05404023,,0.75,0.023373513,0.0
C1H840,國三N238K,2026-08-19,23.841008,120.707711,0.04273264,,0.88,0.0063433056,0.0
C1H840,國三N238K,2026-08-20,23.841008,120.707711,0.06044673,,0.89,0.0015818486,0.0
C1H840,國三N238K,2026-08-21,23.841008,120.707711,0.05703965,,0.85,0.54415065,7.4
C1H840,國三N238K,2026-08-22,23.841008,120.707711,0.17309791,,0.57,0.6568519,11.0
C1H840,國三N238K,2026-08-23,23.841008,120.707711,0.45073575,,0.37,0.32846963,11.0
C1H840,國三N238K,2026-08-24,23.841008,120.707711,0.7175686,,0.11,0.33697802,0.0
C1H840,國三N238K,2026-08-25,23.841008,120.707711,0.9967836,,0.13,0.31115144,0.0
C1H840,國三N238K,2026-08-26,23.841008,120.707711,0.9889789,,0.17,0.2341844,0.0
C1H840,國三N238K,2026-08-27,23.841008,120.707711,0.100576736,,0.34,0.23039906,0.0
C1H840,國三N238K,2026-08-28,23.841008,120.707711,0.014635758,,0.34,0.20001592,
C1H840,國三N238K,2026-08-29,23.841008,120.707711,0.010600708,,0.3,0.1698373,
C1H840,國三N238K,2026-08-30,23.841008,120.707711,0.01143922,,0.34,0.10350282,
C1H840,國三N238K,2026-08-31,23.841008,120.707711,0.009379706,,0.68,0.0964368,
C1H840,國三N238K,2026-09-01,23.841008,120.707711,0.008825846,,0.56,0.13955146,
C1H840,國三N238K,2026-09-02,23.841008,120.707711,0.007598405,,0.68,0.19584496,
C1H840,國三N238K,2026-09-03,23.841008,120.707711,0.0063689398,,0.78,0.10514051,
C1H840,國三N238K,2026-09-04,23.841008,120.707711,0.0060823234,,0.88,0.09188206,
C1H840,國三N238K,2026-09-05,23.841008,120.707711,0.0068142056,,0.94,0.078569114,
C1H840,國三N238K,2026-09-06,23.841008,120.707711,,,0.98,0.071869045,
