站號,站名,日期,lat,lon,BlastGRU-TW,BlastDT2,BlastLSTLS,BLBTSLS,planthopper
C1H9B1,阿眉,2026-05-29,24.1263,120.994672,0.056595996,,0.99,7.139533e-10,0.0
C1H9B1,阿眉,2026-05-30,24.1263,120.994672,0.14546232,,1.0,4.83939e-10,0.0
C1H9B1,阿眉,2026-05-31,24.1263,120.994672,0.22065377,,1.0,3.759472e-10,0.0
C1H9B1,阿眉,2026-06-01,24.1263,120.994672,0.1279936,,1.0,3.2696768e-10,3.7
C1H9B1,阿眉,2026-06-02,24.1263,120.994672,0.039398782,,1.0,3.3993292e-10,22.0
C1H9B1,阿眉,2026-06-03,24.1263,120.994672,0.037612934,,1.0,4.490608e-10,15.0
C1H9B1,阿眉,2026-06-04,24.1263,120.994672,0.031907406,,0.99,7.0126416e-10,26.0
C1H9B1,阿眉,2026-06-05,24.1263,120.994672,0.030524842,,0.97,1.5091577e-09,3.7
C1H9B1,阿眉,2026-06-06,24.1263,120.994672,0.043622606,,0.96,1.0307907e-09,0.0
C1H9B1,阿眉,2026-06-07,24.1263,120.994672,0.43744448,,0.98,8.678902e-10,3.7
C1H9B1,阿眉,2026-06-08,24.1263,120.994672,0.5258794,,0.98,8.271016e-10,7.4
C1H9B1,阿眉,2026-06-09,24.1263,120.994672,0.36463243,,0.96,4.124724e-09,0.0
C1H9B1,阿眉,2026-06-10,24.1263,120.994672,0.26646426,,0.92,8.9803e-09,0.0
C1H9B1,阿眉,2026-06-11,24.1263,120.994672,0.45958874,,0.89,6.245604e-09,0.0
C1H9B1,阿眉,2026-06-12,24.1263,120.994672,0.76707315,,0.91,4.023814e-09,0.0
C1H9B1,阿眉,2026-06-13,24.1263,120.994672,0.8917748,,0.92,9.995059e-09,0.0
C1H9B1,阿眉,2026-06-14,24.1263,120.994672,0.8549375,,0.93,3.3387188e-08,0.0
C1H9B1,阿眉,2026-06-15,24.1263,120.994672,0.8520248,,0.93,8.575443e-08,0.0
C1H9B1,阿眉,2026-06-16,24.1263,120.994672,0.8416106,,0.94,9.937559e-08,0.0
C1H9B1,阿眉,2026-06-17,24.1263,120.994672,0.8295747,,0.94,6.61492e-08,3.7
C1H9B1,阿眉,2026-06-18,24.1263,120.994672,0.526915,,0.94,2.9605147e-08,3.7
C1H9B1,阿眉,2026-06-19,24.1263,120.994672,0.33508402,,0.94,1.1264662e-07,0.0
C1H9B1,阿眉,2026-06-20,24.1263,120.994672,0.23226358,,0.94,1.7471628e-07,0.0
C1H9B1,阿眉,2026-06-21,24.1263,120.994672,0.17218545,,0.95,3.3524703e-08,0.0
C1H9B1,阿眉,2026-06-22,24.1263,120.994672,0.18800089,,0.95,1.23400135e-08,3.7
C1H9B1,阿眉,2026-06-23,24.1263,120.994672,0.30716997,,0.96,6.2997296e-09,7.4
C1H9B1,阿眉,2026-06-24,24.1263,120.994672,0.44254276,,0.97,2.703502e-09,15.0
C1H9B1,阿眉,2026-06-25,24.1263,120.994672,0.59367126,,0.98,1.980261e-09,3.7
C1H9B1,阿眉,2026-06-26,24.1263,120.994672,0.73591834,,0.99,1.1849153e-09,0.0
C1H9B1,阿眉,2026-06-27,24.1263,120.994672,0.5838351,,1.0,5.0848875e-10,22.0
C1H9B1,阿眉,2026-06-28,24.1263,120.994672,0.76887655,,0.99,5.412112e-10,11.0
C1H9B1,阿眉,2026-06-29,24.1263,120.994672,0.94517004,,0.99,5.1829036e-10,0.0
C1H9B1,阿眉,2026-06-30,24.1263,120.994672,0.97929204,,0.99,7.10431e-10,0.0
C1H9B1,阿眉,2026-07-01,24.1263,120.994672,0.97432417,,0.98,3.2289915e-09,0.0
C1H9B1,阿眉,2026-07-02,24.1263,120.994672,0.91553,,0.98,6.753649e-09,0.0
C1H9B1,阿眉,2026-07-03,24.1263,120.994672,0.90208274,,0.98,5.72683e-09,3.7
C1H9B1,阿眉,2026-07-04,24.1263,120.994672,0.91712683,,0.98,5.8537886e-09,3.7
C1H9B1,阿眉,2026-07-05,24.1263,120.994672,0.9420379,,0.98,5.201802e-09,0.0
C1H9B1,阿眉,2026-07-06,24.1263,120.994672,0.9565003,,0.99,7.0656783e-09,0.0
C1H9B1,阿眉,2026-07-07,24.1263,120.994672,0.9432184,,0.99,5.5545315e-09,
C1H9B1,阿眉,2026-07-08,24.1263,120.994672,0.8184407,,0.99,4.2111017e-09,
C1H9B1,阿眉,2026-07-09,24.1263,120.994672,0.54793555,,1.0,2.4806152e-06,
C1H9B1,阿眉,2026-07-10,24.1263,120.994672,0.39451393,,1.0,1.787953e-05,
C1H9B1,阿眉,2026-07-11,24.1263,120.994672,0.44034111,,1.0,0.00013525058,
C1H9B1,阿眉,2026-07-12,24.1263,120.994672,0.604887,,1.0,0.0001374701,
C1H9B1,阿眉,2026-07-13,24.1263,120.994672,0.77240473,,1.0,7.618584e-05,
C1H9B1,阿眉,2026-07-14,24.1263,120.994672,0.865855,,1.0,3.9380237e-05,
C1H9B1,阿眉,2026-07-15,24.1263,120.994672,0.93152547,,0.99,8.238279e-06,
C1H9B1,阿眉,2026-07-16,24.1263,120.994672,,,0.99,1.3413615e-05,
