站號,站名,日期,lat,lon,BlastGRU-TW,BlastDT2,BlastLSTLS,planthopper
C1O880,關山,2025-01-25,23.173397,120.594092,0.0025822083,,0.0,0.0
C1O880,關山,2025-01-26,23.173397,120.594092,0.0023572599,,0.01,0.0
C1O880,關山,2025-01-27,23.173397,120.594092,0.0023947295,,0.01,0.0
C1O880,關山,2025-01-28,23.173397,120.594092,0.0022754224,,0.01,0.0
C1O880,關山,2025-01-29,23.173397,120.594092,0.003729009,,0.02,0.0
C1O880,關山,2025-01-30,23.173397,120.594092,0.0057812086,,0.01,0.0
C1O880,關山,2025-01-31,23.173397,120.594092,0.006734727,,0.02,0.0
C1O880,關山,2025-02-01,23.173397,120.594092,0.0062701995,,0.01,0.0
C1O880,關山,2025-02-02,23.173397,120.594092,0.0070294235,,0.01,0.0
C1O880,關山,2025-02-03,23.173397,120.594092,0.0051218695,,0.01,0.0
C1O880,關山,2025-02-04,23.173397,120.594092,0.005413245,,0.01,0.0
C1O880,關山,2025-02-05,23.173397,120.594092,0.006537735,,0.01,0.0
C1O880,關山,2025-02-06,23.173397,120.594092,0.009902915,,0.0,0.0
C1O880,關山,2025-02-07,23.173397,120.594092,0.019615946,,0.0,0.0
C1O880,關山,2025-02-08,23.173397,120.594092,0.029618237,,0.0,0.0
C1O880,關山,2025-02-09,23.173397,120.594092,0.018065302,,0.0,0.0
C1O880,關山,2025-02-10,23.173397,120.594092,0.011124793,,0.0,0.0
C1O880,關山,2025-02-11,23.173397,120.594092,0.0063716653,,0.01,0.0
C1O880,關山,2025-02-12,23.173397,120.594092,0.0073812446,,0.0,0.0
C1O880,關山,2025-02-13,23.173397,120.594092,0.0072531337,,0.0,0.0
C1O880,關山,2025-02-14,23.173397,120.594092,0.009788862,,0.01,0.0
C1O880,關山,2025-02-15,23.173397,120.594092,0.0058047003,,0.01,0.0
C1O880,關山,2025-02-16,23.173397,120.594092,0.0019431212,,0.01,0.0
C1O880,關山,2025-02-17,23.173397,120.594092,0.0010940296,,0.0,0.0
C1O880,關山,2025-02-18,23.173397,120.594092,0.0013776205,,0.0,0.0
C1O880,關山,2025-02-19,23.173397,120.594092,0.0029286833,,0.0,0.0
C1O880,關山,2025-02-20,23.173397,120.594092,0.0069390982,,0.02,0.0
C1O880,關山,2025-02-21,23.173397,120.594092,0.015937427,,0.02,0.0
C1O880,關山,2025-02-22,23.173397,120.594092,0.02088872,,0.13,0.0
C1O880,關山,2025-02-23,23.173397,120.594092,0.030876175,,0.36,0.0
C1O880,關山,2025-02-24,23.173397,120.594092,0.023931803,,0.22,0.0
C1O880,關山,2025-02-25,23.173397,120.594092,0.02553789,,0.2,0.0
C1O880,關山,2025-02-26,23.173397,120.594092,0.026959052,,0.08,0.0
C1O880,關山,2025-02-27,23.173397,120.594092,0.02000623,,0.19,0.0
C1O880,關山,2025-02-28,23.173397,120.594092,0.009070547,,0.3,0.0
C1O880,關山,2025-03-01,23.173397,120.594092,0.006875418,,0.56,0.0
C1O880,關山,2025-03-02,23.173397,120.594092,0.014749692,,0.82,0.0
C1O880,關山,2025-03-03,23.173397,120.594092,0.080480285,,0.77,0.0
C1O880,關山,2025-03-04,23.173397,120.594092,0.20847033,,0.79,
C1O880,關山,2025-03-05,23.173397,120.594092,0.31651232,,0.88,
C1O880,關山,2025-03-06,23.173397,120.594092,0.33430877,,0.93,
C1O880,關山,2025-03-07,23.173397,120.594092,0.14748544,,0.96,
C1O880,關山,2025-03-08,23.173397,120.594092,0.083626635,,0.92,
C1O880,關山,2025-03-09,23.173397,120.594092,0.051192146,,0.94,
C1O880,關山,2025-03-10,23.173397,120.594092,0.014978909,,0.97,
C1O880,關山,2025-03-11,23.173397,120.594092,0.0072229407,,0.99,
C1O880,關山,2025-03-12,23.173397,120.594092,0.008100405,,0.81,
C1O880,關山,2025-03-13,23.173397,120.594092,0.0118913045,,0.95,
C1O880,關山,2025-03-14,23.173397,120.594092,,,0.7,
