站號,站名,日期,lat,lon,BlastGRU-TW,BlastDT2,BlastLSTLS,planthopper
C1U840,東澳嶺,2025-01-19,24.5378,121.8485,0.00038721954,,0.06,0.0
C1U840,東澳嶺,2025-01-20,24.5378,121.8485,0.00024529977,,0.06,0.0
C1U840,東澳嶺,2025-01-21,24.5378,121.8485,0.00054202456,,0.07,0.0
C1U840,東澳嶺,2025-01-22,24.5378,121.8485,0.0012713827,,0.07,0.0
C1U840,東澳嶺,2025-01-23,24.5378,121.8485,0.002811102,,0.06,0.0
C1U840,東澳嶺,2025-01-24,24.5378,121.8485,0.0045898864,,0.06,0.0
C1U840,東澳嶺,2025-01-25,24.5378,121.8485,0.00427936,,0.06,0.0
C1U840,東澳嶺,2025-01-26,24.5378,121.8485,0.0029074096,,0.05,0.0
C1U840,東澳嶺,2025-01-27,24.5378,121.8485,0.0019763834,,0.05,0.0
C1U840,東澳嶺,2025-01-28,24.5378,121.8485,0.0015036903,,0.05,0.0
C1U840,東澳嶺,2025-01-29,24.5378,121.8485,0.0019493196,,0.06,0.0
C1U840,東澳嶺,2025-01-30,24.5378,121.8485,0.0027484007,,0.06,0.0
C1U840,東澳嶺,2025-01-31,24.5378,121.8485,0.0021757227,,0.06,0.0
C1U840,東澳嶺,2025-02-01,24.5378,121.8485,0.0010093226,,0.06,0.0
C1U840,東澳嶺,2025-02-02,24.5378,121.8485,0.00081648596,,0.05,0.0
C1U840,東澳嶺,2025-02-03,24.5378,121.8485,0.0006601228,,0.05,0.0
C1U840,東澳嶺,2025-02-04,24.5378,121.8485,0.0004472191,,0.06,0.0
C1U840,東澳嶺,2025-02-05,24.5378,121.8485,0.0006231306,,0.07,0.0
C1U840,東澳嶺,2025-02-06,24.5378,121.8485,0.0008015385,,0.06,0.0
C1U840,東澳嶺,2025-02-07,24.5378,121.8485,0.00030994494,,0.06,0.0
C1U840,東澳嶺,2025-02-08,24.5378,121.8485,0.00030581653,,0.05,0.0
C1U840,東澳嶺,2025-02-09,24.5378,121.8485,0.00026304164,,0.05,0.0
C1U840,東澳嶺,2025-02-10,24.5378,121.8485,0.0006394876,,0.06,0.0
C1U840,東澳嶺,2025-02-11,24.5378,121.8485,0.00061139243,,0.05,0.0
C1U840,東澳嶺,2025-02-12,24.5378,121.8485,0.0005040918,,0.06,0.0
C1U840,東澳嶺,2025-02-13,24.5378,121.8485,0.00049496215,,0.06,0.0
C1U840,東澳嶺,2025-02-14,24.5378,121.8485,0.0005238376,,0.05,0.0
C1U840,東澳嶺,2025-02-15,24.5378,121.8485,0.0006179329,,0.06,0.0
C1U840,東澳嶺,2025-02-16,24.5378,121.8485,0.0031072695,,0.05,0.0
C1U840,東澳嶺,2025-02-17,24.5378,121.8485,0.0017743043,,0.05,0.0
C1U840,東澳嶺,2025-02-18,24.5378,121.8485,0.0017735122,,0.05,0.0
C1U840,東澳嶺,2025-02-19,24.5378,121.8485,0.001310672,,0.04,0.0
C1U840,東澳嶺,2025-02-20,24.5378,121.8485,0.0016943709,,0.1,0.0
C1U840,東澳嶺,2025-02-21,24.5378,121.8485,0.0026887234,,0.1,0.0
C1U840,東澳嶺,2025-02-22,24.5378,121.8485,0.0039196056,,0.09,0.0
C1U840,東澳嶺,2025-02-23,24.5378,121.8485,0.0039592213,,0.08,0.0
C1U840,東澳嶺,2025-02-24,24.5378,121.8485,0.0034208451,,0.09,0.0
C1U840,東澳嶺,2025-02-25,24.5378,121.8485,0.004284482,,0.06,
C1U840,東澳嶺,2025-02-26,24.5378,121.8485,0.003600062,,0.06,
C1U840,東澳嶺,2025-02-27,24.5378,121.8485,0.002287569,,0.06,
C1U840,東澳嶺,2025-02-28,24.5378,121.8485,0.0036671024,,0.07,
C1U840,東澳嶺,2025-03-01,24.5378,121.8485,0.004421765,,0.08,
C1U840,東澳嶺,2025-03-02,24.5378,121.8485,0.0041867327,,0.07,
C1U840,東澳嶺,2025-03-03,24.5378,121.8485,0.0044482783,,0.06,
C1U840,東澳嶺,2025-03-04,24.5378,121.8485,0.0049928874,,0.05,
C1U840,東澳嶺,2025-03-05,24.5378,121.8485,0.0044126115,,0.07,
C1U840,東澳嶺,2025-03-06,24.5378,121.8485,,,0.07,
