站號,站名,日期,lat,lon,BlastGRU-TW,BlastDT2,BlastLSTLS,planthopper
C1V830,國三S383K,2025-01-20,22.781967,120.426475,0.015526386,,0.01,0.0
C1V830,國三S383K,2025-01-21,22.781967,120.426475,0.025062487,,0.01,0.0
C1V830,國三S383K,2025-01-22,22.781967,120.426475,0.021548284,,0.01,0.0
C1V830,國三S383K,2025-01-23,22.781967,120.426475,0.017941307,,0.01,0.0
C1V830,國三S383K,2025-01-24,22.781967,120.426475,0.011460707,,0.01,0.0
C1V830,國三S383K,2025-01-25,22.781967,120.426475,0.005393761,,0.01,0.0
C1V830,國三S383K,2025-01-26,22.781967,120.426475,0.0050926157,,0.01,0.0
C1V830,國三S383K,2025-01-27,22.781967,120.426475,0.004898844,,0.02,0.0
C1V830,國三S383K,2025-01-28,22.781967,120.426475,0.0038419287,,0.01,0.0
C1V830,國三S383K,2025-01-29,22.781967,120.426475,0.007092875,,0.03,0.0
C1V830,國三S383K,2025-01-30,22.781967,120.426475,0.026027102,,0.03,0.0
C1V830,國三S383K,2025-01-31,22.781967,120.426475,0.020682978,,0.02,0.0
C1V830,國三S383K,2025-02-01,22.781967,120.426475,0.012947869,,0.01,0.0
C1V830,國三S383K,2025-02-02,22.781967,120.426475,0.013377201,,0.01,0.0
C1V830,國三S383K,2025-02-03,22.781967,120.426475,0.019039616,,0.01,0.0
C1V830,國三S383K,2025-02-04,22.781967,120.426475,0.026083667,,0.01,0.0
C1V830,國三S383K,2025-02-05,22.781967,120.426475,0.04009058,,0.01,0.0
C1V830,國三S383K,2025-02-06,22.781967,120.426475,0.09752539,,0.01,0.0
C1V830,國三S383K,2025-02-07,22.781967,120.426475,0.12720038,,0.01,0.0
C1V830,國三S383K,2025-02-08,22.781967,120.426475,0.076972306,,0.01,0.0
C1V830,國三S383K,2025-02-09,22.781967,120.426475,0.030367823,,0.01,0.0
C1V830,國三S383K,2025-02-10,22.781967,120.426475,0.030043585,,0.01,0.0
C1V830,國三S383K,2025-02-11,22.781967,120.426475,0.01452568,,0.01,0.0
C1V830,國三S383K,2025-02-12,22.781967,120.426475,0.014658008,,0.01,0.0
C1V830,國三S383K,2025-02-13,22.781967,120.426475,0.01754822,,0.01,0.0
C1V830,國三S383K,2025-02-14,22.781967,120.426475,0.025133813,,0.02,0.0
C1V830,國三S383K,2025-02-15,22.781967,120.426475,0.004672027,,0.02,0.0
C1V830,國三S383K,2025-02-16,22.781967,120.426475,0.0031057072,,0.02,0.0
C1V830,國三S383K,2025-02-17,22.781967,120.426475,0.0017467296,,0.02,0.0
C1V830,國三S383K,2025-02-18,22.781967,120.426475,0.0010690789,,0.02,0.0
C1V830,國三S383K,2025-02-19,22.781967,120.426475,0.0036714748,,0.02,0.0
C1V830,國三S383K,2025-02-20,22.781967,120.426475,0.019950137,,0.02,0.0
C1V830,國三S383K,2025-02-21,22.781967,120.426475,0.059103653,,0.03,0.0
C1V830,國三S383K,2025-02-22,22.781967,120.426475,0.10718599,,0.9,0.0
C1V830,國三S383K,2025-02-23,22.781967,120.426475,0.13164279,,0.97,0.0
C1V830,國三S383K,2025-02-24,22.781967,120.426475,0.117566675,,0.96,0.0
C1V830,國三S383K,2025-02-25,22.781967,120.426475,0.10435213,,0.81,0.0
C1V830,國三S383K,2025-02-26,22.781967,120.426475,0.06624222,,0.72,0.0
C1V830,國三S383K,2025-02-27,22.781967,120.426475,0.07052311,,0.61,0.0
C1V830,國三S383K,2025-02-28,22.781967,120.426475,0.053973265,,0.84,
C1V830,國三S383K,2025-03-01,22.781967,120.426475,0.049204934,,0.94,
C1V830,國三S383K,2025-03-02,22.781967,120.426475,0.04285017,,0.9,
C1V830,國三S383K,2025-03-03,22.781967,120.426475,0.10043295,,0.9,
C1V830,國三S383K,2025-03-04,22.781967,120.426475,0.35725802,,0.75,
C1V830,國三S383K,2025-03-05,22.781967,120.426475,0.4992408,,0.9,
C1V830,國三S383K,2025-03-06,22.781967,120.426475,0.4744978,,0.96,
C1V830,國三S383K,2025-03-07,22.781967,120.426475,0.10514924,,0.98,
C1V830,國三S383K,2025-03-08,22.781967,120.426475,0.05314692,,0.88,
C1V830,國三S383K,2025-03-09,22.781967,120.426475,,,0.98,
