站號,站名,日期,lat,lon,BlastGRU-TW,BlastDT2,BlastLSTLS,BLBTSLS,planthopper
C2A920,富貴角,2025-04-14,25.263783,121.565258,0.763101,,0.17,6.130732e-08,0.0
C2A920,富貴角,2025-04-15,25.263783,121.565258,0.96481705,,0.33,7.776933e-09,0.0
C2A920,富貴角,2025-04-16,25.263783,121.565258,0.8964186,,0.8,1.7657172e-09,0.0
C2A920,富貴角,2025-04-17,25.263783,121.565258,0.5594033,,0.86,1.6979053e-09,0.0
C2A920,富貴角,2025-04-18,25.263783,121.565258,0.53240764,,0.89,1.9326662e-09,0.0
C2A920,富貴角,2025-04-19,25.263783,121.565258,0.2672793,,0.81,1.2699005e-09,3.7
C2A920,富貴角,2025-04-20,25.263783,121.565258,0.47956455,,0.62,1.3616899e-09,0.0
C2A920,富貴角,2025-04-21,25.263783,121.565258,0.7879208,,0.49,1.57163e-09,11.0
C2A920,富貴角,2025-04-22,25.263783,121.565258,0.6918026,,0.49,2.561589e-08,7.4
C2A920,富貴角,2025-04-23,25.263783,121.565258,0.6804306,,0.41,1.2604561e-08,3.7
C2A920,富貴角,2025-04-24,25.263783,121.565258,0.8518171,,0.35,3.6649754e-09,0.0
C2A920,富貴角,2025-04-25,25.263783,121.565258,0.9644837,,0.34,1.103134e-09,0.0
C2A920,富貴角,2025-04-26,25.263783,121.565258,0.98089105,,0.65,3.2333733e-09,0.0
C2A920,富貴角,2025-04-27,25.263783,121.565258,0.9939093,,0.87,1.2013067e-09,0.0
C2A920,富貴角,2025-04-28,25.263783,121.565258,0.9968307,,0.96,1.3330901e-09,0.0
C2A920,富貴角,2025-04-29,25.263783,121.565258,0.9978119,,0.97,3.2350383e-07,0.0
C2A920,富貴角,2025-04-30,25.263783,121.565258,0.9982216,,0.98,2.0546533e-07,7.4
C2A920,富貴角,2025-05-01,25.263783,121.565258,0.9981264,,0.99,0.021606218,0.0
C2A920,富貴角,2025-05-02,25.263783,121.565258,0.9873984,,0.99,5.679996e-07,0.0
C2A920,富貴角,2025-05-03,25.263783,121.565258,0.9703917,,0.99,7.3076194e-09,0.0
C2A920,富貴角,2025-05-04,25.263783,121.565258,0.99140036,,1.0,1.3008474e-07,7.4
C2A920,富貴角,2025-05-05,25.263783,121.565258,0.89740986,,1.0,2.0541413e-06,15.0
C2A920,富貴角,2025-05-06,25.263783,121.565258,0.88807726,,1.0,5.962408e-08,0.0
C2A920,富貴角,2025-05-07,25.263783,121.565258,0.9429173,,1.0,1.1820292e-07,0.0
C2A920,富貴角,2025-05-08,25.263783,121.565258,0.9771594,,0.99,4.7924196e-08,3.7
C2A920,富貴角,2025-05-09,25.263783,121.565258,0.98737776,,0.99,3.321904e-05,0.0
C2A920,富貴角,2025-05-10,25.263783,121.565258,0.9816857,,0.98,8.919709e-07,0.0
C2A920,富貴角,2025-05-11,25.263783,121.565258,0.99257165,,0.96,1.3553293e-08,0.0
C2A920,富貴角,2025-05-12,25.263783,121.565258,0.9981103,,0.98,1.0399492e-06,0.0
C2A920,富貴角,2025-05-13,25.263783,121.565258,0.9988185,,0.94,3.234415e-07,0.0
C2A920,富貴角,2025-05-14,25.263783,121.565258,0.9988825,,0.81,5.1284967e-09,0.0
C2A920,富貴角,2025-05-15,25.263783,121.565258,0.999278,,0.93,3.3263813e-08,0.0
C2A920,富貴角,2025-05-16,25.263783,121.565258,0.99909633,,0.89,1.5776744e-06,0.0
C2A920,富貴角,2025-05-17,25.263783,121.565258,0.9976853,,0.76,1.8349364e-06,3.7
C2A920,富貴角,2025-05-18,25.263783,121.565258,0.9925646,,0.48,1.8262197e-06,3.7
C2A920,富貴角,2025-05-19,25.263783,121.565258,0.9896404,,0.55,7.0109086e-06,3.7
C2A920,富貴角,2025-05-20,25.263783,121.565258,0.9922923,,0.47,0.000223715,0.0
C2A920,富貴角,2025-05-21,25.263783,121.565258,0.9821884,,0.49,6.335909e-05,0.0
C2A920,富貴角,2025-05-22,25.263783,121.565258,0.98425865,,0.76,0.01190541,0.0
C2A920,富貴角,2025-05-23,25.263783,121.565258,0.98691994,,0.69,0.0511116,
C2A920,富貴角,2025-05-24,25.263783,121.565258,0.98971033,,0.56,0.09893866,
C2A920,富貴角,2025-05-25,25.263783,121.565258,0.99511355,,0.55,0.120128594,
C2A920,富貴角,2025-05-26,25.263783,121.565258,0.9964425,,0.55,0.11939855,
C2A920,富貴角,2025-05-27,25.263783,121.565258,0.99724466,,0.75,0.22813782,
C2A920,富貴角,2025-05-28,25.263783,121.565258,0.99953306,,0.82,0.39277074,
C2A920,富貴角,2025-05-29,25.263783,121.565258,0.99937975,,0.92,0.5636393,
C2A920,富貴角,2025-05-30,25.263783,121.565258,0.9982772,,0.89,0.0037551976,
C2A920,富貴角,2025-05-31,25.263783,121.565258,0.99522287,,0.88,0.130688,
C2A920,富貴角,2025-06-01,25.263783,121.565258,,,0.97,0.8479338,
