站號,站名,日期,lat,lon,BlastGRU-TW,BlastDT2,BlastLSTLS,BLBTSLS,planthopper
C2AK30,信賢,2026-06-01,24.84108,121.53492,0.9211788,,0.86,0.28152138,7.4
C2AK30,信賢,2026-06-02,24.84108,121.53492,0.84730047,,0.85,0.04389419,15.0
C2AK30,信賢,2026-06-03,24.84108,121.53492,0.880922,,0.78,6.982124e-06,11.0
C2AK30,信賢,2026-06-04,24.84108,121.53492,0.86407346,,0.87,8.7620654e-05,11.0
C2AK30,信賢,2026-06-05,24.84108,121.53492,0.54661775,,0.82,3.9304696e-06,3.7
C2AK30,信賢,2026-06-06,24.84108,121.53492,0.4463693,,0.74,7.673381e-07,0.0
C2AK30,信賢,2026-06-07,24.84108,121.53492,0.34514594,,0.91,7.84523e-08,0.0
C2AK30,信賢,2026-06-08,24.84108,121.53492,0.6819704,,0.88,7.730528e-08,3.7
C2AK30,信賢,2026-06-09,24.84108,121.53492,0.36322746,,0.53,2.894278e-07,0.0
C2AK30,信賢,2026-06-10,24.84108,121.53492,0.6762871,,0.46,2.4703352e-08,0.0
C2AK30,信賢,2026-06-11,24.84108,121.53492,0.72322613,,0.22,6.7457706e-09,0.0
C2AK30,信賢,2026-06-12,24.84108,121.53492,0.9900151,,0.16,9.7957965e-08,0.0
C2AK30,信賢,2026-06-13,24.84108,121.53492,0.9659866,,0.14,4.1482812e-07,0.0
C2AK30,信賢,2026-06-14,24.84108,121.53492,0.2781198,,0.29,1.9088755e-05,0.0
C2AK30,信賢,2026-06-15,24.84108,121.53492,0.080780655,,0.64,0.0035755257,11.0
C2AK30,信賢,2026-06-16,24.84108,121.53492,0.028362293,,0.73,0.50066626,0.0
C2AK30,信賢,2026-06-17,24.84108,121.53492,0.013477776,,0.85,0.30494586,3.7
C2AK30,信賢,2026-06-18,24.84108,121.53492,0.008259645,,0.79,9.891879e-06,3.7
C2AK30,信賢,2026-06-19,24.84108,121.53492,0.0070860735,,0.64,0.0001509128,0.0
C2AK30,信賢,2026-06-20,24.84108,121.53492,0.006506908,,0.43,0.040150452,0.0
C2AK30,信賢,2026-06-21,24.84108,121.53492,0.005297232,,0.61,0.00013263052,0.0
C2AK30,信賢,2026-06-22,24.84108,121.53492,0.009183436,,0.71,0.2824759,3.7
C2AK30,信賢,2026-06-23,24.84108,121.53492,0.027153878,,0.73,0.0006104151,7.4
C2AK30,信賢,2026-06-24,24.84108,121.53492,0.097712144,,0.66,2.1910981e-07,19.0
C2AK30,信賢,2026-06-25,24.84108,121.53492,0.3028337,,0.84,6.8165155e-06,3.7
C2AK30,信賢,2026-06-26,24.84108,121.53492,0.5188074,,0.78,0.0052438187,0.0
C2AK30,信賢,2026-06-27,24.84108,121.53492,0.6631659,,0.8,0.002277476,15.0
C2AK30,信賢,2026-06-28,24.84108,121.53492,0.27929604,,0.58,0.05306796,3.7
C2AK30,信賢,2026-06-29,24.84108,121.53492,0.99055535,,0.74,0.9976216,0.0
C2AK30,信賢,2026-06-30,24.84108,121.53492,0.9962034,,0.79,8.6341494e-08,0.0
C2AK30,信賢,2026-07-01,24.84108,121.53492,0.8566843,,0.41,7.6187526e-08,0.0
C2AK30,信賢,2026-07-02,24.84108,121.53492,0.037095923,,0.14,1.5516855e-06,0.0
C2AK30,信賢,2026-07-03,24.84108,121.53492,0.016429866,,0.12,1.02444355e-05,7.4
C2AK30,信賢,2026-07-04,24.84108,121.53492,0.021764597,,0.08,4.561999e-08,3.7
C2AK30,信賢,2026-07-05,24.84108,121.53492,0.027252581,,0.09,3.5924455e-08,3.7
C2AK30,信賢,2026-07-06,24.84108,121.53492,0.043575402,,0.05,0.00276256,7.4
C2AK30,信賢,2026-07-07,24.84108,121.53492,0.05174721,,0.08,0.014084541,0.0
C2AK30,信賢,2026-07-08,24.84108,121.53492,0.03596919,,0.26,0.019472606,7.4
C2AK30,信賢,2026-07-09,24.84108,121.53492,0.020832255,,0.3,0.8278975,0.0
C2AK30,信賢,2026-07-10,24.84108,121.53492,0.016686425,,0.23,0.32784757,
C2AK30,信賢,2026-07-11,24.84108,121.53492,0.015267859,,0.12,0.25118247,
C2AK30,信賢,2026-07-12,24.84108,121.53492,0.01828685,,0.08,0.1969532,
C2AK30,信賢,2026-07-13,24.84108,121.53492,0.024481544,,0.14,0.17265248,
C2AK30,信賢,2026-07-14,24.84108,121.53492,0.04324775,,0.2,0.20884936,
C2AK30,信賢,2026-07-15,24.84108,121.53492,0.13846424,,0.23,0.2544201,
C2AK30,信賢,2026-07-16,24.84108,121.53492,0.52605623,,0.22,0.66348267,
C2AK30,信賢,2026-07-17,24.84108,121.53492,0.7961979,,0.23,0.30578253,
C2AK30,信賢,2026-07-18,24.84108,121.53492,0.6039635,,0.23,0.21845211,
C2AK30,信賢,2026-07-19,24.84108,121.53492,,,0.25,0.18283257,
