站號,站名,日期,lat,lon,BlastGRU-TW,BlastDT2,BlastLSTLS,BLBTSLS,planthopper,BlastGRU-TW_2019,BlastDT2_2019,BlastLSTLS_2019,BlastDT2_2013,BlastLSTLS_2013,BLBTSLS_2013,BlastDT2_2016,BlastLSTLS_2016,BLBTSLS_2016,BlastGRU-TW_2024,BlastDT2_2024,BlastLSTLS_2024,BLBTSLS_2024,planthopper_2024
C2C410,中央大學,2025-03-14,24.967652,121.185165,0.022740895,,0.9,9.306778e-08,0.0,,,,,,,,,,,,,,
C2C410,中央大學,2025-03-15,24.967652,121.185165,0.030770862,,0.94,4.9079592e-08,0.0,,,,,,,,,,,,,,
C2C410,中央大學,2025-03-16,24.967652,121.185165,0.014872819,,0.97,5.055648e-08,0.0,,,,,,,,,,,,,,
C2C410,中央大學,2025-03-17,24.967652,121.185165,0.012283222,,0.99,4.1079065e-09,0.0,,,,,,,,,,,,,,
C2C410,中央大學,2025-03-18,24.967652,121.185165,0.01835425,,0.98,7.098882e-09,0.0,,,,,,,,,,,,,,
C2C410,中央大學,2025-03-19,24.967652,121.185165,0.06520536,,0.94,2.4059496e-08,0.0,,,,,,,,,,,,,,
C2C410,中央大學,2025-03-20,24.967652,121.185165,0.08460885,,0.88,3.315006e-08,0.0,,,,,,,,,,,,,,
C2C410,中央大學,2025-03-21,24.967652,121.185165,0.17108375,,0.92,1.13649445e-08,0.0,,,,,,,,,,,,,,
C2C410,中央大學,2025-03-22,24.967652,121.185165,0.35620987,,0.94,5.5815946e-08,0.0,,,,,,,,,,,,,,
C2C410,中央大學,2025-03-23,24.967652,121.185165,0.23672186,,0.96,1.17317846e-07,0.0,,,,,,,,,,,,,,
C2C410,中央大學,2025-03-24,24.967652,121.185165,0.47455394,,0.95,1.4221087e-06,0.0,,,,,,,,,,,,,,
C2C410,中央大學,2025-03-25,24.967652,121.185165,0.41456652,,0.93,1.6682786e-06,7.4,,,,,,,,,,,,,,
C2C410,中央大學,2025-03-26,24.967652,121.185165,0.08945804,,0.84,7.318447e-08,0.0,,,,,,,,,,,,,,
C2C410,中央大學,2025-03-27,24.967652,121.185165,0.050234996,,0.62,1.7835086e-08,0.0,,,,,,,,,,,,,,
C2C410,中央大學,2025-03-28,24.967652,121.185165,0.087734744,,0.55,1.987425e-08,0.0,,,,,,,,,,,,,,
C2C410,中央大學,2025-03-29,24.967652,121.185165,0.15181759,,0.5,5.830277e-09,0.0,,,,,,,,,,,,,,
C2C410,中央大學,2025-03-30,24.967652,121.185165,0.5198656,,0.29,2.1340012e-09,0.0,,,,,,,,,,,,,,
C2C410,中央大學,2025-03-31,24.967652,121.185165,0.82156366,,0.33,2.3226212e-09,0.0,,,,,,,,,,,,,,
C2C410,中央大學,2025-04-01,24.967652,121.185165,0.8594735,,0.64,4.6725496e-10,0.0,,,,,,,,,,,,,,
C2C410,中央大學,2025-04-02,24.967652,121.185165,0.6193737,,0.66,2.879833e-10,0.0,,,,,,,,,,,,,,
C2C410,中央大學,2025-04-03,24.967652,121.185165,0.45016912,,0.27,2.8094285e-09,0.0,,,,,,,,,,,,,,
C2C410,中央大學,2025-04-04,24.967652,121.185165,0.18430457,,0.38,2.0577843e-08,0.0,,,,,,,,,,,,,,
C2C410,中央大學,2025-04-05,24.967652,121.185165,0.050383985,,0.44,7.954606e-08,0.0,,,,,,,,,,,,,,
C2C410,中央大學,2025-04-06,24.967652,121.185165,0.013678003,,0.16,6.2937275e-08,0.0,,,,,,,,,,,,,,
C2C410,中央大學,2025-04-07,24.967652,121.185165,0.0028705879,,0.14,1.6218014e-08,0.0,,,,,,,,,,,,,,
C2C410,中央大學,2025-04-08,24.967652,121.185165,0.0024574192,,0.17,7.526473e-08,3.7,,,,,,,,,,,,,,
C2C410,中央大學,2025-04-09,24.967652,121.185165,0.001138237,,0.22,4.122209e-08,15.0,,,,,,,,,,,,,,
C2C410,中央大學,2025-04-10,24.967652,121.185165,0.0007906082,,0.31,3.4851865e-08,0.0,,,,,,,,,,,,,,
C2C410,中央大學,2025-04-11,24.967652,121.185165,0.006495347,,0.37,1.1706622e-08,3.7,,,,,,,,,,,,,,
C2C410,中央大學,2025-04-12,24.967652,121.185165,0.046857137,,0.4,5.4069966e-09,0.0,,,,,,,,,,,,,,
C2C410,中央大學,2025-04-13,24.967652,121.185165,0.16029373,,0.44,5.2480633e-09,11.0,,,,,,,,,,,,,,
C2C410,中央大學,2025-04-14,24.967652,121.185165,0.7660423,,0.65,2.5253157e-09,0.0,,,,,,,,,,,,,,
C2C410,中央大學,2025-04-15,24.967652,121.185165,0.9394332,,0.81,1.5921863e-09,0.0,,,,,,,,,,,,,,
C2C410,中央大學,2025-04-16,24.967652,121.185165,0.91468126,,0.97,2.1593867e-09,0.0,,,,,,,,,,,,,,
C2C410,中央大學,2025-04-17,24.967652,121.185165,0.6897287,,0.99,9.570384e-10,0.0,,,,,,,,,,,,,,
C2C410,中央大學,2025-04-18,24.967652,121.185165,0.61070895,,0.98,8.0968815e-10,0.0,,,,,,,,,,,,,,
C2C410,中央大學,2025-04-19,24.967652,121.185165,0.36037365,,0.97,1.5548169e-09,7.4,,,,,,,,,,,,,,
C2C410,中央大學,2025-04-20,24.967652,121.185165,0.5042508,,0.89,1.9048236e-09,0.0,,,,,,,,,,,,,,
C2C410,中央大學,2025-04-21,24.967652,121.185165,0.8438549,,0.75,3.3149599e-09,3.7,,,,,,,,,,,,,,
C2C410,中央大學,2025-04-22,24.967652,121.185165,0.8256615,,0.73,0.8909512,,,,,,,,,,,,,,,
C2C410,中央大學,2025-04-23,24.967652,121.185165,0.7972296,,0.72,0.11634601,,,,,,,,,,,,,,,
C2C410,中央大學,2025-04-24,24.967652,121.185165,0.8642952,,0.66,0.0005313524,,,,,,,,,,,,,,,
C2C410,中央大學,2025-04-25,24.967652,121.185165,0.9434289,,0.75,0.0012319314,,,,,,,,,,,,,,,
C2C410,中央大學,2025-04-26,24.967652,121.185165,0.9811054,,0.95,0.0010856636,,,,,,,,,,,,,,,
C2C410,中央大學,2025-04-27,24.967652,121.185165,0.99098104,,0.97,9.417747e-07,,,,,,,,,,,,,,,
C2C410,中央大學,2025-04-28,24.967652,121.185165,0.9937431,,0.99,5.542766e-08,,,,,,,,,,,,,,,
C2C410,中央大學,2025-04-29,24.967652,121.185165,0.99662244,,0.99,6.5664426e-06,,,,,,,,,,,,,,,
C2C410,中央大學,2025-04-30,24.967652,121.185165,0.9980777,,0.99,0.011386202,,,,,,,,,,,,,,,
C2C410,中央大學,2025-05-01,24.967652,121.185165,,,0.97,0.07760473,,,,,,,,,,,,,,,
