站號,站名,日期,lat,lon,BlastGRU-TW,BlastDT2,BlastLSTLS,planthopper
C2D730,寶山農場,2025-01-19,24.732444,120.976153,0.0002659943,,0.07,0.0
C2D730,寶山農場,2025-01-20,24.732444,120.976153,0.00028398487,,0.06,0.0
C2D730,寶山農場,2025-01-21,24.732444,120.976153,0.00030425223,,0.04,0.0
C2D730,寶山農場,2025-01-22,24.732444,120.976153,0.00027237166,,0.04,0.0
C2D730,寶山農場,2025-01-23,24.732444,120.976153,0.0004763874,,0.05,0.0
C2D730,寶山農場,2025-01-24,24.732444,120.976153,0.0008352455,,0.05,0.0
C2D730,寶山農場,2025-01-25,24.732444,120.976153,0.0012173628,,0.04,0.0
C2D730,寶山農場,2025-01-26,24.732444,120.976153,0.0021615822,,0.04,0.0
C2D730,寶山農場,2025-01-27,24.732444,120.976153,0.0029159912,,0.04,0.0
C2D730,寶山農場,2025-01-28,24.732444,120.976153,0.0008344256,,0.04,0.0
C2D730,寶山農場,2025-01-29,24.732444,120.976153,0.0011426553,,0.1,0.0
C2D730,寶山農場,2025-01-30,24.732444,120.976153,0.0011772627,,0.13,0.0
C2D730,寶山農場,2025-01-31,24.732444,120.976153,0.0006262142,,0.06,0.0
C2D730,寶山農場,2025-02-01,24.732444,120.976153,0.00048868376,,0.08,0.0
C2D730,寶山農場,2025-02-02,24.732444,120.976153,0.0005340114,,0.12,0.0
C2D730,寶山農場,2025-02-03,24.732444,120.976153,0.0005674528,,0.12,0.0
C2D730,寶山農場,2025-02-04,24.732444,120.976153,0.0007368392,,0.14,0.0
C2D730,寶山農場,2025-02-05,24.732444,120.976153,0.00077861483,,0.08,0.0
C2D730,寶山農場,2025-02-06,24.732444,120.976153,0.0014231721,,0.05,0.0
C2D730,寶山農場,2025-02-07,24.732444,120.976153,0.00072405394,,0.05,0.0
C2D730,寶山農場,2025-02-08,24.732444,120.976153,0.00085915846,,0.15,0.0
C2D730,寶山農場,2025-02-09,24.732444,120.976153,0.0014826703,,0.09,0.0
C2D730,寶山農場,2025-02-10,24.732444,120.976153,0.0010284784,,0.06,0.0
C2D730,寶山農場,2025-02-11,24.732444,120.976153,0.00032509223,,0.06,0.0
C2D730,寶山農場,2025-02-12,24.732444,120.976153,0.00042191343,,0.08,0.0
C2D730,寶山農場,2025-02-13,24.732444,120.976153,0.00072535063,,0.06,0.0
C2D730,寶山農場,2025-02-14,24.732444,120.976153,0.00076945865,,0.05,0.0
C2D730,寶山農場,2025-02-15,24.732444,120.976153,0.00089015294,,0.06,0.0
C2D730,寶山農場,2025-02-16,24.732444,120.976153,0.00038212704,,0.1,0.0
C2D730,寶山農場,2025-02-17,24.732444,120.976153,0.0004945005,,0.17,0.0
C2D730,寶山農場,2025-02-18,24.732444,120.976153,0.00057851564,,0.16,0.0
C2D730,寶山農場,2025-02-19,24.732444,120.976153,0.00033978024,,0.15,0.0
C2D730,寶山農場,2025-02-20,24.732444,120.976153,0.0005295547,,0.21,0.0
C2D730,寶山農場,2025-02-21,24.732444,120.976153,0.00072201405,,0.08,0.0
C2D730,寶山農場,2025-02-22,24.732444,120.976153,0.0008860805,,0.05,0.0
C2D730,寶山農場,2025-02-23,24.732444,120.976153,0.0009098891,,0.05,0.0
C2D730,寶山農場,2025-02-24,24.732444,120.976153,0.0006995904,,0.05,0.0
C2D730,寶山農場,2025-02-25,24.732444,120.976153,0.0007608957,,0.06,
C2D730,寶山農場,2025-02-26,24.732444,120.976153,0.00063904526,,0.06,
C2D730,寶山農場,2025-02-27,24.732444,120.976153,0.0006181399,,0.16,
C2D730,寶山農場,2025-02-28,24.732444,120.976153,0.0007036666,,0.07,
C2D730,寶山農場,2025-03-01,24.732444,120.976153,0.00057122495,,0.05,
C2D730,寶山農場,2025-03-02,24.732444,120.976153,0.00027950364,,0.06,
C2D730,寶山農場,2025-03-03,24.732444,120.976153,0.00033962022,,0.19,
C2D730,寶山農場,2025-03-04,24.732444,120.976153,0.00054150535,,0.09,
C2D730,寶山農場,2025-03-05,24.732444,120.976153,0.0011975237,,0.06,
C2D730,寶山農場,2025-03-06,24.732444,120.976153,,,0.1,
