站號,站名,日期,lat,lon,BlastGRU-TW,BlastDT2,BlastLSTLS,BLBTSLS,planthopper
C2H9E0,國姓南港,2025-04-29,23.911108,120.846556,0.05373548,,0.59,8.948868e-10,0.0
C2H9E0,國姓南港,2025-04-30,23.911108,120.846556,0.06741521,,0.49,1.1806515e-09,0.0
C2H9E0,國姓南港,2025-05-01,23.911108,120.846556,0.15259857,,0.5,2.288196e-09,0.0
C2H9E0,國姓南港,2025-05-02,23.911108,120.846556,0.12068418,,0.5,1.0773046e-09,0.0
C2H9E0,國姓南港,2025-05-03,23.911108,120.846556,0.09165364,,0.54,1.5054633e-09,0.0
C2H9E0,國姓南港,2025-05-04,23.911108,120.846556,0.052185353,,0.5,1.1957381e-09,3.7
C2H9E0,國姓南港,2025-05-05,23.911108,120.846556,0.022537813,,0.58,9.403159e-10,7.4
C2H9E0,國姓南港,2025-05-06,23.911108,120.846556,0.005195977,,0.56,6.989167e-10,0.0
C2H9E0,國姓南港,2025-05-07,23.911108,120.846556,0.010041992,,0.46,4.9012655e-10,0.0
C2H9E0,國姓南港,2025-05-08,23.911108,120.846556,0.04196677,,0.47,4.598108e-10,0.0
C2H9E0,國姓南港,2025-05-09,23.911108,120.846556,0.15278679,,0.55,8.816214e-10,0.0
C2H9E0,國姓南港,2025-05-10,23.911108,120.846556,0.26796716,,0.75,1.2615692e-09,0.0
C2H9E0,國姓南港,2025-05-11,23.911108,120.846556,0.27844703,,0.93,1.4834186e-09,0.0
C2H9E0,國姓南港,2025-05-12,23.911108,120.846556,0.40792897,,0.94,3.2494727e-09,0.0
C2H9E0,國姓南港,2025-05-13,23.911108,120.846556,0.4028843,,0.9,2.6540095e-09,0.0
C2H9E0,國姓南港,2025-05-14,23.911108,120.846556,0.48012513,,0.82,3.471008e-09,0.0
C2H9E0,國姓南港,2025-05-15,23.911108,120.846556,0.38330436,,0.83,5.9317675e-09,0.0
C2H9E0,國姓南港,2025-05-16,23.911108,120.846556,0.23541325,,0.86,5.8411853e-09,3.7
C2H9E0,國姓南港,2025-05-17,23.911108,120.846556,0.23218933,,0.93,3.510202e-09,3.7
C2H9E0,國姓南港,2025-05-18,23.911108,120.846556,0.43380505,,0.97,1.8798185e-09,11.0
C2H9E0,國姓南港,2025-05-19,23.911108,120.846556,0.7357525,,0.98,9.972032e-10,11.0
C2H9E0,國姓南港,2025-05-20,23.911108,120.846556,0.5751481,,0.99,1.03859e-09,3.7
C2H9E0,國姓南港,2025-05-21,23.911108,120.846556,0.068196155,,0.99,1.1455125e-09,7.4
C2H9E0,國姓南港,2025-05-22,23.911108,120.846556,0.024617868,,0.99,1.3360735e-09,7.4
C2H9E0,國姓南港,2025-05-23,23.911108,120.846556,0.054496363,,0.99,1.8161537e-09,3.7
C2H9E0,國姓南港,2025-05-24,23.911108,120.846556,0.121344544,,0.99,2.7026617e-09,0.0
C2H9E0,國姓南港,2025-05-25,23.911108,120.846556,0.28157973,,0.99,3.1292997e-09,0.0
C2H9E0,國姓南港,2025-05-26,23.911108,120.846556,0.5464765,,0.99,2.0610593e-09,0.0
C2H9E0,國姓南港,2025-05-27,23.911108,120.846556,0.6395174,,0.98,1.360475e-09,0.0
C2H9E0,國姓南港,2025-05-28,23.911108,120.846556,0.8267704,,0.99,1.4265598e-09,0.0
C2H9E0,國姓南港,2025-05-29,23.911108,120.846556,0.88398135,,0.99,1.8482723e-09,0.0
C2H9E0,國姓南港,2025-05-30,23.911108,120.846556,0.88830817,,0.99,1.8262167e-09,3.7
C2H9E0,國姓南港,2025-05-31,23.911108,120.846556,0.8807137,,0.97,4.5926414e-09,0.0
C2H9E0,國姓南港,2025-06-01,23.911108,120.846556,0.869551,,0.97,2.8114762e-09,15.0
C2H9E0,國姓南港,2025-06-02,23.911108,120.846556,0.78109866,,0.92,8.66865e-09,7.4
C2H9E0,國姓南港,2025-06-03,23.911108,120.846556,0.43977883,,0.87,4.12449e-08,0.0
C2H9E0,國姓南港,2025-06-04,23.911108,120.846556,0.5852014,,0.87,2.1068887e-08,0.0
C2H9E0,國姓南港,2025-06-05,23.911108,120.846556,0.70218164,,0.94,1.4995006e-08,0.0
C2H9E0,國姓南港,2025-06-06,23.911108,120.846556,0.83482575,,0.98,1.0147309e-08,0.0
C2H9E0,國姓南港,2025-06-07,23.911108,120.846556,0.88584477,,0.99,5.891795e-09,
C2H9E0,國姓南港,2025-06-08,23.911108,120.846556,0.83522654,,0.99,2.8072337e-08,
C2H9E0,國姓南港,2025-06-09,23.911108,120.846556,0.67620486,,0.99,5.221188e-08,
C2H9E0,國姓南港,2025-06-10,23.911108,120.846556,0.53042126,,0.99,9.912418e-06,
C2H9E0,國姓南港,2025-06-11,23.911108,120.846556,0.5420663,,1.0,3.7855592e-05,
C2H9E0,國姓南港,2025-06-12,23.911108,120.846556,0.65196943,,1.0,0.0005113028,
C2H9E0,國姓南港,2025-06-13,23.911108,120.846556,0.72698194,,1.0,0.0010022451,
C2H9E0,國姓南港,2025-06-14,23.911108,120.846556,0.82308733,,1.0,0.0031912422,
C2H9E0,國姓南港,2025-06-15,23.911108,120.846556,0.87338036,,1.0,0.00639936,
C2H9E0,國姓南港,2025-06-16,23.911108,120.846556,,,0.99,0.69902986,
