站號,站名,日期,lat,lon,BlastGRU-TW,BlastDT2,BlastLSTLS,BLBTSLS,planthopper
C2H9F0,柑林,2025-05-11,24.018658,120.847072,0.99862343,,0.93,0.15156321,0.0
C2H9F0,柑林,2025-05-12,24.018658,120.847072,0.99728227,,0.86,0.007233127,0.0
C2H9F0,柑林,2025-05-13,24.018658,120.847072,0.89814675,,0.88,0.004662951,0.0
C2H9F0,柑林,2025-05-14,24.018658,120.847072,0.8762137,,0.76,0.0061858837,0.0
C2H9F0,柑林,2025-05-15,24.018658,120.847072,0.21653473,,0.8,0.0014269861,0.0
C2H9F0,柑林,2025-05-16,24.018658,120.847072,0.027349388,,0.81,2.2032802e-08,3.7
C2H9F0,柑林,2025-05-17,24.018658,120.847072,0.011194751,,0.89,9.654875e-09,3.7
C2H9F0,柑林,2025-05-18,24.018658,120.847072,0.008971458,,0.96,3.0035059e-09,11.0
C2H9F0,柑林,2025-05-19,24.018658,120.847072,0.013985302,,0.99,1.0292935e-09,11.0
C2H9F0,柑林,2025-05-20,24.018658,120.847072,0.04333928,,1.0,8.993837e-10,3.7
C2H9F0,柑林,2025-05-21,24.018658,120.847072,0.060687765,,1.0,1.8116801e-09,7.4
C2H9F0,柑林,2025-05-22,24.018658,120.847072,0.38303807,,1.0,1.0166502e-09,7.4
C2H9F0,柑林,2025-05-23,24.018658,120.847072,0.93488806,,0.99,0.00017792522,3.7
C2H9F0,柑林,2025-05-24,24.018658,120.847072,0.98916644,,0.98,0.54781854,0.0
C2H9F0,柑林,2025-05-25,24.018658,120.847072,0.9963742,,0.97,0.9833963,0.0
C2H9F0,柑林,2025-05-26,24.018658,120.847072,0.9979086,,0.97,0.9793436,0.0
C2H9F0,柑林,2025-05-27,24.018658,120.847072,0.9986907,,0.97,0.92855704,0.0
C2H9F0,柑林,2025-05-28,24.018658,120.847072,0.99825865,,0.96,0.9882477,0.0
C2H9F0,柑林,2025-05-29,24.018658,120.847072,0.9973112,,0.96,0.96513677,0.0
C2H9F0,柑林,2025-05-30,24.018658,120.847072,0.9947182,,0.9,5.8422025e-08,15.0
C2H9F0,柑林,2025-05-31,24.018658,120.847072,0.9931921,,0.79,1.271214e-07,0.0
C2H9F0,柑林,2025-06-01,24.018658,120.847072,0.99809015,,0.59,1.8568986e-08,0.0
C2H9F0,柑林,2025-06-02,24.018658,120.847072,0.9960969,,0.09,2.5202068e-08,0.0
C2H9F0,柑林,2025-06-03,24.018658,120.847072,0.38142806,,0.15,1.07103816e-07,0.0
C2H9F0,柑林,2025-06-04,24.018658,120.847072,0.16237421,,0.45,1.4968002e-08,0.0
C2H9F0,柑林,2025-06-05,24.018658,120.847072,0.11642071,,0.7,7.481072e-09,0.0
C2H9F0,柑林,2025-06-06,24.018658,120.847072,0.09333435,,0.46,3.0953269e-09,0.0
C2H9F0,柑林,2025-06-07,24.018658,120.847072,0.0718788,,0.29,2.3502327e-09,0.0
C2H9F0,柑林,2025-06-08,24.018658,120.847072,0.04057964,,0.41,3.95737e-08,0.0
C2H9F0,柑林,2025-06-09,24.018658,120.847072,0.024110267,,0.45,1.4797872e-07,0.0
C2H9F0,柑林,2025-06-10,24.018658,120.847072,0.016754378,,0.59,0.446038,0.0
C2H9F0,柑林,2025-06-11,24.018658,120.847072,0.015850857,,0.72,0.11730234,3.7
C2H9F0,柑林,2025-06-12,24.018658,120.847072,0.020240562,,0.85,0.08417646,37.0
C2H9F0,柑林,2025-06-13,24.018658,120.847072,0.038662337,,0.87,0.09390042,22.0
C2H9F0,柑林,2025-06-14,24.018658,120.847072,0.059591327,,0.81,0.6166683,33.0
C2H9F0,柑林,2025-06-15,24.018658,120.847072,0.033054892,,0.46,0.13167986,0.0
C2H9F0,柑林,2025-06-16,24.018658,120.847072,0.050134737,,0.52,0.056638572,0.0
C2H9F0,柑林,2025-06-17,24.018658,120.847072,0.023986824,,0.28,0.708536,0.0
C2H9F0,柑林,2025-06-18,24.018658,120.847072,0.030758351,,0.44,0.88462794,0.0
C2H9F0,柑林,2025-06-19,24.018658,120.847072,0.06965841,,0.73,0.13219495,
C2H9F0,柑林,2025-06-20,24.018658,120.847072,0.0909058,,0.86,0.051957943,
C2H9F0,柑林,2025-06-21,24.018658,120.847072,0.050832916,,0.91,0.75758094,
C2H9F0,柑林,2025-06-22,24.018658,120.847072,0.13124968,,0.92,0.6479071,
C2H9F0,柑林,2025-06-23,24.018658,120.847072,0.39326248,,0.93,0.14990675,
C2H9F0,柑林,2025-06-24,24.018658,120.847072,0.5475927,,0.94,0.016008787,
C2H9F0,柑林,2025-06-25,24.018658,120.847072,0.5320827,,0.94,0.11254415,
C2H9F0,柑林,2025-06-26,24.018658,120.847072,0.47357798,,0.87,0.12042388,
C2H9F0,柑林,2025-06-27,24.018658,120.847072,0.41589153,,0.61,0.13561296,
C2H9F0,柑林,2025-06-28,24.018658,120.847072,,,0.53,0.35788175,
