站號,站名,日期,lat,lon,BlastGRU-TW,BlastDT2,BlastLSTLS,BLBTSLS,planthopper
C2H9L0,馬烈霸,2026-08-14,24.1512,121.201772,0.21685615,0.0,0.59,1.4117193e-08,0.0
C2H9L0,馬烈霸,2026-08-15,24.1512,121.201772,0.12202538,0.0,0.56,1.4236846e-08,0.0
C2H9L0,馬烈霸,2026-08-16,24.1512,121.201772,0.18709618,1.0,0.65,5.6692513e-09,0.0
C2H9L0,馬烈霸,2026-08-17,24.1512,121.201772,0.39454794,1.0,0.84,4.149438e-09,0.0
C2H9L0,馬烈霸,2026-08-18,24.1512,121.201772,0.50930357,1.0,0.9,4.1017607e-09,0.0
C2H9L0,馬烈霸,2026-08-19,24.1512,121.201772,0.17417811,1.0,0.98,4.588071e-09,0.0
C2H9L0,馬烈霸,2026-08-20,24.1512,121.201772,0.15548852,1.0,0.97,6.4452377e-09,0.0
C2H9L0,馬烈霸,2026-08-21,24.1512,121.201772,0.08017093,1.0,0.99,2.9677611e-09,7.4
C2H9L0,馬烈霸,2026-08-22,24.1512,121.201772,0.16151312,1.0,0.99,2.7772487e-09,15.0
C2H9L0,馬烈霸,2026-08-23,24.1512,121.201772,0.16074991,0.0,0.99,1.2801314e-09,11.0
C2H9L0,馬烈霸,2026-08-24,24.1512,121.201772,0.4282302,0.0,0.99,9.701278e-10,0.0
C2H9L0,馬烈霸,2026-08-25,24.1512,121.201772,0.6597099,1.0,0.99,1.3464574e-09,0.0
C2H9L0,馬烈霸,2026-08-26,24.1512,121.201772,0.8296378,1.0,0.98,3.7927776e-09,0.0
C2H9L0,馬烈霸,2026-08-27,24.1512,121.201772,0.96610147,1.0,0.97,6.6383756e-09,3.7
C2H9L0,馬烈霸,2026-08-28,24.1512,121.201772,0.9769291,1.0,0.97,1.4929766e-08,0.0
C2H9L0,馬烈霸,2026-08-29,24.1512,121.201772,0.9738048,0.0,0.94,3.531391e-08,19.0
C2H9L0,馬烈霸,2026-08-30,24.1512,121.201772,0.9673518,0.0,0.91,4.95002e-08,26.0
C2H9L0,馬烈霸,2026-08-31,24.1512,121.201772,0.9034066,1.0,0.91,3.356655e-08,3.7
C2H9L0,馬烈霸,2026-09-01,24.1512,121.201772,0.50574934,0.0,0.9,6.0348775e-08,19.0
C2H9L0,馬烈霸,2026-09-02,24.1512,121.201772,0.5659185,1.0,0.93,4.0524217e-08,19.0
C2H9L0,馬烈霸,2026-09-03,24.1512,121.201772,0.49635237,1.0,0.96,2.6393058e-08,0.0
C2H9L0,馬烈霸,2026-09-04,24.1512,121.201772,0.30971643,1.0,0.97,1.9160257e-08,0.0
C2H9L0,馬烈霸,2026-09-05,24.1512,121.201772,0.2801382,1.0,0.98,7.3559487e-09,0.0
C2H9L0,馬烈霸,2026-09-06,24.1512,121.201772,0.2719724,0.0,0.98,9.796934e-09,0.0
C2H9L0,馬烈霸,2026-09-07,24.1512,121.201772,0.17913942,1.0,0.97,1.1229411e-08,0.0
C2H9L0,馬烈霸,2026-09-08,24.1512,121.201772,0.24164143,1.0,0.95,1.9055294e-08,0.0
C2H9L0,馬烈霸,2026-09-09,24.1512,121.201772,0.29072362,0.0,0.94,2.314353e-08,0.0
C2H9L0,馬烈霸,2026-09-10,24.1512,121.201772,0.540099,0.0,0.95,3.3372608e-08,0.0
C2H9L0,馬烈霸,2026-09-11,24.1512,121.201772,0.6776581,1.0,0.94,1.1432975e-08,0.0
C2H9L0,馬烈霸,2026-09-12,24.1512,121.201772,0.83250207,0.0,0.94,2.8218356e-08,0.0
C2H9L0,馬烈霸,2026-09-13,24.1512,121.201772,0.90384275,0.0,0.94,1.0394228e-08,0.0
C2H9L0,馬烈霸,2026-09-14,24.1512,121.201772,0.92343,0.0,0.97,1.0899624e-08,0.0
C2H9L0,馬烈霸,2026-09-15,24.1512,121.201772,0.7906204,1.0,0.98,5.0329394e-09,0.0
C2H9L0,馬烈霸,2026-09-16,24.1512,121.201772,0.08643342,0.0,0.99,3.784973e-09,0.0
C2H9L0,馬烈霸,2026-09-17,24.1512,121.201772,0.09830503,0.0,0.99,2.1842492e-09,0.0
C2H9L0,馬烈霸,2026-09-18,24.1512,121.201772,0.13710466,,0.99,2.640785e-09,0.0
C2H9L0,馬烈霸,2026-09-19,24.1512,121.201772,0.18915772,,0.99,6.7873023e-09,0.0
C2H9L0,馬烈霸,2026-09-20,24.1512,121.201772,0.31780443,,0.99,1.515175e-08,0.0
C2H9L0,馬烈霸,2026-09-21,24.1512,121.201772,0.4417197,,0.99,1.4032415e-08,0.0
C2H9L0,馬烈霸,2026-09-22,24.1512,121.201772,0.56542796,,0.99,1.269458e-08,
C2H9L0,馬烈霸,2026-09-23,24.1512,121.201772,0.59823084,,0.99,1.531282e-08,
C2H9L0,馬烈霸,2026-09-24,24.1512,121.201772,0.4445918,,0.99,2.3944633e-08,
C2H9L0,馬烈霸,2026-09-25,24.1512,121.201772,0.22925578,,1.0,1.6431736e-08,
C2H9L0,馬烈霸,2026-09-26,24.1512,121.201772,0.09853067,,0.99,1.7441021e-08,
C2H9L0,馬烈霸,2026-09-27,24.1512,121.201772,0.08779004,,0.96,1.4479951e-08,
C2H9L0,馬烈霸,2026-09-28,24.1512,121.201772,0.057166222,,0.93,1.6593082e-08,
C2H9L0,馬烈霸,2026-09-29,24.1512,121.201772,0.057182726,,0.54,1.6567848e-08,
C2H9L0,馬烈霸,2026-09-30,24.1512,121.201772,0.03058413,,0.35,1.3745133e-08,
C2H9L0,馬烈霸,2026-10-01,24.1512,121.201772,,,0.25,1.096192e-08,
