站號,站名,日期,lat,lon,BlastGRU-TW,BlastDT2,BlastLSTLS,BLBTSLS,planthopper
C2M9B0,西興,2026-08-21,23.2428,120.57617,0.031942554,,0.99,0.5662662,0.0
C2M9B0,西興,2026-08-22,23.2428,120.57617,0.08425061,,0.97,0.064791255,11.0
C2M9B0,西興,2026-08-23,23.2428,120.57617,0.061838355,,0.94,0.0025994948,11.0
C2M9B0,西興,2026-08-24,23.2428,120.57617,0.99428564,,0.94,0.0060406188,0.0
C2M9B0,西興,2026-08-25,23.2428,120.57617,0.99701697,,0.96,0.13729326,0.0
C2M9B0,西興,2026-08-26,23.2428,120.57617,0.99799657,,0.91,0.17578211,0.0
C2M9B0,西興,2026-08-27,23.2428,120.57617,0.99863356,,0.93,0.25758955,0.0
C2M9B0,西興,2026-08-28,23.2428,120.57617,0.8135003,,0.53,0.55200344,0.0
C2M9B0,西興,2026-08-29,23.2428,120.57617,0.89441174,,0.44,0.7666469,30.0
C2M9B0,西興,2026-08-30,23.2428,120.57617,0.14736396,,0.67,0.99051094,11.0
C2M9B0,西興,2026-08-31,23.2428,120.57617,0.01693763,,0.93,0.97177625,7.4
C2M9B0,西興,2026-09-01,23.2428,120.57617,0.009697861,,0.92,0.99218464,15.0
C2M9B0,西興,2026-09-02,23.2428,120.57617,0.007811766,,0.96,0.997197,30.0
C2M9B0,西興,2026-09-03,23.2428,120.57617,0.009240863,,0.99,0.98909,3.7
C2M9B0,西興,2026-09-04,23.2428,120.57617,0.012379435,,0.99,0.9777177,11.0
C2M9B0,西興,2026-09-05,23.2428,120.57617,0.031984992,,1.0,0.99850434,0.0
C2M9B0,西興,2026-09-06,23.2428,120.57617,0.04115386,,1.0,0.9386924,0.0
C2M9B0,西興,2026-09-07,23.2428,120.57617,0.09728471,,0.99,0.99979407,0.0
C2M9B0,西興,2026-09-08,23.2428,120.57617,0.2993261,,0.99,0.99963087,0.0
C2M9B0,西興,2026-09-09,23.2428,120.57617,0.8549009,,0.99,0.7764778,0.0
C2M9B0,西興,2026-09-10,23.2428,120.57617,0.97277063,,0.99,0.0025248097,0.0
C2M9B0,西興,2026-09-11,23.2428,120.57617,0.9956338,,0.99,0.000118012686,0.0
C2M9B0,西興,2026-09-12,23.2428,120.57617,0.99857455,,0.99,2.02776e-06,0.0
C2M9B0,西興,2026-09-13,23.2428,120.57617,0.99955016,,0.97,6.203531e-08,0.0
C2M9B0,西興,2026-09-14,23.2428,120.57617,0.9997035,,0.95,8.8887084e-08,0.0
C2M9B0,西興,2026-09-15,23.2428,120.57617,0.99778605,,0.87,5.914587e-07,0.0
C2M9B0,西興,2026-09-16,23.2428,120.57617,0.9835997,,0.4,3.5022786e-05,0.0
C2M9B0,西興,2026-09-17,23.2428,120.57617,0.97925436,,0.36,0.0027545555,0.0
C2M9B0,西興,2026-09-18,23.2428,120.57617,0.9854877,,0.4,0.0015260043,0.0
C2M9B0,西興,2026-09-19,23.2428,120.57617,0.98728305,,0.3,0.0029420755,0.0
C2M9B0,西興,2026-09-20,23.2428,120.57617,0.98354286,,0.2,0.010067185,0.0
C2M9B0,西興,2026-09-21,23.2428,120.57617,0.9733426,,0.14,0.08853633,0.0
C2M9B0,西興,2026-09-22,23.2428,120.57617,0.95564365,,0.12,0.06586252,0.0
C2M9B0,西興,2026-09-23,23.2428,120.57617,0.9082768,,0.1,0.66943806,0.0
C2M9B0,西興,2026-09-24,23.2428,120.57617,0.8125668,,0.12,0.0016812835,0.0
C2M9B0,西興,2026-09-25,23.2428,120.57617,0.7841163,,0.12,0.9256866,0.0
C2M9B0,西興,2026-09-26,23.2428,120.57617,0.8339482,,0.14,0.9914433,11.0
C2M9B0,西興,2026-09-27,23.2428,120.57617,0.9136959,,0.32,0.9976313,7.4
C2M9B0,西興,2026-09-28,23.2428,120.57617,0.90721565,,0.47,0.998553,0.0
C2M9B0,西興,2026-09-29,23.2428,120.57617,0.8794494,,0.68,0.9981574,
C2M9B0,西興,2026-09-30,23.2428,120.57617,0.8023086,,0.76,0.9989725,
C2M9B0,西興,2026-10-01,23.2428,120.57617,0.8109338,,0.84,0.9912486,
C2M9B0,西興,2026-10-02,23.2428,120.57617,0.85322297,,0.88,0.98784006,
C2M9B0,西興,2026-10-03,23.2428,120.57617,0.8679965,,0.92,0.9811488,
C2M9B0,西興,2026-10-04,23.2428,120.57617,0.88026667,,0.94,0.95561916,
C2M9B0,西興,2026-10-05,23.2428,120.57617,0.8789986,,0.96,0.8100036,
C2M9B0,西興,2026-10-06,23.2428,120.57617,0.8610625,,0.97,0.64657265,
C2M9B0,西興,2026-10-07,23.2428,120.57617,0.80641824,,0.97,0.7406278,
C2M9B0,西興,2026-10-08,23.2428,120.57617,,,0.97,0.6268417,
