站號,站名,日期,lat,lon,BlastGRU-TW,BlastDT2,BlastLSTLS,BLBTSLS,planthopper
C2N160,西拉雅風管處,2026-03-24,23.189481,120.335297,0.5827613,1.0,0.91,0.00031396135,0.0
C2N160,西拉雅風管處,2026-03-25,23.189481,120.335297,0.25299436,1.0,0.94,0.00011557476,0.0
C2N160,西拉雅風管處,2026-03-26,23.189481,120.335297,0.1432024,1.0,0.87,0.0033213762,0.0
C2N160,西拉雅風管處,2026-03-27,23.189481,120.335297,0.24044225,1.0,0.8,0.23538662,0.0
C2N160,西拉雅風管處,2026-03-28,23.189481,120.335297,0.18594724,1.0,0.85,0.3310114,0.0
C2N160,西拉雅風管處,2026-03-29,23.189481,120.335297,0.20720048,1.0,0.78,0.7326434,0.0
C2N160,西拉雅風管處,2026-03-30,23.189481,120.335297,0.2546253,1.0,0.45,0.99456537,0.0
C2N160,西拉雅風管處,2026-03-31,23.189481,120.335297,0.32772776,1.0,0.64,0.9960424,3.7
C2N160,西拉雅風管處,2026-04-01,23.189481,120.335297,0.31095546,1.0,0.68,0.9995265,0.0
C2N160,西拉雅風管處,2026-04-02,23.189481,120.335297,0.66420346,1.0,0.72,0.9993532,11.0
C2N160,西拉雅風管處,2026-04-03,23.189481,120.335297,0.8249371,1.0,0.65,0.99952435,3.7
C2N160,西拉雅風管處,2026-04-04,23.189481,120.335297,0.8562092,0.0,0.93,0.9993433,0.0
C2N160,西拉雅風管處,2026-04-05,23.189481,120.335297,0.8910691,0.0,0.83,0.9990878,7.4
C2N160,西拉雅風管處,2026-04-06,23.189481,120.335297,0.9105479,1.0,0.35,0.99901354,0.0
C2N160,西拉雅風管處,2026-04-07,23.189481,120.335297,0.93731517,1.0,0.6,0.051884603,0.0
C2N160,西拉雅風管處,2026-04-08,23.189481,120.335297,0.97351515,0.0,0.72,0.00028992828,0.0
C2N160,西拉雅風管處,2026-04-09,23.189481,120.335297,0.98031527,1.0,0.96,5.865711e-07,0.0
C2N160,西拉雅風管處,2026-04-10,23.189481,120.335297,0.9879331,1.0,0.97,2.2990011e-07,0.0
C2N160,西拉雅風管處,2026-04-11,23.189481,120.335297,0.95865506,1.0,0.98,2.1676385e-06,0.0
C2N160,西拉雅風管處,2026-04-12,23.189481,120.335297,0.45425108,1.0,1.0,6.0295395e-07,0.0
C2N160,西拉雅風管處,2026-04-13,23.189481,120.335297,0.28148234,1.0,1.0,3.3617816e-05,0.0
C2N160,西拉雅風管處,2026-04-14,23.189481,120.335297,0.4020608,1.0,1.0,1.6007845e-05,0.0
C2N160,西拉雅風管處,2026-04-15,23.189481,120.335297,0.8553664,0.0,1.0,1.2568057e-06,0.0
C2N160,西拉雅風管處,2026-04-16,23.189481,120.335297,0.98013794,0.0,1.0,0.5876233,11.0
C2N160,西拉雅風管處,2026-04-17,23.189481,120.335297,0.96098185,0.0,0.99,0.82069784,26.0
C2N160,西拉雅風管處,2026-04-18,23.189481,120.335297,0.7151997,0.0,0.99,0.7531071,0.0
C2N160,西拉雅風管處,2026-04-19,23.189481,120.335297,0.63450724,1.0,0.99,0.010873365,0.0
C2N160,西拉雅風管處,2026-04-20,23.189481,120.335297,0.7166876,1.0,0.99,0.778379,0.0
C2N160,西拉雅風管處,2026-04-21,23.189481,120.335297,0.86112595,1.0,0.99,0.87082386,3.7
C2N160,西拉雅風管處,2026-04-22,23.189481,120.335297,0.9272308,1.0,0.99,0.4806633,7.4
C2N160,西拉雅風管處,2026-04-23,23.189481,120.335297,0.9622874,1.0,0.98,0.9500435,3.7
C2N160,西拉雅風管處,2026-04-24,23.189481,120.335297,0.97819453,1.0,0.97,0.98465097,0.0
C2N160,西拉雅風管處,2026-04-25,23.189481,120.335297,0.97895825,0.0,0.94,0.9663175,0.0
C2N160,西拉雅風管處,2026-04-26,23.189481,120.335297,0.9810693,0.0,0.95,0.98761475,0.0
C2N160,西拉雅風管處,2026-04-27,23.189481,120.335297,0.9911551,0.0,0.93,0.90227085,0.0
C2N160,西拉雅風管處,2026-04-28,23.189481,120.335297,0.9848954,,0.95,0.99951977,0.0
C2N160,西拉雅風管處,2026-04-29,23.189481,120.335297,0.96355855,,0.94,0.9993217,0.0
C2N160,西拉雅風管處,2026-04-30,23.189481,120.335297,0.8487533,,0.94,0.9996755,0.0
C2N160,西拉雅風管處,2026-05-01,23.189481,120.335297,0.74426645,,0.81,0.999662,0.0
C2N160,西拉雅風管處,2026-05-02,23.189481,120.335297,0.8546833,,0.92,0.99994606,
C2N160,西拉雅風管處,2026-05-03,23.189481,120.335297,0.84042126,,0.94,0.9999618,
C2N160,西拉雅風管處,2026-05-04,23.189481,120.335297,0.7419655,,0.94,0.9999148,
C2N160,西拉雅風管處,2026-05-05,23.189481,120.335297,0.6409643,,0.93,0.99980265,
C2N160,西拉雅風管處,2026-05-06,23.189481,120.335297,0.68310606,,0.92,0.99934685,
C2N160,西拉雅風管處,2026-05-07,23.189481,120.335297,0.7933746,,0.89,0.9910239,
C2N160,西拉雅風管處,2026-05-08,23.189481,120.335297,0.8487093,,0.88,0.964339,
C2N160,西拉雅風管處,2026-05-09,23.189481,120.335297,0.85295254,,0.86,0.79593754,
C2N160,西拉雅風管處,2026-05-10,23.189481,120.335297,0.8403712,,0.86,0.84476686,
C2N160,西拉雅風管處,2026-05-11,23.189481,120.335297,,,0.85,0.65340585,
