站號,站名,日期,lat,lon,BlastGRU-TW,BlastDT2,BlastLSTLS,BLBTSLS,planthopper
C2O810,曾文,2026-04-02,23.219681,120.497328,0.19429591,0.0,0.57,0.031946734,11.0
C2O810,曾文,2026-04-03,23.219681,120.497328,0.3902048,0.0,0.73,0.80700433,3.7
C2O810,曾文,2026-04-04,23.219681,120.497328,0.43705586,0.0,0.98,0.48634872,0.0
C2O810,曾文,2026-04-05,23.219681,120.497328,0.5766907,0.0,0.82,0.787954,7.4
C2O810,曾文,2026-04-06,23.219681,120.497328,0.66255784,1.0,0.75,0.7395174,0.0
C2O810,曾文,2026-04-07,23.219681,120.497328,0.4341665,0.0,0.85,4.6099063e-07,0.0
C2O810,曾文,2026-04-08,23.219681,120.497328,0.7817442,0.0,0.81,9.9253604e-08,0.0
C2O810,曾文,2026-04-09,23.219681,120.497328,0.9313136,1.0,0.91,9.801497e-08,0.0
C2O810,曾文,2026-04-10,23.219681,120.497328,0.96970135,1.0,0.96,1.1253473e-07,0.0
C2O810,曾文,2026-04-11,23.219681,120.497328,0.9752526,1.0,0.98,6.0484126e-07,0.0
C2O810,曾文,2026-04-12,23.219681,120.497328,0.93776554,1.0,0.99,1.430242e-07,0.0
C2O810,曾文,2026-04-13,23.219681,120.497328,0.96252036,1.0,1.0,5.2315536e-06,0.0
C2O810,曾文,2026-04-14,23.219681,120.497328,0.9832639,1.0,1.0,2.7915505e-05,0.0
C2O810,曾文,2026-04-15,23.219681,120.497328,0.98603964,0.0,1.0,1.4371973e-07,0.0
C2O810,曾文,2026-04-16,23.219681,120.497328,0.990303,0.0,1.0,2.8411296e-06,11.0
C2O810,曾文,2026-04-17,23.219681,120.497328,0.9797523,0.0,1.0,8.5571725e-07,26.0
C2O810,曾文,2026-04-18,23.219681,120.497328,0.9417378,0.0,1.0,2.1042607e-07,0.0
C2O810,曾文,2026-04-19,23.219681,120.497328,0.952119,0.0,1.0,4.4907367e-07,0.0
C2O810,曾文,2026-04-20,23.219681,120.497328,0.9549687,0.0,0.99,3.8479477e-05,0.0
C2O810,曾文,2026-04-21,23.219681,120.497328,0.97173536,1.0,0.99,4.408355e-05,3.7
C2O810,曾文,2026-04-22,23.219681,120.497328,0.97757936,1.0,0.99,1.1145584e-05,0.0
C2O810,曾文,2026-04-23,23.219681,120.497328,0.9772364,1.0,0.97,0.00013736382,7.4
C2O810,曾文,2026-04-24,23.219681,120.497328,0.97922856,0.0,0.93,0.00010200966,0.0
C2O810,曾文,2026-04-25,23.219681,120.497328,0.95883983,0.0,0.81,5.424186e-05,0.0
C2O810,曾文,2026-04-26,23.219681,120.497328,0.8941036,0.0,0.8,0.0035490287,0.0
C2O810,曾文,2026-04-27,23.219681,120.497328,0.82419336,0.0,0.81,0.012813009,0.0
C2O810,曾文,2026-04-28,23.219681,120.497328,0.9543903,0.0,0.84,0.11935847,0.0
C2O810,曾文,2026-04-29,23.219681,120.497328,0.91096723,1.0,0.87,0.060021635,0.0
C2O810,曾文,2026-04-30,23.219681,120.497328,0.7276351,1.0,0.95,3.1740897e-09,0.0
C2O810,曾文,2026-05-01,23.219681,120.497328,0.52984303,1.0,0.59,9.469411e-10,0.0
C2O810,曾文,2026-05-02,23.219681,120.497328,0.5499941,0.0,0.54,7.70992e-10,11.0
C2O810,曾文,2026-05-03,23.219681,120.497328,0.677018,0.0,0.55,6.2446365e-10,0.0
C2O810,曾文,2026-05-04,23.219681,120.497328,0.74958885,0.0,0.55,6.9262107e-10,0.0
C2O810,曾文,2026-05-05,23.219681,120.497328,0.8594827,1.0,0.48,1.3878108e-09,0.0
C2O810,曾文,2026-05-06,23.219681,120.497328,0.94585747,0.0,0.45,1.6526556e-09,0.0
C2O810,曾文,2026-05-07,23.219681,120.497328,0.97219056,,0.6,6.934459e-06,0.0
C2O810,曾文,2026-05-08,23.219681,120.497328,0.98375815,,0.65,0.0071940334,0.0
C2O810,曾文,2026-05-09,23.219681,120.497328,0.9691597,,0.76,0.846993,0.0
C2O810,曾文,2026-05-10,23.219681,120.497328,0.9469654,,0.88,3.572398e-05,0.0
C2O810,曾文,2026-05-11,23.219681,120.497328,0.9312276,,0.94,0.0019232039,
C2O810,曾文,2026-05-12,23.219681,120.497328,0.938884,,0.92,0.005219787,
C2O810,曾文,2026-05-13,23.219681,120.497328,0.9550694,,0.92,0.021768225,
C2O810,曾文,2026-05-14,23.219681,120.497328,0.9557777,,0.95,0.28351086,
C2O810,曾文,2026-05-15,23.219681,120.497328,0.9586973,,0.99,0.9853757,
C2O810,曾文,2026-05-16,23.219681,120.497328,0.97041225,,1.0,0.99251205,
C2O810,曾文,2026-05-17,23.219681,120.497328,0.968087,,0.99,0.87574214,
C2O810,曾文,2026-05-18,23.219681,120.497328,0.94104093,,1.0,0.4337062,
C2O810,曾文,2026-05-19,23.219681,120.497328,0.89209634,,0.99,0.4532139,
C2O810,曾文,2026-05-20,23.219681,120.497328,,,1.0,0.6577539,
