站號,站名,日期,lat,lon,BlastGRU-TW,BlastDT2,BlastLSTLS,BLBTSLS,planthopper
C2SD50,順那,2026-06-17,23.04166,121.29332,0.026319366,,0.13,0.08538343,19.0
C2SD50,順那,2026-06-18,23.04166,121.29332,0.014805086,,0.11,6.890479e-05,11.0
C2SD50,順那,2026-06-19,23.04166,121.29332,0.025910644,,0.13,3.2037367e-08,3.7
C2SD50,順那,2026-06-20,23.04166,121.29332,0.083749756,,0.13,0.00033685402,0.0
C2SD50,順那,2026-06-21,23.04166,121.29332,0.22904114,,0.12,0.037581813,0.0
C2SD50,順那,2026-06-22,23.04166,121.29332,0.5930436,,0.2,0.00016624648,3.7
C2SD50,順那,2026-06-23,23.04166,121.29332,0.8809937,,0.55,3.811381e-07,7.4
C2SD50,順那,2026-06-24,23.04166,121.29332,0.9677842,,0.89,3.744562e-08,0.0
C2SD50,順那,2026-06-25,23.04166,121.29332,0.983109,,0.93,2.7702718e-08,0.0
C2SD50,順那,2026-06-26,23.04166,121.29332,0.96789867,,0.99,2.0282849e-07,3.7
C2SD50,順那,2026-06-27,23.04166,121.29332,0.7848769,,0.98,0.9038655,33.0
C2SD50,順那,2026-06-28,23.04166,121.29332,0.39833343,,0.98,0.99586874,0.0
C2SD50,順那,2026-06-29,23.04166,121.29332,0.999531,,0.94,0.98523575,0.0
C2SD50,順那,2026-06-30,23.04166,121.29332,0.999174,,0.95,0.92765063,0.0
C2SD50,順那,2026-07-01,23.04166,121.29332,0.7189959,,0.83,0.00033042763,0.0
C2SD50,順那,2026-07-02,23.04166,121.29332,0.14406008,,0.44,0.035443768,0.0
C2SD50,順那,2026-07-03,23.04166,121.29332,0.0634308,,0.16,0.0010441954,0.0
C2SD50,順那,2026-07-04,23.04166,121.29332,0.08030588,,0.11,1.35592445e-05,0.0
C2SD50,順那,2026-07-05,23.04166,121.29332,0.14759421,,0.13,2.4049436e-05,0.0
C2SD50,順那,2026-07-06,23.04166,121.29332,0.2948533,,0.23,0.004643684,0.0
C2SD50,順那,2026-07-07,23.04166,121.29332,0.19506666,,0.37,0.04396227,0.0
C2SD50,順那,2026-07-08,23.04166,121.29332,0.13238987,,0.64,4.834698e-05,0.0
C2SD50,順那,2026-07-09,23.04166,121.29332,0.16209647,,0.79,0.9898184,7.4
C2SD50,順那,2026-07-10,23.04166,121.29332,0.17817532,,0.9,0.98878926,37.0
C2SD50,順那,2026-07-11,23.04166,121.29332,0.19746722,,0.92,0.9793498,19.0
C2SD50,順那,2026-07-12,23.04166,121.29332,0.23928885,,0.94,0.98812246,30.0
C2SD50,順那,2026-07-13,23.04166,121.29332,0.2738063,,0.94,0.9931545,33.0
C2SD50,順那,2026-07-14,23.04166,121.29332,0.25106686,,0.97,0.9974814,3.7
C2SD50,順那,2026-07-15,23.04166,121.29332,0.4598137,,0.99,0.9932454,0.0
C2SD50,順那,2026-07-16,23.04166,121.29332,0.8533226,,0.98,0.5588159,0.0
C2SD50,順那,2026-07-17,23.04166,121.29332,0.8426607,,0.98,0.010573362,0.0
C2SD50,順那,2026-07-18,23.04166,121.29332,0.71297705,,0.98,0.19670793,0.0
C2SD50,順那,2026-07-19,23.04166,121.29332,0.31961995,,0.98,0.49753797,0.0
C2SD50,順那,2026-07-20,23.04166,121.29332,0.19227467,,0.98,0.0027144563,0.0
C2SD50,順那,2026-07-21,23.04166,121.29332,0.19001846,,0.98,0.13477612,0.0
C2SD50,順那,2026-07-22,23.04166,121.29332,0.20556478,,0.96,0.021347275,0.0
C2SD50,順那,2026-07-23,23.04166,121.29332,0.22614132,,0.96,0.9789928,0.0
C2SD50,順那,2026-07-24,23.04166,121.29332,0.22846594,,0.96,0.98620456,0.0
C2SD50,順那,2026-07-25,23.04166,121.29332,0.20697889,,0.95,0.9932919,0.0
C2SD50,順那,2026-07-26,23.04166,121.29332,0.18671271,,0.93,0.9218709,
C2SD50,順那,2026-07-27,23.04166,121.29332,0.16576017,,0.89,0.7449504,
C2SD50,順那,2026-07-28,23.04166,121.29332,0.14693108,,0.84,0.37117252,
C2SD50,順那,2026-07-29,23.04166,121.29332,0.12689255,,0.76,0.34757432,
C2SD50,順那,2026-07-30,23.04166,121.29332,0.1547558,,0.63,0.3554666,
C2SD50,順那,2026-07-31,23.04166,121.29332,0.24527533,,0.39,0.35454983,
C2SD50,順那,2026-08-01,23.04166,121.29332,0.33039838,,0.22,0.40586329,
C2SD50,順那,2026-08-02,23.04166,121.29332,0.34931412,,0.27,0.5172068,
C2SD50,順那,2026-08-03,23.04166,121.29332,0.22865494,,0.54,0.65730387,
C2SD50,順那,2026-08-04,23.04166,121.29332,,,0.32,0.80355,
