站號,站名,日期,lat,lon,BlastGRU-TW,BlastDT2,BlastLSTLS,BLBTSLS,planthopper
C2UC40,中城,2026-07-19,24.62865,121.74745,0.029218689,,0.38,3.226411e-07,0.0
C2UC40,中城,2026-07-20,24.62865,121.74745,0.039557554,,0.36,5.820469e-08,0.0
C2UC40,中城,2026-07-21,24.62865,121.74745,0.032306124,,0.34,5.2944046e-08,0.0
C2UC40,中城,2026-07-22,24.62865,121.74745,0.033922456,,0.24,6.595562e-07,0.0
C2UC40,中城,2026-07-23,24.62865,121.74745,0.03411396,,0.19,0.27810207,0.0
C2UC40,中城,2026-07-24,24.62865,121.74745,0.038350657,,0.19,0.19990222,0.0
C2UC40,中城,2026-07-25,24.62865,121.74745,0.04087769,,0.2,0.19478543,0.0
C2UC40,中城,2026-07-26,24.62865,121.74745,0.047045417,,0.24,0.19432764,0.0
C2UC40,中城,2026-07-27,24.62865,121.74745,0.061536446,,0.27,0.1980676,0.0
C2UC40,中城,2026-07-28,24.62865,121.74745,0.08997462,,0.26,0.2301251,0.0
C2UC40,中城,2026-07-29,24.62865,121.74745,0.15414044,,0.25,0.596423,0.0
C2UC40,中城,2026-07-30,24.62865,121.74745,0.32070166,,0.3,0.7860773,0.0
C2UC40,中城,2026-07-31,24.62865,121.74745,0.58246654,,0.39,0.6486278,0.0
C2UC40,中城,2026-08-01,24.62865,121.74745,0.65349275,,0.46,0.46435428,0.0
C2UC40,中城,2026-08-02,24.62865,121.74745,0.30811238,,0.81,0.7974584,0.0
C2UC40,中城,2026-08-03,24.62865,121.74745,0.059081376,,0.88,0.49042082,0.0
C2UC40,中城,2026-08-04,24.62865,121.74745,0.047929876,,0.4,0.2640653,0.0
C2UC40,中城,2026-08-05,24.62865,121.74745,0.045592323,,0.3,0.19960773,0.0
C2UC40,中城,2026-08-06,24.62865,121.74745,0.041291784,,0.28,0.19674197,7.4
C2UC40,中城,2026-08-07,24.62865,121.74745,0.040498797,,0.26,0.18709852,30.0
C2UC40,中城,2026-08-08,24.62865,121.74745,0.040229853,,0.27,0.2087168,22.0
C2UC40,中城,2026-08-09,24.62865,121.74745,0.046662696,,0.32,0.14233159,26.0
C2UC40,中城,2026-08-10,24.62865,121.74745,0.050801452,,0.37,0.13467346,3.7
C2UC40,中城,2026-08-11,24.62865,121.74745,0.04649536,,0.38,0.113558024,11.0
C2UC40,中城,2026-08-12,24.62865,121.74745,0.1362463,,0.53,0.14810619,0.0
C2UC40,中城,2026-08-13,24.62865,121.74745,0.565502,,0.56,0.37363684,0.0
C2UC40,中城,2026-08-14,24.62865,121.74745,0.24554525,,0.36,0.10745206,0.0
C2UC40,中城,2026-08-15,24.62865,121.74745,0.13218164,,0.23,0.0151085965,0.0
C2UC40,中城,2026-08-16,24.62865,121.74745,0.09004869,,0.19,0.042647984,0.0
C2UC40,中城,2026-08-17,24.62865,121.74745,0.05628994,,0.15,0.30342075,0.0
C2UC40,中城,2026-08-18,24.62865,121.74745,0.03993888,,0.13,0.52040404,0.0
C2UC40,中城,2026-08-19,24.62865,121.74745,0.029811928,,0.13,0.22696444,0.0
C2UC40,中城,2026-08-20,24.62865,121.74745,0.0260692,,0.14,0.44616324,0.0
C2UC40,中城,2026-08-21,24.62865,121.74745,0.026430346,,0.19,0.31178457,0.0
C2UC40,中城,2026-08-22,24.62865,121.74745,0.02788211,,0.24,0.5106013,0.0
C2UC40,中城,2026-08-23,24.62865,121.74745,0.031956606,,0.32,0.66192484,0.0
C2UC40,中城,2026-08-24,24.62865,121.74745,0.03627507,,0.57,0.66972107,0.0
C2UC40,中城,2026-08-25,24.62865,121.74745,0.027487844,,0.76,0.6952679,0.0
C2UC40,中城,2026-08-26,24.62865,121.74745,0.02187751,,0.86,0.63410395,0.0
C2UC40,中城,2026-08-27,24.62865,121.74745,0.018969955,,0.91,0.5971151,
C2UC40,中城,2026-08-28,24.62865,121.74745,0.017942987,,0.92,0.7825965,
C2UC40,中城,2026-08-29,24.62865,121.74745,0.021816999,,0.92,0.96117455,
C2UC40,中城,2026-08-30,24.62865,121.74745,0.026081208,,0.9,0.92369735,
C2UC40,中城,2026-08-31,24.62865,121.74745,0.025870902,,0.94,0.8870635,
C2UC40,中城,2026-09-01,24.62865,121.74745,0.02068339,,0.99,0.8299468,
C2UC40,中城,2026-09-02,24.62865,121.74745,0.018149232,,1.0,0.6578459,
C2UC40,中城,2026-09-03,24.62865,121.74745,0.027412513,,0.99,0.36653394,
C2UC40,中城,2026-09-04,24.62865,121.74745,0.06220847,,0.96,0.1975778,
C2UC40,中城,2026-09-05,24.62865,121.74745,,,0.94,0.22245994,
