站號,站名,日期,lat,lon,BlastGRU-TW,BlastDT2,BlastLSTLS,BLBTSLS,planthopper
CAN140,六官養殖協會,2026-06-07,23.22881,120.29962,0.6938979,0.0,0.55,0.28340852,0.0
CAN140,六官養殖協會,2026-06-08,23.22881,120.29962,0.8015973,0.0,0.61,0.50920707,7.4
CAN140,六官養殖協會,2026-06-09,23.22881,120.29962,0.57594013,1.0,0.42,0.8472762,0.0
CAN140,六官養殖協會,2026-06-10,23.22881,120.29962,0.24553935,1.0,0.19,0.31123367,0.0
CAN140,六官養殖協會,2026-06-11,23.22881,120.29962,0.2081268,1.0,0.13,0.0851979,0.0
CAN140,六官養殖協會,2026-06-12,23.22881,120.29962,0.7955924,1.0,0.11,0.010081528,0.0
CAN140,六官養殖協會,2026-06-13,23.22881,120.29962,0.64563483,1.0,0.12,0.46155822,0.0
CAN140,六官養殖協會,2026-06-14,23.22881,120.29962,0.15598825,1.0,0.21,0.79156077,0.0
CAN140,六官養殖協會,2026-06-15,23.22881,120.29962,0.055652976,1.0,0.32,0.98813134,0.0
CAN140,六官養殖協會,2026-06-16,23.22881,120.29962,0.012798776,1.0,0.43,0.9897606,7.4
CAN140,六官養殖協會,2026-06-17,23.22881,120.29962,0.009412696,1.0,0.5,0.8248264,3.7
CAN140,六官養殖協會,2026-06-18,23.22881,120.29962,0.007509241,1.0,0.68,0.0789869,0.0
CAN140,六官養殖協會,2026-06-19,23.22881,120.29962,0.005634778,1.0,0.82,0.9994309,0.0
CAN140,六官養殖協會,2026-06-20,23.22881,120.29962,0.0048345807,1.0,0.88,0.99978936,3.7
CAN140,六官養殖協會,2026-06-21,23.22881,120.29962,0.005729445,1.0,0.91,0.9923753,0.0
CAN140,六官養殖協會,2026-06-22,23.22881,120.29962,0.008468563,1.0,0.93,0.9986878,11.0
CAN140,六官養殖協會,2026-06-23,23.22881,120.29962,0.019940099,1.0,0.98,0.0005303756,11.0
CAN140,六官養殖協會,2026-06-24,23.22881,120.29962,0.06389162,0.0,0.99,7.461017e-07,7.4
CAN140,六官養殖協會,2026-06-25,23.22881,120.29962,0.18624872,1.0,0.99,4.5452325e-05,0.0
CAN140,六官養殖協會,2026-06-26,23.22881,120.29962,0.38473934,1.0,0.99,1.651798e-05,3.7
CAN140,六官養殖協會,2026-06-27,23.22881,120.29962,0.7710061,1.0,0.99,1.1540157e-05,33.0
CAN140,六官養殖協會,2026-06-28,23.22881,120.29962,0.9217264,1.0,0.99,0.96774334,3.7
CAN140,六官養殖協會,2026-06-29,23.22881,120.29962,0.99767774,1.0,0.99,0.9490035,0.0
CAN140,六官養殖協會,2026-06-30,23.22881,120.29962,0.9996492,1.0,0.96,0.92926484,0.0
CAN140,六官養殖協會,2026-07-01,23.22881,120.29962,0.9268603,1.0,0.83,0.6147187,0.0
CAN140,六官養殖協會,2026-07-02,23.22881,120.29962,0.34775695,1.0,0.71,0.7407317,0.0
CAN140,六官養殖協會,2026-07-03,23.22881,120.29962,0.14809151,1.0,0.62,0.06480101,0.0
CAN140,六官養殖協會,2026-07-04,23.22881,120.29962,0.1426357,1.0,0.4,0.0012416255,0.0
CAN140,六官養殖協會,2026-07-05,23.22881,120.29962,0.21047932,1.0,0.37,4.8271842e-05,0.0
CAN140,六官養殖協會,2026-07-06,23.22881,120.29962,0.50482327,1.0,0.23,0.0006668075,0.0
CAN140,六官養殖協會,2026-07-07,23.22881,120.29962,0.35356495,1.0,0.16,0.0014249763,0.0
CAN140,六官養殖協會,2026-07-08,23.22881,120.29962,0.12644929,1.0,0.15,3.0440717e-06,19.0
CAN140,六官養殖協會,2026-07-09,23.22881,120.29962,0.08191548,0.0,0.15,0.34503454,26.0
CAN140,六官養殖協會,2026-07-10,23.22881,120.29962,0.08537042,0.0,0.13,0.3618852,19.0
CAN140,六官養殖協會,2026-07-11,23.22881,120.29962,0.10555044,0.0,0.17,0.36576024,0.0
CAN140,六官養殖協會,2026-07-12,23.22881,120.29962,0.15120661,,0.37,0.58856696,30.0
CAN140,六官養殖協會,2026-07-13,23.22881,120.29962,0.36039287,,0.62,0.5702696,3.7
CAN140,六官養殖協會,2026-07-14,23.22881,120.29962,0.9871276,,0.83,0.39968732,3.7
CAN140,六官養殖協會,2026-07-15,23.22881,120.29962,0.98886293,,0.89,0.41228807,11.0
CAN140,六官養殖協會,2026-07-16,23.22881,120.29962,0.93956655,,0.76,0.85418284,
CAN140,六官養殖協會,2026-07-17,23.22881,120.29962,0.84675133,,0.47,0.05320669,
CAN140,六官養殖協會,2026-07-18,23.22881,120.29962,0.47866166,,0.28,0.08232328,
CAN140,六官養殖協會,2026-07-19,23.22881,120.29962,0.10456964,,0.25,0.15573387,
CAN140,六官養殖協會,2026-07-20,23.22881,120.29962,0.035863224,,0.15,0.21581611,
CAN140,六官養殖協會,2026-07-21,23.22881,120.29962,0.034236167,,0.11,0.24871178,
CAN140,六官養殖協會,2026-07-22,23.22881,120.29962,0.03922809,,0.1,0.07139737,
CAN140,六官養殖協會,2026-07-23,23.22881,120.29962,0.062478166,,0.08,0.031647667,
CAN140,六官養殖協會,2026-07-24,23.22881,120.29962,0.16017348,,0.08,0.06515518,
CAN140,六官養殖協會,2026-07-25,23.22881,120.29962,,,0.08,0.09941127,
