站號,站名,日期,lat,lon,BlastGRU-TW,BlastDT2,BlastLSTLS,BLBTSLS,planthopper
CAQ030,崎峰國小,2026-07-30,22.42565,120.49521,0.022570523,1.0,0.2,0.016477268,0.0
CAQ030,崎峰國小,2026-07-31,22.42565,120.49521,0.026081583,1.0,0.21,0.07116893,0.0
CAQ030,崎峰國小,2026-08-01,22.42565,120.49521,0.048041504,1.0,0.23,0.06404635,0.0
CAQ030,崎峰國小,2026-08-02,22.42565,120.49521,0.11886157,1.0,0.31,0.048548583,0.0
CAQ030,崎峰國小,2026-08-03,22.42565,120.49521,0.12141522,1.0,0.33,0.07603872,0.0
CAQ030,崎峰國小,2026-08-04,22.42565,120.49521,0.11912427,1.0,0.42,0.07592597,0.0
CAQ030,崎峰國小,2026-08-05,22.42565,120.49521,0.1080622,1.0,0.4,0.07123056,0.0
CAQ030,崎峰國小,2026-08-06,22.42565,120.49521,0.08898641,1.0,0.37,0.14829165,22.0
CAQ030,崎峰國小,2026-08-07,22.42565,120.49521,0.101807415,1.0,0.15,0.4245111,33.0
CAQ030,崎峰國小,2026-08-08,22.42565,120.49521,0.1396864,1.0,0.11,0.2709789,26.0
CAQ030,崎峰國小,2026-08-09,22.42565,120.49521,0.1901954,0.0,0.09,0.25593284,15.0
CAQ030,崎峰國小,2026-08-10,22.42565,120.49521,0.22201459,1.0,0.08,0.5055291,0.0
CAQ030,崎峰國小,2026-08-11,22.42565,120.49521,0.14678986,1.0,0.09,0.39847374,3.7
CAQ030,崎峰國小,2026-08-12,22.42565,120.49521,0.17067705,1.0,0.1,0.38605395,0.0
CAQ030,崎峰國小,2026-08-13,22.42565,120.49521,0.30205065,1.0,0.13,0.6793742,0.0
CAQ030,崎峰國小,2026-08-14,22.42565,120.49521,0.47724995,1.0,0.21,0.23722132,0.0
CAQ030,崎峰國小,2026-08-15,22.42565,120.49521,0.2741128,1.0,0.13,0.0027067298,0.0
CAQ030,崎峰國小,2026-08-16,22.42565,120.49521,0.19998632,1.0,0.13,0.002422649,0.0
CAQ030,崎峰國小,2026-08-17,22.42565,120.49521,0.24822581,1.0,0.14,0.02115782,11.0
CAQ030,崎峰國小,2026-08-18,22.42565,120.49521,0.14527535,1.0,0.16,0.016837927,7.4
CAQ030,崎峰國小,2026-08-19,22.42565,120.49521,0.0540546,1.0,0.31,0.052778333,0.0
CAQ030,崎峰國小,2026-08-20,22.42565,120.49521,0.03482268,1.0,0.43,0.08056908,0.0
CAQ030,崎峰國小,2026-08-21,22.42565,120.49521,0.027822701,1.0,0.61,0.08224628,0.0
CAQ030,崎峰國小,2026-08-22,22.42565,120.49521,0.023553591,1.0,0.67,0.036072697,11.0
CAQ030,崎峰國小,2026-08-23,22.42565,120.49521,0.024669042,1.0,0.72,0.008014129,11.0
CAQ030,崎峰國小,2026-08-24,22.42565,120.49521,0.96248174,1.0,0.79,0.011625266,0.0
CAQ030,崎峰國小,2026-08-25,22.42565,120.49521,0.39110863,1.0,0.83,0.02933374,0.0
CAQ030,崎峰國小,2026-08-26,22.42565,120.49521,0.99679524,1.0,0.6,0.45613414,0.0
CAQ030,崎峰國小,2026-08-27,22.42565,120.49521,0.038838767,1.0,0.57,0.37467802,0.0
CAQ030,崎峰國小,2026-08-28,22.42565,120.49521,0.08634238,1.0,0.26,0.23005423,0.0
CAQ030,崎峰國小,2026-08-29,22.42565,120.49521,0.2247914,1.0,0.25,0.51962596,15.0
CAQ030,崎峰國小,2026-08-30,22.42565,120.49521,0.14179742,1.0,0.39,0.90061563,7.4
CAQ030,崎峰國小,2026-08-31,22.42565,120.49521,0.102956615,0.0,0.61,0.7270433,26.0
CAQ030,崎峰國小,2026-09-01,22.42565,120.49521,0.23404714,,0.85,0.41100442,3.7
CAQ030,崎峰國小,2026-09-02,22.42565,120.49521,0.35183477,,0.79,0.18443768,33.0
CAQ030,崎峰國小,2026-09-03,22.42565,120.49521,0.15284444,,0.83,0.568077,22.0
CAQ030,崎峰國小,2026-09-04,22.42565,120.49521,0.3724794,,0.84,0.79720414,7.4
CAQ030,崎峰國小,2026-09-05,22.42565,120.49521,0.747205,,0.88,0.43022114,11.0
CAQ030,崎峰國小,2026-09-06,22.42565,120.49521,0.61592674,,0.89,0.22248316,19.0
CAQ030,崎峰國小,2026-09-07,22.42565,120.49521,0.5372778,,0.94,0.40011308,
CAQ030,崎峰國小,2026-09-08,22.42565,120.49521,0.84419465,,0.98,0.51599735,
CAQ030,崎峰國小,2026-09-09,22.42565,120.49521,0.9727542,,0.99,0.5045291,
CAQ030,崎峰國小,2026-09-10,22.42565,120.49521,0.99537444,,0.99,0.6243098,
CAQ030,崎峰國小,2026-09-11,22.42565,120.49521,0.9986937,,0.98,0.24514362,
CAQ030,崎峰國小,2026-09-12,22.42565,120.49521,0.99963504,,0.97,0.107460134,
CAQ030,崎峰國小,2026-09-13,22.42565,120.49521,0.99992156,,0.95,0.43891007,
CAQ030,崎峰國小,2026-09-14,22.42565,120.49521,0.99993175,,0.93,0.26339042,
CAQ030,崎峰國小,2026-09-15,22.42565,120.49521,0.998287,,0.75,0.4822076,
CAQ030,崎峰國小,2026-09-16,22.42565,120.49521,,,0.53,0.49492478,
