站號,站名,日期,lat,lon,BlastGRU-TW,BlastDT2,BlastLSTLS,BLBTSLS,planthopper
E2K600,四湖植物園,2026-05-18,23.676986,120.163433,0.94787437,1.0,0.98,0.9988444,0.0
E2K600,四湖植物園,2026-05-19,23.676986,120.163433,0.8946609,1.0,1.0,0.9829315,0.0
E2K600,四湖植物園,2026-05-20,23.676986,120.163433,0.76534253,1.0,0.98,0.7248347,0.0
E2K600,四湖植物園,2026-05-21,23.676986,120.163433,0.8418734,1.0,0.65,0.31350616,0.0
E2K600,四湖植物園,2026-05-22,23.676986,120.163433,0.9626423,1.0,0.23,0.05390827,3.7
E2K600,四湖植物園,2026-05-23,23.676986,120.163433,0.98597705,1.0,0.28,0.0019020233,0.0
E2K600,四湖植物園,2026-05-24,23.676986,120.163433,0.9823805,1.0,0.33,7.850396e-05,0.0
E2K600,四湖植物園,2026-05-25,23.676986,120.163433,0.961041,1.0,0.42,0.00047000736,0.0
E2K600,四湖植物園,2026-05-26,23.676986,120.163433,0.94867194,1.0,0.47,0.8897915,7.4
E2K600,四湖植物園,2026-05-27,23.676986,120.163433,0.89043015,1.0,0.67,0.20127651,11.0
E2K600,四湖植物園,2026-05-28,23.676986,120.163433,0.49811625,1.0,0.65,0.08008147,3.7
E2K600,四湖植物園,2026-05-29,23.676986,120.163433,0.28255016,1.0,0.84,0.7110255,0.0
E2K600,四湖植物園,2026-05-30,23.676986,120.163433,0.21477753,1.0,0.93,0.9102848,0.0
E2K600,四湖植物園,2026-05-31,23.676986,120.163433,0.160206,1.0,0.94,0.9783725,0.0
E2K600,四湖植物園,2026-06-01,23.676986,120.163433,0.19228604,1.0,0.91,0.91957664,3.7
E2K600,四湖植物園,2026-06-02,23.676986,120.163433,0.16905421,1.0,0.86,0.63871497,7.4
E2K600,四湖植物園,2026-06-03,23.676986,120.163433,0.218383,1.0,0.83,0.5566622,7.4
E2K600,四湖植物園,2026-06-04,23.676986,120.163433,0.3682016,1.0,0.85,0.41209698,22.0
E2K600,四湖植物園,2026-06-05,23.676986,120.163433,0.38435316,1.0,0.91,0.63641346,11.0
E2K600,四湖植物園,2026-06-06,23.676986,120.163433,0.3108745,1.0,0.97,0.52887225,0.0
E2K600,四湖植物園,2026-06-07,23.676986,120.163433,0.5671302,1.0,0.99,0.371337,3.7
E2K600,四湖植物園,2026-06-08,23.676986,120.163433,0.81751096,1.0,0.96,0.6639574,15.0
E2K600,四湖植物園,2026-06-09,23.676986,120.163433,0.69838,1.0,0.86,0.41268557,7.4
E2K600,四湖植物園,2026-06-10,23.676986,120.163433,0.5135782,1.0,0.75,0.20096287,0.0
E2K600,四湖植物園,2026-06-11,23.676986,120.163433,0.86046153,1.0,0.49,0.07886554,0.0
E2K600,四湖植物園,2026-06-12,23.676986,120.163433,0.9983558,1.0,0.15,0.028965592,0.0
E2K600,四湖植物園,2026-06-13,23.676986,120.163433,0.99390453,1.0,0.09,0.27530095,0.0
E2K600,四湖植物園,2026-06-14,23.676986,120.163433,0.46164846,1.0,0.14,0.5042755,0.0
E2K600,四湖植物園,2026-06-15,23.676986,120.163433,0.09914204,1.0,0.32,0.7067973,0.0
E2K600,四湖植物園,2026-06-16,23.676986,120.163433,0.05812895,1.0,0.57,0.810914,0.0
E2K600,四湖植物園,2026-06-17,23.676986,120.163433,0.035359044,1.0,0.72,0.24938759,0.0
E2K600,四湖植物園,2026-06-18,23.676986,120.163433,0.020357886,1.0,0.67,0.000549215,0.0
E2K600,四湖植物園,2026-06-19,23.676986,120.163433,0.009889972,1.0,0.74,0.9158316,0.0
E2K600,四湖植物園,2026-06-20,23.676986,120.163433,0.012216664,1.0,0.85,0.9938581,0.0
E2K600,四湖植物園,2026-06-21,23.676986,120.163433,0.018171856,0.0,0.92,0.9899573,3.7
E2K600,四湖植物園,2026-06-22,23.676986,120.163433,0.03855943,,0.97,0.909853,3.7
E2K600,四湖植物園,2026-06-23,23.676986,120.163433,0.15134537,,0.97,0.0008845747,0.0
E2K600,四湖植物園,2026-06-24,23.676986,120.163433,0.48664615,,0.97,4.2851957e-06,3.7
E2K600,四湖植物園,2026-06-25,23.676986,120.163433,0.7346219,,0.98,1.3928632e-05,0.0
E2K600,四湖植物園,2026-06-26,23.676986,120.163433,0.8087061,,0.98,1.0131885e-05,
E2K600,四湖植物園,2026-06-27,23.676986,120.163433,0.95617753,,0.98,0.003880897,
E2K600,四湖植物園,2026-06-28,23.676986,120.163433,0.99384904,,0.98,0.011007724,
E2K600,四湖植物園,2026-06-29,23.676986,120.163433,0.9974971,,0.96,0.023409957,
E2K600,四湖植物園,2026-06-30,23.676986,120.163433,0.99472654,,0.95,0.011610188,
E2K600,四湖植物園,2026-07-01,23.676986,120.163433,0.69471014,,0.86,0.05748132,
E2K600,四湖植物園,2026-07-02,23.676986,120.163433,0.30687055,,0.66,0.096664816,
E2K600,四湖植物園,2026-07-03,23.676986,120.163433,0.3019906,,0.57,0.012316508,
E2K600,四湖植物園,2026-07-04,23.676986,120.163433,0.57954705,,0.6,0.0027771723,
E2K600,四湖植物園,2026-07-05,23.676986,120.163433,,,0.67,0.014561845,
